#对话ID	图片资源	对话框位置(1：头像在左边）	名字	内容	下一句
ID	resource	talkpos	name	content	next
300101001	huangyueying.png	1	孙尚香	主公，闻到曹操的气味了！同时发现大量未知生物！	300101002
300101002	imghead003.png	1	周瑜	你现在太弱，我就是策划安排来帮忙的打（dou）手（bi）！	300101004
#300101003	*	1	@		300101004
300101004	imghead003.png	1	周瑜	（恩？好像刚刚说了什么奇怪的东西？）	300101005
300101005	imghead020.png	2	夏侯惇	我才不会告诉你，曹操老大刚刚从这边过去！	300101006
300101006	*	1	@	你这么卖队友，你家老大知道吗？	
300101007	imghead020.png	2	夏侯惇	竟叫人帮忙，我保证不打死你们！	
300101008	imghead003.png	1	周瑜	看我拳打南山敬老院，脚踩北头幼儿园！	
300101009	imghead031.png	1	孙策	上上下下，左右左右，BABA！看招！	
300101010	imghead043.png	1	张飞	俺的大刀已经饥渴难耐！	
300101011	imghead020.png	2	夏侯惇	我还会回来的...回来的..来的..的.	
300102001	imghead003.png	1	周瑜	前荒高能预警，大家小心有埋胡！	300102002
300102002	imghead041.png	1	吕布	听说要阻止曹操，我只想做一个安静的美男子。	300102003
300102003	imghead044.png	2	马超	恐怕你们没这个机会了！	300102004
300102004	huangyueying.png	1	孙尚香	主公，赶快下令收了他们，别让曹操逃远了。	300102005
300102005	*	1	@	万、吐、斯瑞、佛，来次够！	
300102006	imghead003.png	1	周瑜	灰常好，简直不会吹飞之力，我可不是好欺护的！	
300103001	imghead003.png	1	周瑜	以我的昏析能力，曹操肯定逃到了北荒。	300103002
300103002	imghead513.png	1	大乔	你胸小别说话，他们往南边去了。	300103003
300103003	imghead513.png	1	大乔	曹操路过此地，想抢我做老婆，还好老娘跑得快。	300103004
300103004	imghead013.png	2	王朗	曹操老婆？漂亮吗，我就住曹操隔壁。	
300103005	imghead013.png	2	王朗	妹子，有衣柜坏了吗，我会修哟~	
300103006	imghead513.png	1	大乔	老王，别出来吓人了，简直不忍直视。	
300104001	*	1	@	我们已经掌握了曹操的取向，哦不，去向！	300104002
300104002	imghead012.png	2	丁奉	讨厌，怎么都知道我喜欢我们老大了~	300104003
300104003	imghead010.png	1	郭嘉	曹操上月一个钱币都没给我，我要反抗！	300104004
300104004	imghead012.png	2	丁奉	就用老大送我的新型武器，肥皂来对付你们，看皂！	
300104005	imghead010.png	1	郭嘉	还我拖欠的工资！	
300105001	*	1	@	这位将军骨骼惊奇，果然是练武奇才啊！	300105002
300105002	imghead104.png	1	潘凤	终于可以大显身手了，让你们见识见识我的神威！	300105003
300105003	imghead502.png	2	五鹿	还神威呢，一股弱者的气息。	
300106001	*	1	@	又来了一波小喽啰，目测是一群战斗力只有5的渣渣。	300106002
300106002	imghead501.png	2	赵范	只有5？！请看屏幕上方的战斗力，不谢！	
300107001	imghead001.png	1	诸葛亮	占卦算命，指点迷津，有缘者分文不取~曹操来我给你算一卦。	300107002
300107002	imghead011.png	1	赵云	算命的一边凉快去，我算他今天要栽！	300107003
300107003	*	1	@	哈哈，我要紧紧抱住大神的大腿，带我装逼带我飞。	300107004
300107004	imghead004.png	2	曹操	卧槽……槽…槽你们这么快，看我不……不把你们腿打…打…打折！	300107005
300107005	imghead003.png	1	周瑜	我周瑜表示不服！	
300107006	imghead011.png	1	赵云	看我终极必杀技，闪瞎你们的狗眼！	
300107007	imghead001.png	1	诸葛亮	好强的技能，吓得我扇子都掉了，不过我可是有主角光环的！	
300107008	imghead004.png	2	曹操	我曹……曹…曹操战斗力爆表，你们都弱爆……爆…爆了！	
300107009	imghead004.png	2	曹操	先走一步，有空来曹……曹营吃便……便便……便饭！	
300107010	imghead015.png	2	典韦	待俺先来个力劈华山	
306001001	imghead012.png	2	迟钝山贼	大王叫我来巡山咯~听说大王找了个漂亮的压寨夫人。呔！你们是谁！	306001002
