#引导编号	前置引导	触发前置关卡	触发界面：1主界面 2征战界面 3闯关界面 4天师榜 5经验房	触发功能	入口	重连点
id	preid	map	interface	functionid	enter	reconnection
35010000			1		35010001	35010099
35020000	35010000	18010101	2		35020001	35020099
35200000	35020000		2		35200001	35200099
35130000	35200000	18010102	2		35130001	35130099
35210000	35130000		2		35210001	35210099
35030000	35210000	18010103	2		35030001	35030099
35040000	35030000	18010104	2		35040001	35040099
35050000	35040000		1		35050001	35050099
35070000			1;2		35070001	35070099
35140000	35050000	18010105	2		30514001	35140099
35150000	35140000	18070101	2		35150001	
35160000	35150000	18010106	2		35160001	
35120000	35160000	18010107	2		35120001	35120099
35190000	35590000		1		35190001	
35080000	35120000	18010202	2		35080001	35080099
35180000	35080000	18010203	2		35180001	35180099
35090000	35180000	18010204	2		35090001	35090099
35100000	35090000	18020101	2		35100001	35100099
35220000	35100000		2		35220001	35220099
35230000	35220000	18020102	2		35230001	35230099
35170000	35230000	18020103	2		35170001	35170099
35110000	35100000	18010206	2		35110001	35110099
35510000			1	37020001	35510001	
35520000			2	37020002	35520001	
35530000			1	37020003	35530001	
35540000			1	37020005	35540001	
35650000	35540000		5		35650001	
35550000			1	37020007	35550001	
35560000			1	37020008	35560001	
35580000			2	37020010	35580001	
35590000			1	37040001	35590001	
35600000			1	37020004	35600001	
35610000			1	37020009	35610001	
35620000	35610000		3		35620001	
35630000			1	37020013	35630001	
35640000	35630000		4		35640001	
