#步骤编号	下一步ID	关键点	定位模块：（当有两个定位点时引导从第一个点向第二个点滑动）	npc名字	npc图像	npc位置，1左下方 2左上方 3右下方 4右上方 	是否有手指	文字说明	配音
id	nextid	key	pos	name	icon	position	hasHand	tips	voicename
35010001	30501001				huangyueyingmm.png	1		主公，听说曹操得到了一件秘密武器，想借此称霸三国，统治全宇宙，毁灭全……	
35010002	35010003		36010200		huangyueyingmm.png	2	1	开启历史的征程吧~	zhengzhanYD.mp3
35010003	35010004		36030101				1		
35010004		1	36010201				1		
35010099	30501001				huangyueyingmm.png	1		主公，听说曹操得到了一件秘密武器，想借此称霸三国，统治全宇宙，毁灭全……	
35020001	35020003		36010300		huangyueyingmm.png	2	1	恭喜完成了第一个任务，任务功能开启啦！	renwuYD.mp3
35020003	35020004	1	36010302		huangyueyingmm.png	1	1	点击领取奖励吧~	
35020004	35020005		36010000				1		
35020005			36010001		huangyueyingmm.png	3	1	点击左上角后退~	
35020099	35020098		36010200				1		
35020098	35020003		36010300		huangyueyingmm.png	2	1	恭喜完成了第一个任务，任务功能开启啦！	
35200001	35200002		36030105		huangyueyingmm.png	3	1	主公快看，这些脚印是刚留下不久的，曹操应该还没走远，我们快追！	
35200002		1	36010201				1		
35200099	35200001		36010200				1		
35130001	35130002		36010300		huangyueyingmm.png	2	1	又完成任务啦，快去领取奖励吧！	
35130002	35130003	1	36010303				1		
35130003	35130004		36010000				1		
35130004			36010001		huangyueyingmm.png	3	1	好勒~现在我们退出任务，继续追击！	
35130099	35130098		36010200				1		
35130098	35130002		36010300		huangyueyingmm.png	2	1	又完成任务啦，快去领取奖励吧！	
35210001	35210002		36030106		huangyueyingmm.png	3	1	敌军势力强大，不过我们也会有援军的，主公加油~	
35210002		1	36010201				1		
35210099	35210001		36010200				1		
35030001	35030003		36010400		huangyueyingmm.png	2	1	用刚才获得的<经验书>去给武将升级吧~	jingyanshuYD.mp3
35030003	35030004		36010401				1		
35030004	35030005		36010402				1		
35030005	30503001	1	36010403				1		
35030006	35030007		36010001		huangyueyingmm.png	3	1	马将军已经迫不及待要露两手了~	
35030007	35030008		36010001				1		
35030008	35030009		36030107		huangyueyingmm.png	2	1	马将军一马当先，大家伙儿并肩子上！	
35030009			36010201				1		
35030099	35030098		36010200				1		
35030098	35030003		36010400		huangyueyingmm.png	2	1	用刚才获得的<经验书>去给武将升级吧~	
35040001	30504001		36010500		huangyueyingmm.png	2	1	接下来，就是主公您大展宏图的时候了！	
35040003	35040004		36020100		huangyueyingmm.png	3	1	<聚贤阁>里可以<招募>小伙伴~	zhaomuYD.mp3
35040004	30504003	1	36020101		huangyueyingmm.png	3	1	我们先招募一次，本次招募不会算作<首次单招>	
35040006					huangyueyingmm.png	1		十连招募可以打<九折>，并且必能获得4星甚至<5星紫将>哟~	shilianchouYD.mp3
35040099	35040004		36020100		huangyueyingmm.png	1	1	<聚贤阁>里可以<招募>小伙伴~	zhaomuYD.mp3
35050001	35050002		36010100		huangyueyingmm.png	2	1	新将领的大刀已经饥渴难耐了，快让他<上阵>吧~	shangzhenYD.mp3
35050002	35050003	1	36010101;36010102		huangyueyingmm.png	3	1	向右拉动武将，然后拖入阵中	
35050003	30505001		36010001				1		
30505001	30505002		36010200		huangyueyingmm.png	2	1	有了新的小伙伴助阵，战斗力一定猛增，继续<征战>，看看有什么新发现吧！	
30505002	30505003		36030108		huangyueyingmm.png	1	1	不好，敌军来袭！主公快去迎战~	
30505003			36010201				1		
35050099	35050002		36010100		huangyueyingmm.png	2	1	新将领的大刀已经饥渴难耐了，快让他<上阵>吧~	shangzhenYD.mp3
35140001	35140003		36030102		bulianshimm.png	1	1	完成支线关卡，可以开启隐藏宝箱哦~	zhixianYD.mp3
35140003		1	36010201				1		
35140099	30514001		36010200				1		
35150001	35150002	1	36030103		bulianshimm.png	1	1	山贼掉下了一个宝箱，打开看看吧！	
35150002	35150003		36010000				1		
35150003	35150004				bulianshimm.png	1		刚才获得了好多东西呢，可惜还是没找到孙尚香姐姐~	
35150004	35150005				bulianshimm.png	1		主公加油，再接再厉！	
35150005			36030109				1		
