#活动类型（1-N）	名称	是否开启(1是 0否)	开始时间	结束时间	奖励结束时间	标题说明文字	单项说明1	单项说明2
type	name	open	begintime	endtime	rewardendtime	title	explain1	explain2
1	首冲送关羽	1	2015/6/23 0:00	0	0			
2	每日充值	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
3	单笔充值	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
4	累积消费领好礼	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
5	全面福利	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
6	七日登录	1	2015/11/5 0:00	0	0	天天领壕礼，三天送大乔	第	天
7	成长福利	1	2015/6/23 0:00	0	0	超值福利60000元宝	主公等级达到	级可获得奖励
8	奖励翻倍	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
9	排行奖励	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
10	副本挑战	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
11	后宫收集	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
12	限时抢购	0	2015/6/23 0:00	2015/6/30 0:00	2015/6/30 0:00			
13	激活码	1	2015/6/23 0:00	0	0			
14	连续登录奖励	0	2015/10/8 0:00	0	0			
15	百元大礼包	1	2015/6/23 0:00	0	0			
16	VIP冲级奖励	1	2015/6/23 0:00	0	0	提升VIP，主公升级另送特有奖励		
17	开服活动	1	2015/6/23 0:00	0	0			
18	充值返利	1	2015/6/24 0:00	0	0	充值元宝，立即获得竞技币和水晶奖励	充值满	元宝可获得
19	消费返利	1	2015/6/25 0:00	0	0	花费元宝，返送大量元宝和培养点	消费满	元宝可获得
20	VIP礼包	1	2015/6/25 0:00	0	0	VIP专享礼包，充值VIP即可领取相应礼包	VIP	级及以上可立即获得
