#ID	vip等级	玩家等级	奖励
id	vip	level	reward
1	3	15	22171201
2	3	25	22171202
3	3	30	22171203
4	3	33	22171204
5	3	35	22171205
6	5	15	22171206
7	5	25	22171207
8	5	30	22171208
9	5	33	22171209
10	5	35	22171210
11	7	15	22171211
12	7	25	22171212
13	7	30	22171213
14	7	33	22171214
15	7	35	22171215
16	9	15	22171216
17	9	25	22171217
18	9	30	22171218
19	9	33	22171219
20	9	35	22171220
21	11	15	22171221
22	11	25	22171222
23	11	30	22171223
24	11	33	22171224
25	11	35	22171225
26	13	15	22171226
27	13	25	22171227
28	13	30	22171228
29	13	33	22171229
30	13	35	22171230
31	15	15	22171231
32	15	25	22171232
33	15	30	22171233
34	15	33	22171234
35	15	35	22171235
