#关卡	对话出现方式（1：第几回合；2：某武将发动技能前；3:战斗结束前）	对话回合	武将ID	对话内容ID
ID	manner	round	roleid2	describe
18010101	1	1		300101001
18010101	4		12000008	300101008
18010101	4		12000016	300101009
18010101	4		12000011	300101010
18010101	4		24080008	300101007
18010101	3			300101011
18010102	1	1		300102001
18010102	3			300102006
18010103	1	1		300103001
18010103	4		24080004	300103005
18010103	4		12000018	300103006
18010104	1	1		300104001
18010104	4		12000014	300104005
18010105	1	1		300105001
18010106	1	1		300106001
18010107	1	1		300107001
18010107	4		12000003	300107006
18010107	4		12000002	300107007
18010107	4		24080000	300107008
18010107	3		24080000	300107009
18010107	4		24080002	300107010
18070101	1	1		306001001
18010201	1	1		300201001
18010202	1	1		300202001
18010203	1	1		300203001
18010204	1	1		300204001
18010208	1	1		300209001
18010301	1	1		300301001
18010302	1	1		300302001
18010304	1	1		300303001
18010308	1	1		300307001
18010401	1	1		300401001
18010402	1	1		300402001
18010408	1	1		300407001
18010501	1	1		300501001
18010508	1	1		300507001
18010601	1	1		300601001
18010608	1	1		300607001
18010701	1	1		300701001
