#征收小游戏				
#等级	类型	下坠时间(从出现到飞出的时间)	每0.2秒出现几率（x/10000）	单位价值
level	type	droptime	frequency	value
1	1	4	4000	32
1	2	2	1500	320
2	1	4	4000	33
2	2	2	1500	330
3	1	4	4000	34
3	2	2	1500	340
4	1	4	4000	36
4	2	2	1500	360
5	1	4	4000	37
5	2	2	1500	370
6	1	4	4000	38
6	2	2	1500	380
7	1	4	4000	40
7	2	2	1500	400
8	1	4	4000	42
8	2	2	1500	420
9	1	4	4000	43
9	2	2	1500	430
10	1	4	4000	45
10	2	2	1500	450
11	1	4	4000	47
11	2	2	1500	470
12	1	4	4000	49
12	2	2	1500	490
13	1	4	4000	51
13	2	2	1500	510
14	1	4	4000	53
14	2	2	1500	530
15	1	4	4000	55
15	2	2	1500	550
16	1	4	4000	57
16	2	2	1500	570
17	1	4	4000	59
17	2	2	1500	590
18	1	4	4000	62
18	2	2	1500	620
19	1	4	4000	63
19	2	2	1500	630
20	1	4	4000	63
20	2	2	1500	630
21	1	4	4000	63
21	2	2	1500	630
22	1	4	4000	63
22	2	2	1500	630
23	1	4	4000	63
23	2	2	1500	630
24	1	4	4000	63
24	2	2	1500	630
25	1	4	4000	63
25	2	2	1500	630
26	1	4	4000	63
26	2	2	1500	630
27	1	4	4000	63
27	2	2	1500	630
28	1	4	4000	63
28	2	2	1500	630
29	1	4	4000	63
29	2	2	1500	630
30	1	4	4000	63
30	2	2	1500	630
31	1	4	4000	63
31	2	2	1500	630
32	1	4	4000	63
32	2	2	1500	630
33	1	4	4000	63
33	2	2	1500	630
34	1	4	4000	63
34	2	2	1500	630
35	1	4	4000	63
35	2	2	1500	630
36	1	4	4000	63
36	2	2	1500	630
37	1	4	4000	63
37	2	2	1500	630
38	1	4	4000	63
38	2	2	1500	630
39	1	4	4000	63
39	2	2	1500	630
40	1	4	4000	63
40	2	2	1500	630
41	1	4	4000	63
41	2	2	1500	630
42	1	4	4000	63
42	2	2	1500	630
43	1	4	4000	63
43	2	2	1500	630
44	1	4	4000	63
44	2	2	1500	630
45	1	4	4000	63
45	2	2	1500	630
46	1	4	4000	63
46	2	2	1500	630
47	1	4	4000	63
47	2	2	1500	630
48	1	4	4000	63
48	2	2	1500	630
49	1	4	4000	63
49	2	2	1500	630
50	1	4	4000	63
50	2	2	1500	630
51	1	4	4000	63
51	2	2	1500	630
52	1	4	4000	63
52	2	2	1500	630
53	1	4	4000	63
53	2	2	1500	630
54	1	4	4000	63
54	2	2	1500	630
55	1	4	4000	63
55	2	2	1500	630
56	1	4	4000	63
56	2	2	1500	630
57	1	4	4000	63
57	2	2	1500	630
58	1	4	4000	63
58	2	2	1500	630
59	1	4	4000	63
59	2	2	1500	630
60	1	4	4000	63
60	2	2	1500	630
61	1	4	4000	63
61	2	2	1500	630
62	1	4	4000	63
62	2	2	1500	630
63	1	4	4000	63
63	2	2	1500	630
64	1	4	4000	63
64	2	2	1500	630
65	1	4	4000	63
65	2	2	1500	630
66	1	4	4000	63
66	2	2	1500	630
67	1	4	4000	63
67	2	2	1500	630
68	1	4	4000	63
68	2	2	1500	630
69	1	4	4000	63
69	2	2	1500	630
70	1	4	4000	63
70	2	2	1500	630
71	1	4	4000	63
71	2	2	1500	630
72	1	4	4000	63
72	2	2	1500	630
73	1	4	4000	63
73	2	2	1500	630
74	1	4	4000	63
74	2	2	1500	630
75	1	4	4000	63
75	2	2	1500	630
76	1	4	4000	63
76	2	2	1500	630
77	1	4	4000	63
77	2	2	1500	630
78	1	4	4000	63
78	2	2	1500	630
79	1	4	4000	63
79	2	2	1500	630
80	1	4	4000	63
80	2	2	1500	630
