#ID	关卡ID	关卡前面的点(x;y)	关卡后面的点（专门针对一章的最后的点）(x;y)
id	levelid	prepoint	nextpoint
101	18010101	15;99	
102	18010101	44;108	
103	18010102	123;150	
104	18010102	146;182	
105	18010103	228;180	
106	18010103	257;164	
107	18010104	330;107	
108	18010104	346;74	
109	18010104	382;59	
110	18010105	453;96	
111	18010105	430;127	
112	18010105	425;162	
113	18010105	448;188	
114	18010106	526;179	
115	18010106	546;143	
116	18010106	582;120	
117	18010107	679;89	886;158
118	18010107	718;79	908;184
119	18010107	761;91	937;206
120	18010107	784;118	
121	18010201	15;142	
122	18010201	45;130	
123	18010202	100;159	
124	18010202	90;199	
125	18010202	101;235	
126	18010203	194;201	
127	18010203	216;164	
128	18010203	207;124	
129	18010204	309;105	
130	18010204	310;149	
131	18010204	344;172	
132	18010205	438;167	
133	18010205	439;126	
134	18010205	462;94	
135	18010206	541;128	
136	18010206	555;160	
137	18010207	597;218	
138	18010207	602;251	
139	18010207	631;266	
140	18010208	724;239	881;198
141	18010208	736;203	906;219
142	18010208	774;187	
143	18010301	12;138	
144	18010301	40;119	
145	18010302	106;161	
146	18010302	103;197	
147	18010302	133;220	
148	18010303	232;251	
149	18010303	259;268	
150	18010303	292;259	
151	18010304	400;258	
152	18010304	428;240	
153	18010304	423;209	
154	18010305	409;101	
155	18010305	431;75	
156	18010305	465;76	
157	18010306	566;98	
158	18010306	599;79	
159	18010306	635;84	
160	18010307	709;131	
161	18010307	719;161	
162	18010308	800;192	914;127
163	18010308	827;174	937;144
164	18010401	20;242	
165	18010401	50;221	
166	18010402	123;164	
167	18010402	119;131	
168	18010402	132;94	
169	18010403	248;73	
170	18010403	287;56	
171	18010403	330;63	
172	18010404	375;125	
173	18010404	355;155	
174	18010404	370;184	
175	18010405	423;252	
176	18010405	454;262	
177	18010406	536;237	
178	18010406	525;203	
179	18010406	522;169	
180	18010407	547;72	
181	18010407	588;59	
182	18010407	631;59	
183	18010408	740;92	879;164
184	18010408	774;103	914;149
185	18010501	15;142	
186	18010501	45;130	
187	18010502	100;159	
188	18010502	90;199	
189	18010502	101;235	
190	18010503	194;201	
191	18010503	216;164	
192	18010503	207;124	
193	18010504	309;105	
194	18010504	310;149	
195	18010504	344;172	
196	18010505	438;167	
197	18010505	439;126	
198	18010505	462;94	
199	18010506	541;128	
200	18010506	555;160	
201	18010507	597;218	
202	18010507	602;251	
203	18010507	631;266	
204	18010508	724;239	881;198
205	18010508	736;203	906;219
206	18010508	774;187	
207	18010601	12;138	
208	18010601	40;119	
209	18010602	106;161	
210	18010602	103;197	
211	18010602	133;220	
212	18010603	232;251	
213	18010603	259;268	
214	18010603	292;259	
215	18010604	400;258	
216	18010604	428;240	
217	18010604	423;209	
218	18010605	409;101	
219	18010605	431;75	
220	18010605	465;76	
221	18010606	566;98	
222	18010606	599;79	
223	18010606	635;84	
224	18010607	709;131	
225	18010607	719;161	
226	18010608	800;192	914;127
227	18010608	827;174	937;144
228	18010701	20;242	
229	18010701	50;221	
230	18010702	123;164	
231	18010702	119;131	
232	18010702	132;94	
233	18010703	248;73	
234	18010703	287;56	
235	18010703	330;63	
236	18010704	375;125	
237	18010704	355;155	
238	18010704	370;184	
239	18010705	423;252	
240	18010705	454;262	
241	18010706	536;237	
242	18010706	525;203	
