#技能ID	开始特效	飞行特效（没有飞行特效填0）	结束特效	特效声音
skillid	starteffect	flyeffect	endeffect	mp3
14010000		macao_feixing_;4	machao_mingzhong_;17	1
14010001		macao_feixing_;4	machao_mingzhong_;17	1
14010002		macao_feixing_;4	machao_mingzhong_;17	1
14010003		macao_feixing_;4	machao_mingzhong_;17	2
14010004		macao_feixing_;4	machao_mingzhong_;17	2
14010005		macao_feixing_;4	machao_mingzhong_;17	2
14010006		macao_feixing_;4	machao_mingzhong_;17	8
14010007		macao_feixing_;4	machao_mingzhong_;17	12
14010008		macao_feixing_;4	machao_mingzhong_;17	10
14010009		macao_feixing_;4	machao_mingzhong_;17	10
14010010		macao_feixing_;4	machao_mingzhong_;17	1
14010011		macao_feixing_;4	machao_mingzhong_;17	1
14010012		macao_feixing_;4	machao_mingzhong_;17	1
14010013		macao_feixing_;4	machao_mingzhong_;17	1
14010014		macao_feixing_;4	machao_mingzhong_;17	3
14010015		macao_feixing_;4	machao_mingzhong_;17	6
14010016		macao_feixing_;4	machao_mingzhong_;17	4
14010017		macao_feixing_;4	machao_mingzhong_;17	6
14010018		macao_feixing_;4	machao_mingzhong_;17	4
14010019		macao_feixing_;4	machao_mingzhong_;17	4
14010020		macao_feixing_;4	machao_mingzhong_;17	6
14010021		macao_feixing_;4	machao_mingzhong_;17	6
14010022		macao_feixing_;4	machao_mingzhong_;17	5
14010023		macao_feixing_;4	machao_mingzhong_;17	5
14010024		macao_feixing_;4	machao_mingzhong_;17	5
14010025		macao_feixing_;4	machao_mingzhong_;17	7
14010026		macao_feixing_;4	machao_mingzhong_;17	4
14010027		macao_feixing_;4	machao_mingzhong_;17	6
14010028		macao_feixing_;4	machao_mingzhong_;17	4
14010029		macao_feixing_;4	machao_mingzhong_;17	4
14010030		macao_feixing_;4	machao_mingzhong_;17	7
14010031		macao_feixing_;4	machao_mingzhong_;17	6
14010032		macao_feixing_;4	machao_mingzhong_;17	5
14010033		macao_feixing_;4	machao_mingzhong_;17	5
14010034		macao_feixing_;4	machao_mingzhong_;17	4
14010035		macao_feixing_;4	machao_mingzhong_;17	7
14010036		macao_feixing_;4	machao_mingzhong_;17	4
14010037		macao_feixing_;4	machao_mingzhong_;17	6
14010038		macao_feixing_;4	machao_mingzhong_;17	4
14010039		macao_feixing_;4	machao_mingzhong_;17	4
14010040		macao_feixing_;4	machao_mingzhong_;17	7
14010041		macao_feixing_;4	machao_mingzhong_;17	4
14010042		macao_feixing_;4	machao_mingzhong_;17	5
14010043		macao_feixing_;4	machao_mingzhong_;17	5
14010044		macao_feixing_;4	machao_mingzhong_;17	4
14010045		macao_feixing_;4	machao_mingzhong_;17	4
14010046		macao_feixing_;4	machao_mingzhong_;17	4
14010047		macao_feixing_;4	machao_mingzhong_;17	6
14010048		macao_feixing_;4	machao_mingzhong_;17	5
14010049		macao_feixing_;4	machao_mingzhong_;17	5
14020000		macao_feixing_;4	machao_mingzhong_;17	4
14020001		macao_feixing_;4	machao_mingzhong_;17	4
14020002		macao_feixing_;4	machao_mingzhong_;17	4
14020003		macao_feixing_;4	machao_mingzhong_;17	6
14020004		macao_feixing_;4	machao_mingzhong_;17	7
14020005		macao_feixing_;4	machao_mingzhong_;17	7
14020006		macao_feixing_;4	machao_mingzhong_;17	4
14020007		macao_feixing_;4	machao_mingzhong_;17	7
14020008		macao_feixing_;4	machao_mingzhong_;17	5
14020009		macao_feixing_;4	machao_mingzhong_;17	5
14020010		macao_feixing_;4	machao_mingzhong_;17	4
14020011		macao_feixing_;4	machao_mingzhong_;17	7
14020012		macao_feixing_;4	machao_mingzhong_;17	7
14020013		macao_feixing_;4	machao_mingzhong_;17	6
14020014		macao_feixing_;4	machao_mingzhong_;17	4
14020015		macao_feixing_;4	machao_mingzhong_;17	7
14020016		macao_feixing_;4	machao_mingzhong_;17	4
14020017		macao_feixing_;4	machao_mingzhong_;17	6
14020018		macao_feixing_;4	machao_mingzhong_;17	5
14020019		macao_feixing_;4	machao_mingzhong_;17	5
14020020		macao_feixing_;4	machao_mingzhong_;17	4
14020021		macao_feixing_;4	machao_mingzhong_;17	4
14020022		macao_feixing_;4	machao_mingzhong_;17	7
14020023		macao_feixing_;4	machao_mingzhong_;17	7
14020024		macao_feixing_;4	machao_mingzhong_;17	4
14020025		macao_feixing_;4	machao_mingzhong_;17	8
14020026		macao_feixing_;4	machao_mingzhong_;17	8
14020027		macao_feixing_;4	machao_mingzhong_;17	8
14020028		macao_feixing_;4	machao_mingzhong_;17	9
14020029		macao_feixing_;4	machao_mingzhong_;17	9
14020030		macao_feixing_;4	machao_mingzhong_;17	10
14020031		macao_feixing_;4	machao_mingzhong_;17	10
14020032		macao_feixing_;4	machao_mingzhong_;17	10
14020033		macao_feixing_;4	machao_mingzhong_;17	11
14020034		macao_feixing_;4	machao_mingzhong_;17	11
14020035		macao_feixing_;4	machao_mingzhong_;17	12
14020036		macao_feixing_;4	machao_mingzhong_;17	12
14020037		macao_feixing_;4	machao_mingzhong_;17	12
14020038		macao_feixing_;4	machao_mingzhong_;17	13
14020039		macao_feixing_;4	machao_mingzhong_;17	13
14020040		macao_feixing_;4	machao_mingzhong_;17	3
14020041		macao_feixing_;4	machao_mingzhong_;17	1
14020042		macao_feixing_;4	machao_mingzhong_;17	1
14020043		macao_feixing_;4	machao_mingzhong_;17	1
14020044		macao_feixing_;4	machao_mingzhong_;17	2
14020045		macao_feixing_;4	machao_mingzhong_;17	2
14020046		macao_feixing_;4	machao_mingzhong_;17	2
14020047		macao_feixing_;4	machao_mingzhong_;17	8
14020048		macao_feixing_;4	machao_mingzhong_;17	12
14020049		macao_feixing_;4	machao_mingzhong_;17	10
14020050		macao_feixing_;4	machao_mingzhong_;17	10
14020051		macao_feixing_;4	machao_mingzhong_;17	1
14020052		macao_feixing_;4	machao_mingzhong_;17	1
14020053		macao_feixing_;4	machao_mingzhong_;17	1
14020054		macao_feixing_;4	machao_mingzhong_;17	1
14020055		macao_feixing_;4	machao_mingzhong_;17	3
14020056		macao_feixing_;4	machao_mingzhong_;17	6
14020057		macao_feixing_;4	machao_mingzhong_;17	4
14020058		macao_feixing_;4	machao_mingzhong_;17	6
14020059		macao_feixing_;4	machao_mingzhong_;17	4
14020060		macao_feixing_;4	machao_mingzhong_;17	4
14020061		macao_feixing_;4	machao_mingzhong_;17	6
14020062		macao_feixing_;4	machao_mingzhong_;17	6
14020063		macao_feixing_;4	machao_mingzhong_;17	5
14020064		macao_feixing_;4	machao_mingzhong_;17	5
14020065		macao_feixing_;4	machao_mingzhong_;17	5
14020066		macao_feixing_;4	machao_mingzhong_;17	7
14020067		macao_feixing_;4	machao_mingzhong_;17	4
14020068		macao_feixing_;4	machao_mingzhong_;17	6
14020069		macao_feixing_;4	machao_mingzhong_;17	4
14020070		macao_feixing_;4	machao_mingzhong_;17	4
14020071		macao_feixing_;4	machao_mingzhong_;17	7
14020072		macao_feixing_;4	machao_mingzhong_;17	6
14020073		macao_feixing_;4	machao_mingzhong_;17	5
14020074		macao_feixing_;4	machao_mingzhong_;17	5
14020075		macao_feixing_;4	machao_mingzhong_;17	4
14020076		macao_feixing_;4	machao_mingzhong_;17	7
14020077		macao_feixing_;4	machao_mingzhong_;17	4
14020078		macao_feixing_;4	machao_mingzhong_;17	6
14020079		macao_feixing_;4	machao_mingzhong_;17	4
14020080		macao_feixing_;4	machao_mingzhong_;17	4
14020081		macao_feixing_;4	machao_mingzhong_;17	7
14020082		macao_feixing_;4	machao_mingzhong_;17	4
14020083		macao_feixing_;4	machao_mingzhong_;17	5
14020084		macao_feixing_;4	machao_mingzhong_;17	5
14020085		macao_feixing_;4	machao_mingzhong_;17	4
14020086		macao_feixing_;4	machao_mingzhong_;17	4
14020087		macao_feixing_;4	machao_mingzhong_;17	4
14020088		macao_feixing_;4	machao_mingzhong_;17	6
14020089		macao_feixing_;4	machao_mingzhong_;17	5
14020090		macao_feixing_;4	machao_mingzhong_;17	5
14020091		macao_feixing_;4	machao_mingzhong_;17	4
14020092		macao_feixing_;4	machao_mingzhong_;17	4
14020093		macao_feixing_;4	machao_mingzhong_;17	4
14020094		macao_feixing_;4	machao_mingzhong_;17	6
