#技能ID	名称	等级	图标	攻击阵营：1敌人2我方	伤害类型：1物理、2法术 3、加状态（不能被闪避）	1前排；2同列；3后排；4后列同排；5随机；6己方HP最低者；7自身	0不扩散；1列；2排；3周围；4所有人	BUFF效果：填写BUFF表的ID	效果概率	给自己加BUFF的效果	给自己加BUFF的几率	技能伤害（倍率	吸血	描述
skillid	name	level	icon	camp	type	target	diffusion	buffid	buffrandom	buff_me	buff_merandom	damage	blood	description
14010000	无双（4/4 攻）	1	1	1	1	1	4	0	0	15010000	10000	0.8	0	对敌全体造成80%物理伤害，自身3回合内增加60%格挡与100%物理防御
14010001	武圣（2/3 攻）	1	1	1	1	1	1	0	0	15010001	10000	1.2	1	对一列敌人造成120%物理伤害，自身2回合内增加100%反击，恢复造成伤害100%的生命值
14010002	卧龙（1/3 攻）	1	2	1	2	2	4	15010002	7000	0	0	0.7	0	对敌全体造成70%法术伤害并有70%几率昏迷1回合
14010003	龙胆（4/4 守）	1	3	1	1	1	1	0	0	15010003	10000	1.2	0	对一列敌人造成120%物理伤害，自身3回合内增加70%闪避。
14010004	奸雄（2/4 攻）	1	4	1	1	1	4	15010004	10000	0	0	0.7	0	对敌全体造成70%物理伤害，敌方2回合内降低50%防御与50%攻击
14010005	鬼才（1/3 攻）	1	4	1	2	3	2	15010005	10000	0	0	0.05	0	对敌后排造成5%法术伤害，其2回合内，每回合受到司马懿法攻170%的伤害
14010006	刚烈（1/3 攻·守）	1	4	1	1	5	3	0	0	0	0	1.6	0	对敌随机目标及目标周围敌人造成160%的物理伤害
14010007	红颜（4/4 攻·守）	1	4	2	3	7	4	15010007	10000	0	0	0	0	提升友方全体1点怒气
14010008	反间（2/2 攻）	1	4	1	1	1	4	15010008	10000	0	0	0.7	0	对敌全体造成70%物理伤害并沉默1回合
14010009	麒麟（3/3 攻）	1	4	1	2	2	0	15010009	10000	0	0	2.7	0	对敌单体造成270%法术伤害并昏迷1回合
14010010	骁勇（3/3 攻）	1	4	1	1	2	4	15010010	10000	0	0	0.5	0	对敌全体造成50%物理伤害，敌方3回合内每回合受到黄忠物攻40%的伤害
14010011	咆哮（3/5 守）	1	4	1	1	1	0	0	0	15010011	10000	1.4	0	对敌单体造成140%物理伤害，自身2回合内增加1000%物理防御与100%法术防御
14010012	突击（2/4 守）	1	4	1	1	1	1	15010012	10000	0	0	1.4	0	对一列敌人造成140%物理伤害，其2回合内，每回合降低1点怒气与40%攻击
14010013	帝王（2/4 守）	1	4	1	1	1	4	0	0	15010013	10000	0.5	0	对敌全体造成50%物理伤害，自身2回合内增加80%反击与50%格挡
14010014	睿智（1/3 攻）	1	4	1	2	2	2	15010014	10000	0	0	1.3	0	对一排敌人造成130%法术伤害，其2回合内每回合受到郭嘉法攻70%的伤害
14010015	狂傲（2/2 守）	1	4	1	1	1	2	15010015	4500	0	0	0.9	0	对一排敌人造成90%物理伤害，45%几率使其沉默1回合
14010016	霸王（1/2 守）	1	4	1	1	2	2	15010016	3500	0	0	1.1	0	对一排敌人造成110%物理伤害，35%几率使其昏迷1回合
14010017	仁德（2/3 攻）	1	4	2	3	7	3	15010017	10000	0	0	0	0	提升自身及周围武将50%防御和100%攻击，持续1回合
14010018	国色（0/2 攻·守）	1	4	1	1	2	0	15010018	10000	0	0	1.7	0	对敌单体造成170%法术伤害，减少其3点怒气
14010019	霸主（1/3 攻）	1	4	1	1	2	1	0	0	15010019	10000	1.1	0.5	对一列敌人造成110%物理伤害，40%几率出现暴击，恢复造成伤害50%的生命值
14010020	甘露（1/3 攻）	1	4	2	2	2	4	15010020	10000	0	0	1	0	己方全体，受到黄月英法攻的100%的治疗，1回合内50%格挡
14010021	追击（2/2 攻）	1	4	1	1	5	0	15010021	10000	0	0	1.6	0	对敌随机单体造成160%物理伤害，其5回合内每回合受到吕蒙物攻50%的伤害
14010022	勇猛（0/2 攻）	1	4	1	1	1	1	0	0	15010022	10000	1.1	0	对一列敌人造成110%物理伤害，60%几率出现暴击
14010023	名门（4/5 攻）	1	4	2	3	7	3	15010023	10000	0	0	0	0	每个回合提升自己及周围武将1点怒气，持续2个回合
14010024	黄天（1/1 攻·守）	1	4	1	2	5	0	15010024	10000	0	0	0.4	0	对敌随机目标40%法术伤害，其2回合内每1回合降低该武将1点怒气
14010025	凤雏（0/3 攻）	1	4	2	2	6	0	0	0	15010025	10000	2.5	0	恢复友方生命值最低的单位，恢复量为庞统法攻的250%，并使其法术防御提高1000%，持续1回合
14010026	神速（3/3 攻）	1	4	1	1	2	2	0	0	15010026	10000	1	0	对一排敌人造成100%物理伤害，自身3回合内增加30%暴击
