#状态ID	描述	特效ID	眩晕（0不生效）	沉默（0不生效）	即死概率	无敌(0否 1是)	屹立不倒(0否 1 是)	满血(0 否 1是)	加血减血（直接百分比）	满怒气(0 否 1是)	怒气	加怒气概率	物理攻击（百分比	法术攻击（百分比	物理防御（百分比	法术防御（百分比	提升的暴击	提升的闪避	提升的格挡	提升的反击	加血 通过武将的最高攻击来计算	减血 武将最高攻击与防御得出的伤害	持续回合	叠加(0不叠加 1叠加)	动画目录	动画帧数	动画播放类型（1、循环 2、播放一次 3、触发播放 4、不播放 5、播放一次+触发播放）	声音
statusid	description	icon	dizzy	silence	immediatelydead	god	cockroach	fullhp	addorsubhp	fullanger	anger	angerchance	phyatk	mgcatk	phydef	mgcdef	crit	dodge	block	counterattack	addhp	minushp	round	superposition	animationforld	animationFPS	animationtype	music
15010000	对敌全体造成80%物理伤害，自身3回合内增加60%格挡与100%物理防御	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6000	0	0	0	4	0	gedang_	13	2	
15010001	对一列敌人造成120%物理伤害，自身2回合内增加100%反击，恢复造成伤害100%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	3	0	fanji_	13	2	
15010002	对敌全体造成70%法术伤害并有70%几率昏迷1回合	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010003	对一列敌人造成120%物理伤害，自身3回合内增加70%闪避。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	0	0	0	0	4	0	shanbi_	16	2	
15010004	对敌全体造成70%物理伤害，敌方2回合内降低50%防御与50%攻击	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	2	0	jiangdigongji_	13	2	
15010005	对敌后排造成5%法术伤害，其2回合内，每回合受到司马懿法攻170%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	2	0	zhongdu_	13	3	zhongduZT.mp3
15010006	对敌随机目标及目标周围敌人造成160%的物理伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
15010007	提升友方全体1点怒气	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	1	0	nuqizengjia_	13	5	jianuqiZT.mp3
15010008	对敌全体造成70%物理伤害并沉默1回合	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	chenmo_	12	1	
15010009	对敌单体造成270%法术伤害并昏迷1回合	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
