#榜单类型	#名次	奖励
type	place	drop
1	1	22180001
1	2	22180002
1	3	22180003
1	4	22180004
1	5	22180005
1	6	22180006
1	7	22180007
1	8	22180008
1	9	22180009
1	10	22180010
1	11;20	22180011
1	21;30	22180012
1	31;40	22180013
1	41;50	22180014
1	51;70	22180015
1	71;100	22180016
1	101;200	22180017
1	201;300	22180018
1	301;400	22180019
1	401;500	22180020
1	501;700	22180021
1	701;1000	22180022
1	1001;-1	22180023
2	1	22180001
2	2	22180002
2	3	22180003
2	4	22180004
2	5	22180005
2	6	22180006
2	7	22180007
2	8	22180008
2	9	22180009
2	10	22180010
2	11;20	22180011
2	21;30	22180012
2	31;40	22180013
2	41;50	22180014
2	51;70	22180015
2	71;100	22180016
2	101;200	22180017
2	201;300	22180018
2	301;400	22180019
2	401;500	22180020
2	501;700	22180021
2	701;1000	22180022
2	1001;-1	22180023
3	1	22180001
3	2	22180002
3	3	22180003
3	4	22180004
3	5	22180005
3	6	22180006
3	7	22180007
3	8	22180008
3	9	22180009
3	10	22180010
3	11;20	22180011
3	21;30	22180012
3	31;40	22180013
3	41;50	22180014
3	51;70	22180015
3	71;100	22180016
3	101;200	22180017
3	201;300	22180018
3	301;400	22180019
3	401;500	22180020
3	501;700	22180021
3	701;1000	22180022
3	1001;-1	22180023
4	1	22180001
4	2	22180002
4	3	22180003
4	4	22180004
4	5	22180005
4	6	22180006
4	7	22180007
4	8	22180008
4	9	22180009
4	10	22180010
4	11;20	22180011
4	21;30	22180012
4	31;40	22180013
4	41;50	22180014
4	51;70	22180015
4	71;100	22180016
4	101;200	22180017
4	201;300	22180018
4	301;400	22180019
4	401;500	22180020
4	501;700	22180021
4	701;1000	22180022
4	1001;-1	22180023
5	1	22180001
5	2	22180002
5	3	22180003
5	4	22180004
5	5	22180005
5	6	22180006
5	7	22180007
5	8	22180008
5	9	22180009
5	10	22180010
5	11;20	22180011
5	21;30	22180012
5	31;40	22180013
5	41;50	22180014
5	51;70	22180015
5	71;100	22180016
5	101;200	22180017
5	201;300	22180018
5	301;400	22180019
5	401;500	22180020
5	501;700	22180021
5	701;1000	22180022
5	1001;-1	22180023
6	1	22180001
6	2	22180002
6	3	22180003
6	4	22180004
6	5	22180005
6	6	22180006
6	7	22180007
6	8	22180008
6	9	22180009
6	10	22180010
6	11;20	22180011
6	21;30	22180012
6	31;40	22180013
6	41;50	22180014
6	51;70	22180015
6	71;100	22180016
6	101;200	22180017
6	201;300	22180018
6	301;400	22180019
6	401;500	22180020
6	501;700	22180021
6	701;1000	22180022
6	1001;-1	22180023
