#突破前装备id	突破后装备id	需要绿水晶个数	需要蓝水晶个数	需要紫水晶个数	材料id	材料数量
id	nextid	gcrystalnum	bcrystalnum	ycrystalnum	materialid	num
17030050	17030051	3	0	0	0	0
17030051	17030052	5	0	0	0	0
17030052	17030053	8	3	0	0	0
17030053	17030054	10	5	0	0	0
17030054	17030055	12	8	3	0	0
17030055	17030056	15	10	5	17010061	1
17030057	17030058	3	0	0	0	0
17030058	17030059	5	0	0	0	0
17030059	17030060	8	3	0	0	0
17030060	17030061	10	5	0	0	0
17030061	17030062	12	8	3	0	0
17030062	17030063	15	10	5	17010061	1
17030064	17030065	3	0	0	0	0
17030065	17030066	5	0	0	0	0
17030066	17030067	8	3	0	0	0
17030067	17030068	10	5	0	0	0
17030068	17030069	12	8	3	0	0
17030069	17030070	15	10	5	17010061	1
17030071	17030072	3	0	0	0	0
17030072	17030073	5	0	0	0	0
17030073	17030074	8	3	0	0	0
17030074	17030075	10	5	0	0	0
17030075	17030076	12	8	3	0	0
17030076	17030077	15	10	5	17010061	1
17030078	17030079	3	0	0	0	0
17030079	17030080	5	0	0	0	0
17030080	17030081	8	3	0	0	0
17030081	17030082	10	5	0	0	0
17030082	17030083	12	8	3	0	0
17030083	17030084	15	10	5	17010061	1
17030085	17030086	3	0	0	0	0
17030086	17030087	5	0	0	0	0
17030087	17030088	8	3	0	0	0
17030088	17030089	10	5	0	0	0
17030089	17030090	12	8	3	0	0
17030090	17030091	15	10	5	17010061	1
17030092	17030093	3	0	0	0	0
17030093	17030094	5	0	0	0	0
17030094	17030095	8	3	0	0	0
17030095	17030096	10	5	0	0	0
17030096	17030097	12	8	3	0	0
17030097	17030098	15	10	5	17010061	1
17030099	17030100	3	0	0	0	0
17030100	17030101	5	0	0	0	0
17030101	17030102	8	3	0	0	0
17030102	17030103	10	5	0	0	0
17030103	17030104	12	8	3	0	0
17030104	17030105	15	10	5	17010061	1
17030106	17030107	3	0	0	0	0
17030107	17030108	5	0	0	0	0
17030108	17030109	8	3	0	0	0
17030109	17030110	10	5	0	0	0
17030110	17030111	12	8	3	0	0
17030111	17030112	15	10	5	17010061	1
17030113	17030114	3	0	0	0	0
17030114	17030115	5	0	0	0	0
17030115	17030116	8	3	0	0	0
17030116	17030117	10	5	0	0	0
