#id	类型 1：随机战斗 2：怪物事件 3：加血 4：宝箱事件 5：Boss	组(宝箱掉落组ID组、怪物mapID组、加血百分比组)
id	type	group
38041001	1	18050101;18050102;18050103;18050104;18050105
38041002	1	18050201;18050202;18050203;18050204;18050205
38041003	1	18050301;18050302;18050303;18050304;18050305
38041004	1	18050401;18050402;18050403;18050404;18050405
38041005	1	18050501;18050502;18050503;18050504;18050505
38041006	1	18050601;18050602;18050603;18050604;18050605
38041007	1	18050701;18050702;18050703;18050704;18050705
38041008	1	18050801;18050802;18050803;18050804;18050805
38041009	1	18050901;18050902;18050903;18050904;18050905
38041010	1	18051001;18051002;18051003;18051004;18051005
38041011	1	18051101;18051102;18051103;18051104;18051105
38041012	1	18051201;18051202;18051203;18051204;18051205
38041013	1	18051301;18051302;18051303;18051304;18051305
38041014	1	18051401;18051402;18051403;18051404;18051405
38041015	1	18051501;18051502;18051503;18051504;18051505
38041016	1	18051601;18051602;18051603;18051604;18051605
38041017	1	18051701;18051702;18051703;18051704;18051705
38041018	1	18051801;18051802;18051803;18051804;18051805
38041019	1	18051901;18051902;18051903;18051904;18051905
38041020	1	18052001;18052002;18052003;18052004;18052005
38041021	1	18052101;18052102;18052103;18052104;18052105
38041022	1	18052201;18052202;18052203;18052204;18052205
38041023	1	18052301;18052302;18052303;18052304;18052305
38041024	1	18052401;18052402;18052403;18052404;18052405
38041025	1	18052501;18052502;18052503;18052504;18052505
38041026	1	18052601;18052602;18052603;18052604;18052605
38041027	1	18052701;18052702;18052703;18052704;18052705
38041028	1	18052801;18052802;18052803;18052804;18052805
38041029	1	18052901;18052902;18052903;18052904;18052905
38041030	1	18053001;18053002;18053003;18053004;18053005
38041031	1	18053101;18053102;18053103;18053104;18053105
38041032	1	18053201;18053202;18053203;18053204;18053205
38041033	1	18053301;18053302;18053303;18053304;18053305
38041034	1	18053401;18053402;18053403;18053404;18053405
38041035	1	18053501;18053502;18053503;18053504;18053505
38041036	1	18053601;18053602;18053603;18053604;18053605
38041037	1	18053701;18053702;18053703;18053704;18053705
38041038	1	18053801;18053802;18053803;18053804;18053805
38041039	1	18053901;18053902;18053903;18053904;18053905
#		
38042001	2	18050106;18050107;18050108;18050109;18050110
38042002	2	18050206;18050207;18050208;18050209;18050210
38042003	2	18050306;18050307;18050308;18050309;18050310
38042004	2	18050406;18050407;18050408;18050409;18050410
38042005	2	18050506;18050507;18050508;18050509;18050510
38042006	2	18050606;18050607;18050608;18050609;18050610
38042007	2	18050706;18050707;18050708;18050709;18050710
38042008	2	18050806;18050807;18050808;18050809;18050810
38042009	2	18050906;18050907;18050908;18050909;18050910
38042010	2	18051006;18051007;18051008;18051009;18051010
38042011	2	18051106;18051107;18051108;18051109;18051110
38042012	2	18051206;18051207;18051208;18051209;18051210
38042013	2	18051306;18051307;18051308;18051309;18051310
38042014	2	18051406;18051407;18051408;18051409;18051410
38042015	2	18051506;18051507;18051508;18051509;18051510
38042016	2	18051606;18051607;18051608;18051609;18051610
38042017	2	18051706;18051707;18051708;18051709;18051710
38042018	2	18051806;18051807;18051808;18051809;18051810
38042019	2	18051906;18051907;18051908;18051909;18051910
38042020	2	18052006;18052007;18052008;18052009;18052010
38042021	2	18052106;18052107;18052108;18052109;18052110
38042022	2	18052206;18052207;18052208;18052209;18052210
38042023	2	18052306;18052307;18052308;18052309;18052310
38042024	2	18052406;18052407;18052408;18052409;18052410
38042025	2	18052506;18052507;18052508;18052509;18052510
38042026	2	18052606;18052607;18052608;18052609;18052610
38042027	2	18052706;18052707;18052708;18052709;18052710
38042028	2	18052806;18052807;18052808;18052809;18052810
38042029	2	18052906;18052907;18052908;18052909;18052910
38042030	2	18053006;18053007;18053008;18053009;18053010
38042031	2	18053106;18053107;18053108;18053109;18053110
38042032	2	18053206;18053207;18053208;18053209;18053210
38042033	2	18053306;18053307;18053308;18053309;18053310
38042034	2	18053406;18053407;18053408;18053409;18053410
38042035	2	18053506;18053507;18053508;18053509;18053510
38042036	2	18053606;18053607;18053608;18053609;18053610
38042037	2	18053706;18053707;18053708;18053709;18053710
38042038	2	18053806;18053807;18053808;18053809;18053810
38042039	2	18053906;18053907;18053908;18053909;18053910
#		
