#20151103_17:53副本id	地图id	副本名字	副本类型(1_经验 2_将魂)	次数	时间段开始(-1不开放)	时间段结束(-1不开放)	玩家等级区域(左)	玩家等级区域	经验房显示军令的数量	首次消耗军令	再次消耗军令	以后消耗系数（10*n*n*…）	首次获胜掉落	以后获胜掉落
id	mapid	name	type	count	avatime_s	avatime_e	left_interval	right_interval	isShowIcon	first_command	second_command	other_multi	first_drop	other_drop
31010000	18040001	【经验房1】	1	1	0	12	1	19	0	0	20	1	22070001;22070004	22070001;22070006;22070017
31010001	18040002	【经验房2】	1	1	12	14	1	19	30	0	20	1	22070001;22070004;22070000	22070001;22070006;22070017
31010002	18040003	【经验房3】	1	1	14	18	1	19	0	0	20	1	22070001;22070004	22070001;22070006;22070017
31010003	18040004	【经验房4】	1	1	18	20	1	19	30	0	20	1	22070001;22070004;22070000	22070001;22070006;22070017
31010004	18040005	【经验房5】	1	1	20	24	1	19	0	0	20	1	22070001;22070004	22070001;22070006;22070017
31010005	18040006	【经验房6】	1	1	0	12	20	29	0	0	20	1	22070002;22070005	22070003;22070006;22070017
31010006	18040007	【经验房7】	1	1	12	14	20	29	30	0	20	1	22070002;22070005;22070000	22070003;22070006;22070017
31010007	18040008	【经验房8】	1	1	14	18	20	29	0	0	20	1	22070002;22070005	22070003;22070006;22070017
31010008	18040009	【经验房9】	1	1	18	20	20	29	30	0	20	1	22070002;22070005;22070000	22070003;22070006;22070017
31010009	18040010	【经验房10】	1	1	20	24	20	29	0	0	20	1	22070002;22070005	22070003;22070006;22070017
31010010	18040011	【经验房11】	1	1	0	12	30	39	0	0	20	1	22070006;22070007	22070006;22070008;22070017
31010011	18040012	【经验房12】	1	1	12	14	30	39	30	0	20	1	22070006;22070007;22070000	22070006;22070008;22070017
31010012	18040013	【经验房13】	1	1	14	18	30	39	0	0	20	1	22070006;22070007	22070006;22070008;22070017
31010013	18040014	【经验房14】	1	1	18	20	30	39	30	0	20	1	22070006;22070007;22070000	22070006;22070008;22070017
31010014	18040015	【经验房15】	1	1	20	24	30	39	0	0	20	1	22070006;22070007	22070006;22070008;22070017
31010015	18040016	【经验房16】	1	1	0	12	40	49	0	0	20	1	22070009;22070011	22070010;22070012;22070017
31010016	18040017	【经验房17】	1	1	12	14	40	49	30	0	20	1	22070009;22070011;22070000	22070010;22070012;22070017
31010017	18040018	【经验房18】	1	1	14	18	40	49	0	0	20	1	22070009;22070011	22070010;22070012;22070017
31010018	18040019	【经验房19】	1	1	18	20	40	49	30	0	20	1	22070009;22070011;22070000	22070010;22070012;22070017
31010019	18040020	【经验房20】	1	1	20	24	40	49	0	0	20	1	22070009;22070011	22070010;22070012;22070017
31010020	18040021	【经验房21】	1	1	0	12	50	59	0	0	20	1	22070010;22070012	22070010;22070014;22070017
31010021	18040022	【经验房22】	1	1	12	14	50	59	30	0	20	1	22070010;22070012;22070000	22070010;22070014;22070017
31010022	18040023	【经验房23】	1	1	14	18	50	59	0	0	20	1	22070010;22070012	22070010;22070014;22070017
31010023	18040024	【经验房24】	1	1	18	20	50	59	30	0	20	1	22070010;22070012;22070000	22070010;22070014;22070017
31010024	18040025	【经验房25】	1	1	20	24	50	59	0	0	20	1	22070010;22070012	22070010;22070014;22070017
31010025	18040026	【经验房26】	1	1	0	12	60	100	0	0	20	1	22070013;22070016	22070014;22070015;22070017
31010026	18040027	【经验房27】	1	1	12	14	60	100	30	0	20	1	22070013;22070016;22070000	22070014;22070015;22070017
31010027	18040028	【经验房28】	1	1	14	18	60	100	0	0	20	1	22070013;22070016	22070014;22070015;22070017
31010028	18040029	【经验房29】	1	1	18	20	60	100	30	0	20	1	22070013;22070016;22070000	22070014;22070015;22070017
31010029	18040030	【经验房30】	1	1	20	24	60	100	0	0	20	1	22070013;22070016	22070014;22070015;22070017
