#编号	对应功能模块	开放条件:1征战关卡开放，2等级开放，3获得某物品开放，4获得后宫开放，5 VIP	对应参数	开放条件:1征战关卡开放，2等级开放，3获得某物品开放，4获得后宫开放，5 VIP	对应参数B	开启说明文字	开启限制图片
id	funName	avaliabelType	avaliableId	avaliabelTypeB	avaliableIdB	avaliableDesc	icon
37010001	任务	1	18010101	0			
37010002	酒馆	1	18010104	0		征战1-4开启	zz1-4.png
37010003	阵型	1	18010104	0		征战1-4开启	
37010004	试炼	1	18010204	0			
37010005	武将升级	1	18010103	0		征战1-3开启	
37010006	武将转生	1	18010202	0		征战2-2开启	
37010007	武将培养	1	18010206	0		征战2-6开启	
37020001	挑战	2	22	0		22级开启	jm22.png
37020002	竞技场	1	18010208	0		征战2-8开启	jm2-8.png
37020003	锻造	2	20	0		20级开启	zc20.png
37020004	市场	1	18010208	0		征战2-8开启	zz2-8.png
37020005	经验房	2	18	0		18级开启	jm18.png
37020006	游历	1	18010107	0		征战1-7开启	zz1-7.png
37020007	资源战	2	30	0		30级开启	jm30.png
37020008	科技	2	30	0		30级开启	zc30.png
37020009	闯关	2	26	0		26级开启	jm26.png
37020010	摇钱树	1	18010304	0		征战3-4开启	zz3-4.png
37020011	日常	2	18	0		18级开启	zc18.png
37020012	群雄	1	18010208	0		征战2-8开启	zz2-8.png
37020013	风云争霸	2	28	0		28级开启	jm28.png
37020014	神将榜	2	55	5	11	55级开启	jm55.png
37020015	名将榜	2	44	0		44级开启	jm44.png
37020016	天师榜	2	28	0		28级开启	jm28.png
37020017	武魁榜	2	37	0		37级开启	jm37.png
37020018	歃血榜	2	50	5	9	50级开启	jm50.png
37020019	最强榜	2	60	5	13	60级开启	jm60.png
37040001	后宫	4		0		获得佳人开启	zchuachuan.png
37040002	日常任务	2	15	0			
