#道具ID（全局唯一 但不要超过14位）	道具名称（客户端用来显示）	icon	描述	初始等级	道具主类型（类型配置见【道具配置说明.txt】）	道具子类型	品质	武将限制	职业限制	等级限制	售卖货币类型(AssetType)	出售	幸运市场价值（幸运值）	竞技市场中的价格（竞技点）	物理攻击最小值	物理攻击最大值	物理防御最小值	物理防御最大值	法术攻击最小值	法术攻击最大值	法术防御最小值	法术防御最大值	生命最小值	生命最大值	熔炼消耗	精炼消耗	"掉落关卡id（,分隔）"	掉落关卡text（;分隔）	最大成长度
id	name	icon	describe	level	classify	type	quality	reqrole	reqjob	reqlevel	sellmoneytype	sellprice	luckyprice	arenaprice	minphyatk	maxphyatk	minphydef	maxphydef	minmgcatk	maxmgcatk	minmgcdef	maxmgcdef	minhp	maxhp	meltcost	refinecost	dropid	droptext	maxgrow
17030050	九品龙胆	wqjz01.png	1级绿色近战武器	1	1	1	1	0	1	1	2	100	1	1	426	469	42	46	0	0	0	0	0	0	10000	0	18020101	试炼1-1掉落	80
17030051	九品龙胆	wqjz01.png	1级蓝色近战武器	1	1	1	2	0	1	1	2	150	1	1	511	562	51	56	0	0	0	0	0	0	50000	0	18020101	试炼1-1掉落	130
17030052	九品龙胆+	wqjz01.png	1级蓝色+1近战武器	1	1	1	3	0	1	1	2	200	1	1	614	675	61	67	0	0	0	0	0	0	80000	0	18020101	试炼1-1掉落	180
17030053	九品龙胆	wqjz01.png	1级紫色近战武器	1	1	1	4	0	1	1	2	250	1	1	732	883	73	88	0	0	0	0	0	0	100000	0	18020101	试炼1-1掉落	230
17030054	九品龙胆+	wqjz01.png	1级紫色+1近战武器	1	1	1	5	0	1	1	2	500	1	1	975	1137	97	113	0	0	0	0	0	0	150000	0	18020101	试炼1-1掉落	280
17030055	九品龙胆	wqjz01.png	1级橙色近战武器	1	1	1	6	0	1	1	2	1000	1	1	1241	1419	124	141	0	0	0	0	0	0	0	200000	18020101	试炼1-1掉落	330
17030056	九品龙胆+	wqjz01.png	1级橙色+1近战武器	1	1	1	7	0	1	1	2	5000	1	1	1545	1736	154	173	0	0	0	0	0	0	0	300000	18020101	试炼1-1掉落	380
17030057	九品易经	wqms01.png	1级绿色谋士武器	1	1	3	1	0	3	1	2	100	1	1	0	0	0	0	525	576	0	0	0	0	10000	0	18020106	试炼1-6掉落	80
17030058	九品易经	wqms01.png	1级蓝色谋士武器	1	1	3	2	0	3	1	2	150	1	1	0	0	0	0	630	691	0	0	0	0	50000	0	18020106	试炼1-6掉落	130
17030059	九品易经+	wqms01.png	1级蓝色+1谋士武器	1	1	3	3	0	3	1	2	200	1	1	0	0	0	0	756	830	0	0	0	0	80000	0	18020106	试炼1-6掉落	180
