#道具ID（全局唯一 但不要超过14位）	道具名称（客户端用来显示）	图标	描述	初始等级	道具主类型（类型配置见【道具配置说明.txt】）	道具子类型	品质	职业限制	等级限制	售卖货币类型(AssetType)	出售	幸运市场价值（幸运值）	竞技市场中的价格（竞技点）	自动使用	提供经验	最大叠加数量	包含的数量（基数，单个物品里面的数量）	掉落关卡id（;分隔）	掉落关卡text（;分隔）	跳转类型：12经验房 13闯关 23挑战 26聚贤阁 27幸运市场 28竞技市场 29威望市场 30活动 31锻造
id	name	icon	describe	level	classify	type	quality	reqjob	reqlevel	sellmoneytype	sellprice	luckyprice	arenaprice	autouse	offerexp	overlaynum	radix	dropid	droptext	jumpclass
17010000	初级原石	xuantie00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010101;18010601;18010706		
17010001	初级冰晶	fangjieshi00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010102;18010602;18010707		
17010002	初级丝绸	sichou00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010103;18010603;18010801		
17010003	初级冥草	wusehua00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010104;18010605;18010802		
17010004	初级朱砂	miyinfen00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010105;18010606;18010803		
17010005	初级兽角	guaishoujiao00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010106;18010607;18010805		
17010006	初级眼珀	kongshi00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010201;18010701;18010806		
17010007	初级翎羽	lingyu00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010202;18010702;18010807		
17010008	初级运符	cuiyu00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010203;18010703;18010901		
17010009	初级勾玉	yajian00.png	武将转生材料	1	6	0	40	0	1	2	100	0	1	0	0	9999	1	18010205;18010705;18010902		
17010010	中级原石	xuantie01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010103;18010903;18011101;18011403		
17010011	中级冰晶	fangjieshi01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010202;18010905;18011102;18011405		
17010012	中级丝绸	sichou01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010101;18010906;18011103;18011406		
17010013	中级冥草	wusehua01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010201;18010907;18011105;18011407		
17010014	中级朱砂	miyinfen01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010205;18011001;18011106;18011501		
17010015	中级兽角	guaishoujiao01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010102;18011002;18011107;18011502		
17010016	中级眼珀	kongshi01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010203;18011003;18011201;18011503		
