#id	#掉落组	组内编号	说明	物品id	物品数量	权重（总权重为10000）	是否显示
id	group	no	describe	itemid	num	weight	show
1	22010001	1	铜钱	17010039	1000	10000	1
2	22010001	2	主公经验	17010044	5000	10000	1
1	22010002	1	铜钱	17010039	1000	10000	1
2	22010002	2	主公经验	17010044	6000	10000	1
1	22010003	1	铜钱	17010039	1000	10000	1
2	22010003	2	主公经验	17010044	7000	10000	1
1	22010004	1	铜钱	17010039	1000	10000	1
2	22010004	2	主公经验	17010044	8000	10000	1
1	22010005	1	铜钱	17010039	1000	10000	1
2	22010005	2	主公经验	17010044	50000	10000	1
1	22010006	1	铜钱	17010039	1000	10000	1
2	22010006	2	主公经验	17010044	60000	10000	1
1	22010007	1	铜钱	17010039	1000	10000	1
2	22010007	2	主公经验	17010044	70000	10000	1
1	22010008	1	铜钱	17010039	1000	10000	1
2	22010008	2	主公经验	17010044	80000	10000	1
1	22020101	1	征战101_主公经验值	17010044	97	10000	0
2	22020101	2	征战101_武将经验值	17010048	100	10000	0
3	22020101	3	征战101_铜钱	17010039	114	10000	1
4	22020101	4	征战101_初级玄铁	17010000	1	10000	1
5	22020101	5	征战101_中级丝绸	17010012	1	9000	1
1	22020102	1	征战102_主公经验值	17010044	247	10000	0
2	22020102	2	征战102_武将经验值	17010048	100	10000	0
3	22020102	3	征战102_铜钱	17010039	116	10000	1
4	22020102	4	征战102_初级方解石	17010001	1	10000	1
5	22020102	5	征战102_中级怪兽角	17010015	1	9000	1
1	22020103	1	征战103_主公经验值	17010044	248	10000	0
2	22020103	2	征战103_武将经验值	17010048	100	10000	0
3	22020103	3	征战103_铜钱	17010039	118	10000	1
4	22020103	4	征战103_初级丝绸	17010002	1	10000	1
5	22020103	5	征战103_中级玄铁	17010010	1	9000	1
1	22020104	1	征战104_主公经验值	17010044	249	10000	0
2	22020104	2	征战104_武将经验值	17010048	100	10000	0
3	22020104	3	征战104_铜钱	17010039	121	10000	1
4	22020104	4	征战104_初级五色花	17010003	1	10000	1
5	22020104	5	征战104_中级翎羽	17010017	1	9000	1
1	22020105	1	征战105_主公经验值	17010044	250	10000	0
2	22020105	2	征战105_武将经验值	17010048	100	10000	0
3	22020105	3	征战105_铜钱	17010039	123	10000	1
4	22020105	4	征战105_初级秘银粉	17010004	1	10000	1
5	22020105	5	征战105_中级翠玉	17010018	1	9000	1
1	22020106	1	征战106_主公经验值	17010044	251	10000	0
2	22020106	2	征战106_武将经验值	17010048	100	10000	0
3	22020106	3	征战106_铜钱	17010039	126	10000	1
4	22020106	4	征战106_初级怪兽角	17010005	1	10000	1
5	22020106	5	征战106_中级牙尖	17010019	1	9000	1
1	22020107	1	征战107_主公经验值	17010044	252	10000	0
