#ID	地图ID	类型(1、征战2、试炼3、猎魂4、经验房5、将魂本6、闯关 7支线 8 宝箱)	只能通关一次（1是 0否）	地图文件	战斗背景	关卡在地图中的位置（x;y）	关卡icon	地图名	名称	等级限制	前置ID	后置ID	怪物组ID	剧情怪物	掉落	每天最多打多少次	军令消耗	扫荡军令消耗
id	mapid	type	onlyone	mapbg	battlebg	position	icon	mapname	levelname	levellimit	preid	nextid	monsterid	actormonsterid	drop	maxfightcount	command	mopupcommand
18010101	1	1	0	qiuling.png	btl01.png	95;104		第一章：江山与美人	征战1-1	1	0	0	23010101	23070000	22020101	50	3	1
18010102	1	1	0	qiuling.png	btl01.png	197;191		第一章：江山与美人	征战1-2	1	18010101	0	23010102	23070001	22020102	50	3	1
18010103	1	1	0	qiuling.png	btl01.png	302;109		第一章：江山与美人	征战1-3	1	18010102	0	23010103	23070002	22020103	50	3	1
18010104	1	1	0	qiuling.png	btl01.png	441;37		第一章：江山与美人	征战1-4	1	18010103	0	23010104	23070003	22020104	50	3	1
18010105	1	1	0	qiuling.png	btl01.png	493;187		第一章：江山与美人	征战1-5	1	18010104	0	23010105	23070004	22020105	50	3	1
18010106	1	1	0	qiuling.png	btl01.png	643;85		第一章：江山与美人	征战1-6	1	18010105	0	23010106	23070005	22020106	50	3	1
18010107	1	1	0	qiuling.png	btl01.png	841;115	imghead141.png	第一章：江山与美人	征战1-7	1	18010106	0	23010107	23070006	22020107	3	3	1
18010201	2	1	0	chaoxianshi.png	btl07.png	104;95		第二章：曹操的神器	征战2-1	7	18010107	0	23010201	0	22020201	50	3	1
18010202	2	1	0	chaoxianshi.png	btl07.png	157;234		第二章：曹操的神器	征战2-2	7	18010201	0	23010202	0	22020202	50	3	1
18010203	2	1	0	chaoxianshi.png	btl07.png	265;76		第二章：曹操的神器	征战2-3	7	18010202	0	23010203	0	22020203	50	3	1
18010204	2	1	0	chaoxianshi.png	btl07.png	399;164	imghead104.png	第二章：曹操的神器	征战2-4	7	18010203	0	23010204	0	22020204	3	3	1
18010205	2	1	0	chaoxianshi.png	btl07.png	523;67		第二章：曹操的神器	征战2-5	7	18010204	0	23010205	0	22020205	50	3	1
18010206	2	1	0	chaoxianshi.png	btl07.png	608;152		第二章：曹操的神器	征战2-6	7	18010205	0	23010206	0	22020206	50	3	1
18010207	2	1	0	chaoxianshi.png	btl07.png	695;242		第二章：曹操的神器	征战2-7	7	18010206	0	23010207	0	22020207	50	3	1
18010208	2	1	0	chaoxianshi.png	btl07.png	831;172	imghead035.png	第二章：曹操的神器	征战2-8	7	18010207	0	23010208	0	22020208	3	3	1
18010301	3	1	0	heliu.png	btl05.png	103;95		第三章：汉中大拆迁	征战3-1	15	18010208	0	23010301	0	22020301	50	3	1
18010302	3	1	0	heliu.png	btl05.png	194;215		第三章：汉中大拆迁	征战3-2	15	18010301	0	23010302	0	22020302	50	3	1
18010303	3	1	0	heliu.png	btl05.png	353;241		第三章：汉中大拆迁	征战3-3	15	18010302	0	23010303	0	22020303	50	3	1
18010304	3	1	0	heliu.png	btl05.png	403;142	imghead144.png	第三章：汉中大拆迁	征战3-4	15	18010303	0	23010304	0	22020304	3	3	1
18010305	3	1	0	heliu.png	btl05.png	527;75		第三章：汉中大拆迁	征战3-5	15	18010304	0	23010305	0	22020305	50	3	1
18010306	3	1	0	heliu.png	btl05.png	685;84		第三章：汉中大拆迁	征战3-6	15	18010305	0	23010306	0	22020306	50	3	1
18010307	3	1	0	heliu.png	btl05.png	759;190		第三章：汉中大拆迁	征战3-7	15	18010306	0	23010307	0	22020307	50	3	1
18010308	3	1	0	heliu.png	btl05.png	873;116	imghead038.png	第三章：汉中大拆迁	征战3-8	15	18010307	0	23010308	0	22020308	3	3	1
18010401	4	1	0	senlin.png	btl02.png	96;169		第四章：西域之行	征战4-1	20	18010308	0	23010401	0	22020401	50	3	1
18010402	4	1	0	senlin.png	btl02.png	198;65		第四章：西域之行	征战4-2	20	18010401	0	23010402	0	22020402	50	3	1
18010403	4	1	0	senlin.png	btl02.png	387;59		第四章：西域之行	征战4-3	20	18010402	0	23010403	0	22020403	50	3	1
18010404	4	1	0	senlin.png	btl02.png	379;225	imghead132.png	第四章：西域之行	征战4-4	20	18010403	0	23010404	0	22020404	3	3	1
18010405	4	1	0	senlin.png	btl02.png	513;243		第四章：西域之行	征战4-5	20	18010404	0	23010405	0	22020405	50	3	1
18010406	4	1	0	senlin.png	btl02.png	533;105		第四章：西域之行	征战4-6	20	18010405	0	23010406	0	22020406	50	3	1
18010407	4	1	0	senlin.png	btl02.png	692;59		第四章：西域之行	征战4-7	20	18010406	0	23010407	0	22020407	50	3	1
18010408	4	1	0	senlin.png	btl02.png	834;109	imghead060.png	第四章：西域之行	征战4-8	20	18010407	0	23010408	0	22020408	3	3	1
18010501	5	1	0	xue.png	btl04.png	104;95		第五章：赤壁纵火案	征战5-1	26	18010408	0	23010501	0	22020501	50	3	1
18010502	5	1	0	xue.png	btl04.png	157;234		第五章：赤壁纵火案	征战5-2	26	18010501	0	23010502	0	22020502	50	3	1
18010503	5	1	0	xue.png	btl04.png	265;76		第五章：赤壁纵火案	征战5-3	26	18010502	0	23010503	0	22020503	50	3	1
18010504	5	1	0	xue.png	btl04.png	399;164	imghead124.png	第五章：赤壁纵火案	征战5-4	26	18010503	0	23010504	0	22020504	3	3	1
18010505	5	1	0	xue.png	btl04.png	523;67		第五章：赤壁纵火案	征战5-5	26	18010504	0	23010505	0	22020505	50	3	1
18010506	5	1	0	xue.png	btl04.png	608;152		第五章：赤壁纵火案	征战5-6	26	18010505	0	23010506	0	22020506	50	3	1
18010507	5	1	0	xue.png	btl04.png	695;242		第五章：赤壁纵火案	征战5-7	26	18010506	0	23010507	0	22020507	50	3	1
18010508	5	1	0	xue.png	btl04.png	831;172	imghead014.png	第五章：赤壁纵火案	征战5-8	26	18010507	0	23010508	0	22020508	3	3	1
18010601	6	1	0	xuejing.png	btl04.png	103;95		第六章：舍命救小乔	征战6-1	28	18010508	0	23010601	0	22020601	50	3	1
18010602	6	1	0	xuejing.png	btl04.png	194;215		第六章：舍命救小乔	征战6-2	28	18010601	0	23010602	0	22020602	50	3	1
18010603	6	1	0	xuejing.png	btl04.png	353;241		第六章：舍命救小乔	征战6-3	28	18010602	0	23010603	0	22020603	50	3	1
18010604	6	1	0	xuejing.png	btl04.png	403;142	imghead005.png	第六章：舍命救小乔	征战6-4	28	18010603	0	23010604	0	22020604	3	3	1
18010605	6	1	0	xuejing.png	btl04.png	527;75		第六章：舍命救小乔	征战6-5	28	18010604	0	23010605	0	22020605	50	3	1
18010606	6	1	0	xuejing.png	btl04.png	685;84		第六章：舍命救小乔	征战6-6	28	18010605	0	23010606	0	22020606	50	3	1
18010607	6	1	0	xuejing.png	btl04.png	759;190		第六章：舍命救小乔	征战6-7	28	18010606	0	23010607	0	22020607	50	3	1
18010608	6	1	0	xuejing.png	btl04.png	873;116	imghead071.png	第六章：舍命救小乔	征战6-8	28	18010607	0	23010608	0	22020608	3	3	1
18010701	7	1	0	yewan.png	btl03.png	96;169		第七章：官渡之战	征战7-1	30	18010608	0	23010701	0	22020701	50	3	1
18010702	7	1	0	yewan.png	btl03.png	198;65		第七章：官渡之战	征战7-2	30	18010701	0	23010702	0	22020702	50	3	1
18010703	7	1	0	yewan.png	btl03.png	387;59		第七章：官渡之战	征战7-3	30	18010702	0	23010703	0	22020703	50	3	1
18010704	7	1	0	yewan.png	btl03.png	379;225	imghead055.png	第七章：官渡之战	征战7-4	30	18010703	0	23010704	0	22020704	3	3	1
18010705	7	1	0	yewan.png	btl03.png	513;243		第七章：官渡之战	征战7-5	30	18010704	0	23010705	0	22020705	50	3	1
18010706	7	1	0	yewan.png	btl03.png	533;105		第七章：官渡之战	征战7-6	30	18010705	0	23010706	0	22020706	50	3	1
18010707	7	1	0	yewan.png	btl03.png	692;59		第七章：官渡之战	征战7-7	30	18010706	0	23010707	0	22020707	50	3	1
18010708	7	1	0	yewan.png	btl03.png	834;109	imghead513.png	第七章：官渡之战	征战7-8	30	18010707	0	23010708	0	22020708	3	3	1
18010801	8	1	0	chaoxianshi.png	btl07.png	104;95		第八章：反间计(上)	征战8-1	32	18010708	0	23010801	0	22020801	50	3	1
18010802	8	1	0	chaoxianshi.png	btl07.png	157;234		第八章：反间计(上)	征战8-2	32	18010801	0	23010802	0	22020802	50	3	1
18010803	8	1	0	chaoxianshi.png	btl07.png	265;76		第八章：反间计(上)	征战8-3	32	18010802	0	23010803	0	22020803	50	3	1
18010804	8	1	0	chaoxianshi.png	btl07.png	399;164	imghead051.png	第八章：反间计(上)	征战8-4	32	18010803	0	23010804	0	22020804	3	3	1
18010805	8	1	0	chaoxianshi.png	btl07.png	523;67		第八章：反间计(上)	征战8-5	32	18010804	0	23010805	0	22020805	50	3	1
