#怪物组ID	怪物名称	"阵型ID,对应fromation.txt"	位置	怪物ID	主将(是1，不是0)
id	name	formationid	pos	soldierid	leader
23010101	张曼成	16000101	2	24010000	1
23010101	短弓兵	16000101	5	24010001	0
23010102	轻步兵	16000101	2	24010002	0
23010102	雷公	16000101	5	24010003	1
23010103	白绕	16000101	2	24010004	1
23010103	雷计谋士	16000101	5	24010005	0
23010104	丁奉	16000101	5	24010006	1
23010104	轻骑兵	16000101	2	24010007	0
23010105	刀盾兵	16000101	2	24010008	0
23010105	五鹿	16000101	5	24010009	1
23010106	赵范	16000101	2	24010010	1
23010106	雷计谋士	16000101	5	24010011	0
23010107	刀盾兵	16000101	1	24010012	0
23010107	短弓兵	16000101	3	24010013	0
23010107	马岱	16000101	5	24010014	1
23010201	轻步兵	16000101	2	24010015	0
23010201	马云禄	16000101	5	24010016	1
23010201	雷计谋士	16000101	8	24010017	0
23010202	刘艾	16000101	3	24010018	1
23010202	弓骑兵	16000101	6	24010019	0
23010202	水计谋士	16000101	9	24010020	0
23010203	刀盾兵	16000101	2	24010021	0
23010203	弓骑兵	16000101	5	24010022	0
23010203	陈琳	16000101	8	24010023	1
23010204	潘凤	16000101	7	24010625	1
23010204	刀盾兵	16000101	1	24010021	0
23010204	弓骑兵	16000101	5	24010022	0
23010205	张角	16000101	1	24010024	1
23010205	短弓兵	16000101	4	24010025	0
23010205	火计谋士	16000101	7	24010026	0
23010206	波才	16000101	1	24010027	1
23010206	轻步兵	16000101	2	24010028	0
23010206	弓骑兵	16000101	5	24010029	0
23010207	韩忠	16000101	2	24010030	1
23010207	轻骑兵	16000101	4	24010031	0
23010207	医疗兵	16000101	5	24010032	0
23010208	轻步兵	16000101	2	24010033	0
23010208	弓骑兵	16000101	5	24010034	0
23010208	太史慈	16000101	6	24010036	1
23010301	重步兵	16000101	1	24010037	0
23010301	侯成	16000101	2	24010038	1
23010301	长弓兵	16000101	5	24010039	0
23010301	火计谋士	16000101	4	24010040	0
23010302	禁军	16000101	2	24010041	0
23010302	枪骑兵	16000101	3	24010042	0
23010302	郭汜	16000101	5	24010043	1
23010302	医疗兵	16000101	6	24010044	0
23010303	长弓兵	16000101	4	24010045	0
23010303	枪骑兵	16000101	1	24010046	0
23010303	管亥	16000101	7	24010047	1
23010303	水计谋士	16000101	8	24010048	0
23010304	荀彧	16000101	9	24010626	1
23010304	禁军	16000101	1	24010041	0
23010304	长弓兵	16000101	3	24010045	0
23010304	火计谋士	16000101	4	24010040	0
23010305	枪骑兵	16000101	2	24010049	0
23010305	长弓兵	16000101	5	24010050	0
23010305	廖化	16000101	8	24010051	1
23010305	医疗兵	16000101	7	24010052	0
23010306	高顺	16000101	2	24010053	1
23010306	弓骑兵	16000101	5	24010054	0
23010306	雷计谋士	16000101	8	24010055	0
23010306	医疗兵	16000101	6	24010056	0
23010307	长弓兵	16000101	5	24010057	0
23010307	重步兵	16000101	2	24010058	0
23010307	长弓兵	16000101	8	24010059	0
23010307	牛金	16000101	7	24010060	1
23010308	张辽	16000101	9	24010061	1
23010308	重步兵	16000101	5	24010062	0
23010308	弓骑兵	16000101	3	24010063	0
23010308	火计谋士	16000101	8	24010064	0
23010401	刘璋	16000101	5	24010065	1
23010401	枪骑兵	16000101	1	24010066	0
23010401	水计谋士	16000101	6	24010067	0
23010401	医疗兵	16000101	4	24010068	0
23010402	禁军	16000101	1	24010069	0
23010402	崔勇	16000101	6	24010070	1
23010402	长弓兵	16000101	5	24010071	0
23010402	火计谋士	16000101	8	24010072	0
23010403	潘凤	16000101	5	24010073	1
23010403	弓骑兵	16000101	1	24010074	0
23010403	雷计谋士	16000101	3	24010075	0
23010403	医疗兵	16000101	9	24010076	0
23010404	文丑	16000101	5	24010627	1
23010404	禁军	16000101	1	24010069	0
23010404	弓骑兵	16000101	4	24010074	0
23010404	雷计谋士	16000101	7	24010075	0
23010405	重步兵	16000101	2	24010077	0
23010405	长弓兵	16000101	4	24010078	0
23010405	弓骑兵	16000101	6	24010079	0
23010405	刘综	16000101	8	24010080	1
23010406	滕胤	16000101	8	24010081	1
