#时间	顺序	奖励（掉落组）	倍率	倍率要求的vip等级	对应vip图片
month	order	drop	multiply	reqvip	vipImg
1	1	22050000	1	0	0
1	2	22050001	1	0	0
1	3	22050002	2	1	qiandaosb1.png
1	4	22050003	2	2	qiandaosb2.png
1	5	22050004	1	0	0
1	6	22050005	2	3	qiandaosb3.png
1	7	22050006	1	0	0
1	8	22050007	2	4	qiandaosb4.png
1	9	22050008	2	5	qiandaosb5.png
1	10	22050009	1	0	0
1	11	22050010	2	6	qiandaosb6.png
1	12	22050011	1	0	0
1	13	22050012	2	7	qiandaosb7.png
1	14	22050013	2	8	qiandaosb8.png
1	15	22050014	1	0	0
1	16	22050015	2	9	qiandaosb9.png
1	17	22050016	1	0	0
1	18	22050017	2	10	qiandaosb10.png
1	19	22050018	2	11	qiandaosb11.png
1	20	22050019	1	0	0
1	21	22050020	2	12	qiandaosb12.png
1	22	22050021	1	0	0
1	23	22050022	2	13	qiandaosb13.png
1	24	22050023	2	14	qiandaosb14.png
1	25	22050024	1	0	0
1	26	22050025	2	15	qiandaosb15.png
1	27	22050026	2	15	qiandaosb15.png
1	28	22050027	1	0	0
1	29	22050028	1	0	0
1	30	22050029	2	15	qiandaosb15.png
1	31	22050030	2	15	qiandaosb15.png
#					
2	1	22050000	1	0	0
2	2	22050001	1	0	0
2	3	22050002	2	1	qiandaosb1.png
2	4	22050003	2	2	qiandaosb2.png
2	5	22050004	1	0	0
2	6	22050005	2	3	qiandaosb3.png
2	7	22050006	1	0	0
2	8	22050007	2	4	qiandaosb4.png
2	9	22050008	2	5	qiandaosb5.png
2	10	22050009	1	0	0
2	11	22050010	2	6	qiandaosb6.png
2	12	22050011	1	0	0
2	13	22050012	2	7	qiandaosb7.png
2	14	22050013	2	8	qiandaosb8.png
2	15	22050014	1	0	0
2	16	22050015	2	9	qiandaosb9.png
2	17	22050016	1	0	0
2	18	22050017	2	10	qiandaosb10.png
2	19	22050018	2	11	qiandaosb11.png
2	20	22050019	1	0	0
2	21	22050020	2	12	qiandaosb12.png
2	22	22050021	1	0	0
2	23	22050022	2	13	qiandaosb13.png
2	24	22050023	2	14	qiandaosb14.png
2	25	22050024	1	0	0
2	26	22050025	2	15	qiandaosb15.png
2	27	22050026	2	15	qiandaosb15.png
2	28	22050027	1	0	0
2	29	22050028	1	0	0
2	30	22050029	2	15	qiandaosb15.png
2	31	22050030	2	15	qiandaosb15.png
#					
3	1	22050000	1	0	0
3	2	22050001	1	0	0
3	3	22050002	2	1	qiandaosb1.png
3	4	22050003	2	2	qiandaosb2.png
3	5	22050004	1	0	0
3	6	22050005	2	3	qiandaosb3.png
3	7	22050006	1	0	0
3	8	22050007	2	4	qiandaosb4.png
3	9	22050008	2	5	qiandaosb5.png
3	10	22050009	1	0	0
3	11	22050010	2	6	qiandaosb6.png
3	12	22050011	1	0	0
3	13	22050012	2	7	qiandaosb7.png
3	14	22050013	2	8	qiandaosb8.png
3	15	22050014	1	0	0
3	16	22050015	2	9	qiandaosb9.png
3	17	22050016	1	0	0
3	18	22050017	2	10	qiandaosb10.png
3	19	22050018	2	11	qiandaosb11.png
3	20	22050019	1	0	0
3	21	22050020	2	12	qiandaosb12.png
3	22	22050021	1	0	0
3	23	22050022	2	13	qiandaosb13.png
3	24	22050023	2	14	qiandaosb14.png
3	25	22050024	1	0	0
3	26	22050025	2	15	qiandaosb15.png
3	27	22050026	2	15	qiandaosb15.png
3	28	22050027	1	0	0
3	29	22050028	1	0	0
3	30	22050029	2	15	qiandaosb15.png
3	31	22050030	2	15	qiandaosb15.png
#					
4	1	22050000	1	0	0
4	2	22050001	1	0	0
4	3	22050002	2	1	qiandaosb1.png
4	4	22050003	2	2	qiandaosb2.png
4	5	22050004	1	0	0
4	6	22050005	2	3	qiandaosb3.png
4	7	22050006	1	0	0
4	8	22050007	2	4	qiandaosb4.png
4	9	22050008	2	5	qiandaosb5.png
4	10	22050009	1	0	0
4	11	22050010	2	6	qiandaosb6.png
4	12	22050011	1	0	0
4	13	22050012	2	7	qiandaosb7.png
4	14	22050013	2	8	qiandaosb8.png
4	15	22050014	1	0	0
4	16	22050015	2	9	qiandaosb9.png
4	17	22050016	1	0	0
4	18	22050017	2	10	qiandaosb10.png
4	19	22050018	2	11	qiandaosb11.png
4	20	22050019	1	0	0
4	21	22050020	2	12	qiandaosb12.png
4	22	22050021	1	0	0
4	23	22050022	2	13	qiandaosb13.png
4	24	22050023	2	14	qiandaosb14.png
4	25	22050024	1	0	0
4	26	22050025	2	15	qiandaosb15.png
4	27	22050026	2	15	qiandaosb15.png
4	28	22050027	1	0	0
4	29	22050028	1	0	0
4	30	22050029	2	15	qiandaosb15.png
4	31	22050030	2	15	qiandaosb15.png
#					
5	1	22050000	1	0	0
5	2	22050001	1	0	0
5	3	22050002	2	1	qiandaosb1.png
5	4	22050003	2	2	qiandaosb2.png
5	5	22050004	1	0	0
5	6	22050005	2	3	qiandaosb3.png
5	7	22050006	1	0	0
5	8	22050007	2	4	qiandaosb4.png
5	9	22050008	2	5	qiandaosb5.png
5	10	22050009	1	0	0
5	11	22050010	2	6	qiandaosb6.png
5	12	22050011	1	0	0
5	13	22050012	2	7	qiandaosb7.png
5	14	22050013	2	8	qiandaosb8.png
5	15	22050014	1	0	0
5	16	22050015	2	9	qiandaosb9.png
5	17	22050016	1	0	0
5	18	22050017	2	10	qiandaosb10.png
5	19	22050018	2	11	qiandaosb11.png
5	20	22050019	1	0	0
5	21	22050020	2	12	qiandaosb12.png
5	22	22050021	1	0	0
5	23	22050022	2	13	qiandaosb13.png
5	24	22050023	2	14	qiandaosb14.png
5	25	22050024	1	0	0
5	26	22050025	2	15	qiandaosb15.png
5	27	22050026	2	15	qiandaosb15.png
5	28	22050027	1	0	0
5	29	22050028	1	0	0
5	30	22050029	2	15	qiandaosb15.png
5	31	22050030	2	15	qiandaosb15.png
#					
6	1	22050000	1	0	0
6	2	22050001	1	0	0
6	3	22050002	2	1	qiandaosb1.png
6	4	22050003	2	2	qiandaosb2.png
6	5	22050004	1	0	0
6	6	22050005	2	3	qiandaosb3.png
6	7	22050006	1	0	0
6	8	22050007	2	4	qiandaosb4.png
6	9	22050008	2	5	qiandaosb5.png
6	10	22050009	1	0	0
6	11	22050010	2	6	qiandaosb6.png
6	12	22050011	1	0	0
6	13	22050012	2	7	qiandaosb7.png
