#层数	难度	战力	物攻倍率	物防倍率	法攻倍率	法防倍率	生命倍率	怪物组(mapid)完全随机(; 分割)	宝箱概率	宝箱组(; 分割)	攻击属性概率	增加的攻击	防御属性概率	增加的防御	生命属性概率	增加的生命	战功比重(概率_战功数;)
Layer	Difficulty	ZL	PhyAtkParam	PhyDefParam	MgcAtkParam	MgcDefParam	HPParam	MapIDGroup	R_BoxProb	R_BoxGroup	R_AtkProb	R_AtkParam	R_DefProb	R_DefParam	R_HpProb	R_HPParam	R_Exploits
1	1	1	3.52	3.52	3.52	3.52	3.52	18061003;18061013;18062024;18062034;18062059;18063068;18063072;18063079;18063085;18063104;18064114;18064118;18064125;18065166;18065169;18062026;18063066;18064116	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
1	2	1	4	4	4	4	4	18061003;18061013;18062024;18062034;18062059;18063068;18063072;18063079;18063085;18063104;18064114;18064118;18064125;18065166;18065169;18062026;18063066;18064116	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
1	3	1	4.48	4.48	4.48	4.48	4.48	18061003;18061013;18062024;18062034;18062059;18063068;18063072;18063079;18063085;18063104;18064114;18064118;18064125;18065166;18065169;18062026;18063066;18064116	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
2	1	1	3.78	3.78	3.78	3.78	3.78	18061008;18061016;18061022;18062036;18062062;18063071;18063081;18064117;18064128;18064151;18064154;18065164;18065171;18065185;18065194;18062032;18063076;18064122	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
2	2	1	4.3	4.3	4.3	4.3	4.3	18061008;18061016;18061022;18062036;18062062;18063071;18063081;18064117;18064128;18064151;18064154;18065164;18065171;18065185;18065194;18062032;18063076;18064122	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
2	3	1	4.82	4.82	4.82	4.82	4.82	18061008;18061016;18061022;18062036;18062062;18063071;18063081;18064117;18064128;18064151;18064154;18065164;18065171;18065185;18065194;18062032;18063076;18064122	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
3	1	1	4.05	4.05	4.05	4.05	4.05	18061006;18061021;18062029;18062037;18062054;18063069;18063084;18063097;18063109;18064120;18064136;18064152;18064161;18065170;18065195;18062040;18063087;18064149	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
3	2	1	4.6	4.6	4.6	4.6	4.6	18061006;18061021;18062029;18062037;18062054;18063069;18063084;18063097;18063109;18064120;18064136;18064152;18064161;18065170;18065195;18062040;18063087;18064149	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
3	3	1	5.15	5.15	5.15	5.15	5.15	18061006;18061021;18062029;18062037;18062054;18063069;18063084;18063097;18063109;18064120;18064136;18064152;18064161;18065170;18065195;18062040;18063087;18064149	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
4	1	1	4.31	4.31	4.31	4.31	4.31	18061011;18061018;18061023;18062041;18062050;18063070;18063090;18063100;18063110;18064115;18064127;18064146;18064159;18065168;18065193;18062047;18063098;18064156	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
