#战功数	宝箱组(; 分割)	品级
Exploits	Reweards	grade
3	22060001;22060005;22060010	1
6	22060001;22060005;22060010	1
10	22060001;22060005;22060010	1
13	22060001;22060005;22060010	2
16	22060001;22060005;22060010	2
20	22060001;22060005;22060010	2
23	22060001;22060005;22060010	3
26	22060001;22060005;22060010	3
30	22060001;22060005;22060010	3
33	22060001;22060005;22060010	4
36	22060001;22060005;22060010;22060002;22060011	4
40	22060001;22060005;22060010;22060002;22060011	4
43	22060001;22060005;22060010;22060002;22060011	5
46	22060001;22060005;22060010;22060002;22060011	5
50	22060001;22060005;22060010;22060002;22060011	5
53	22060001;22060005;22060010;22060002;22060011	6
56	22060001;22060005;22060010;22060002;22060011	6
60	22060001;22060005;22060010;22060002;22060011	6
63	22060001;22060005;22060010;22060002;22060011	7
66	22060001;22060005;22060010;22060002;22060011;22069002	7
70	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	7
73	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	8
76	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	8
80	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	8
83	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	9
86	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	9
90	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	9
93	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	10
96	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	10
100	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060006	10
103	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	11
106	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	11
110	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	11
113	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	12
116	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	12
120	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	12
123	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	13
126	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	13
130	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	13
133	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060007;22060004	14
136	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	14
140	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	14
143	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	15
146	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	15
150	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	15
153	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	16
156	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	16
160	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	16
163	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	17
166	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	17
170	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	17
173	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	18
176	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	18
180	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	18
183	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	19
186	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	19
190	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	19
193	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	20
196	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	20
200	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	20
203	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	21
206	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	21
210	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	21
213	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	22
216	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	22
220	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	22
223	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	23
226	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	23
230	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	23
233	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	24
236	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	24
240	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	24
243	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	25
246	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	25
250	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	25
253	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	26
256	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	26
260	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	26
263	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	27
266	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	27
270	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	27
273	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	28
276	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	28
280	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	28
283	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	29
286	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	29
290	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	29
293	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	30
296	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	30
300	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	30
303	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	31
306	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	31
310	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	31
313	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	32
316	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	32
320	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	32
323	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	33
326	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	33
330	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	33
333	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	34
336	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	34
340	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	34
343	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	35
346	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	35
350	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	35
353	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	36
356	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	36
360	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	36
363	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	37
366	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	37
370	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	37
373	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	38
376	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	38
380	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	38
383	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	39
386	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	39
390	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	39
