#ID	名字	类型(相同类型的为一列)	每日次数(针对类型、同一列)	等级限制	前置ID(0无限制)	后置ID(0无)	层配置ID(floorgroup.txt中的ID)	关卡图标	掉落物品图标（只为显示用）	战斗背景
id	name	type	count	levellimit	preid	backid	floorgroupid	icon	dropitem	battlebg
38011001	虎牢关	1	2	1	0	38011002	38021001	hlgditu.png	17030167;17030125;17010061;17010060	btl05.png
38011002	洛阳	1	2	1	38011001	38011003	38021002	lyditu.png	17030202;17030195;17010062;17010060	btl03.png
38011003	下邳	1	2	1	38011002	0	38021003	xpditu.png	17030300;17030244;17010063;17010060	btl01.png
38012001	官渡	2	2	35	0	38012002	38022001	gdditu.png	17030272;17030286;17010064;17010060	btl02.png
38012002	当阳桥	2	2	35	38012001	38012003	38022002	dyqditu.png	17030384;17030419;17010065;17010060	btl06.png
38012003	长坂坡	2	2	35	38012002	38012004	38022003	cbpditu.png	17030496;17030538;17010066;17010060	btl03.png
38012004	赤壁	2	2	35	38012003	38012005	38022004	cbditu.png	17030650;17030643;17010067;17010060	btl07.png
38012005	华容道	2	2	35	38012004	0	38022005	hrdditu.png	17030762;17030776;17010068;17010060	btl01.png
38013001	落凤坡	3	2	50	0	38013002	38023001	lfpditu.png	17030447;17030475;17010069;17010060	btl04.png
38013002	汉中	3	2	50	38013001	38013003	38023002	hzditu.png	17030566;17030587;17010070;17010060	btl01.png
38013003	天水	3	2	50	38013002	38013004	38023003	tsditu.png	17030685;17030713;17010071;17010060	btl04.png
38013004	麦城	3	2	50	38013003	38013005	38023004	mcditu.png	17030769;17030748;17010072;17010060	btl02.png
38013005	五丈原	3	2	50	38013004	0	38023005	wzyditu.png	17030755;17030776;17010073;17010060	btl06.png
