#等级	经验
level	reqexp
1	249
2	267
3	270
4	273
5	276
6	279
7	282
8	286
9	289
10	292
11	295
12	299
13	1000
14	1500
15	4741
16	5309
17	6354
18	8376
19	9060
20	11467
21	15320
22	172700
23	184580
24	202290
25	216200
26	226310
27	232570
28	234980
29	256850
30	292460
31	325610
32	358890
33	392300
34	425840
35	459510
36	493320
37	527260
38	561330
39	595540
40	687150
41	820490
42	885368
43	950510
44	1015905
45	1081553
46	1251780
47	1323972
48	1396440
49	1469196
50	1578312
51	1704468
52	1831128
53	1958280
54	2000000
55	2000000
56	2000000
57	2000000
58	2000000
59	2000000
60	2000000
61	2000000
62	2000000
63	2000000
64	2000000
65	2000000
66	2000000
67	2000000
68	2000000
69	2000000
70	2000000
71	2000000
72	2000000
73	2000000
74	2000000
75	2000000
76	2000000
77	2000000
78	2000000
79	2000000
80	2000000
