#购买重置																				
#第N次购买	竞技场次数	征战副本	试炼副本	经验房	挑战副本	闯关	后宫送礼	培养	购买军令	购买攻击令	动态商店[幸运]（刷新花费类型在dynshopfreshcost.txt中配置）	动态商店[竞技场]（刷新花费类型在dynshopfreshcost.txt中配置）	动态商店[将魂]（刷新花费类型在dynshopfreshcost.txt中配置）	动态商店[威望]（刷新花费类型在dynshopfreshcost.txt中配置）	征收[摇钱树]	新挑战（所有相同，分开计算）	征收游戏翻倍花费	重置策略花费	重置誓约花费	新闯关
times	arenafight	fight	silian	exp	challenge	emigrated	palace	mopup	buycommand	buyattcmd	dynshop_1	dynshop_2	dynshop_3	dynshop_4	levy	newchallenge	levymulticost	tactics	vow	NewBEAT
1	50	50	35	20	100	100	40	10	50	30	50	20	50	20	50	100	50	200	200	100
2	80	80	55	40	130	130	60	15	80	50	70	40	80	40	110	130	100	250	250	130
3	120	120	85	60	170	170	90	20	120	80	100	60	120	60	230	170	200	300	300	170
4	170	170	120	80	220	220	130	25	170	120	140	80	500	80	470	220	10000	350	350	220
5	230	230	160	100	280	280	180	30	230	170	190	100	600	100	950	280	10000	400	400	280
6	300	300	210	100	350	350	240	35	300	230	200	120	700	120	2000	350	10000	450	450	350
7	380	380	260	100	430	430	310	40	380	300	200	140	800	140	5000	430	10000	500	500	430
8	470	470	330	100	520	520	390	45	470	380	200	160	900	160	10000	520	10000	550	550	520
9	570	570	400	100	620	620	480	50	570	470	200	180	1000	180	10000	620	10000	600	600	620
10	680	680	475	100	730	730	580	60	680	570	200	200	1100	200	10000	730	10000	650	650	730
11	800	800	560	100	850	850	690	70	800	680	200	220	1200	220	10000	850	10000	700	700	850
12	930	930	650	100	980	980	810	80	930	800	200	240	1300	240	10000	980	10000	750	750	980
13	1070	1070	750	100	1120	1120	940	90	1070	930	200	260	1400	260	10000	1120	10000	800	800	1120
14	1220	1220	850	100	1270	1270	1080	100	1220	1070	200	280	1500	280	10000	1270	10000	850	850	1270
15	1380	1380	950	100	1430	1430	1230	120	1380	1220	200	300	1600	300	10000	1430	10000	900	900	1430
16	1550	1550	1050	100	1600	1600	1390	140	1550	1380	200	320	1700	320	10000	1600	10000	950	950	1600
17	1730	1730	1200	100	1780	1780	1560	160	1730	1550	200	340	1800	340	10000	1780	10000	1000	1000	1780
18	1920	1920	1350	100	1970	1970	1740	180	1920	1730	200	360	1900	360	10000	1970	10000	1050	1050	1970
19	2120	2120	1500	100	2170	2170	1930	200	2120	1920	200	380	2000	380	10000	2170	10000	1100	1100	2170
20	2330	2330	1650	100	2380	2380	2130	200	2330	2120	200	400	2100	400	10000	2380	10000	1150	1150	2380
