#矿点ID	地图ID	名称	矿点等级	矿点类型1、铜钱 2、科技币 3、元宝
mineid	mapid	name	minelevel	minetype
1	1	银矿争夺1	1	1
2	1	银矿争夺2	2	1
3	1	银矿争夺3	3	1
4	1	银矿争夺4	4	1
5	1	银矿争夺5	5	1
6	1	科技矿争夺1	1	2
7	1	科技矿争夺2	2	2
8	1	科技矿争夺3	3	2
9	1	科技矿争夺4	4	2
10	1	科技矿争夺5	5	2
11	1	金矿争夺1	1	3
12	1	金矿争夺2	2	3
13	1	金矿争夺3	3	3
14	1	金矿争夺4	4	3
15	1	金矿争夺5	5	3
1	2	银矿争夺1	1	1
2	2	银矿争夺2	2	1
3	2	银矿争夺3	3	1
4	2	银矿争夺4	4	1
5	2	银矿争夺5	5	1
6	2	科技矿争夺1	1	2
7	2	科技矿争夺2	2	2
8	2	科技矿争夺3	3	2
9	2	科技矿争夺4	4	2
10	2	科技矿争夺5	5	2
11	2	金矿争夺1	1	3
12	2	金矿争夺2	2	3
13	2	金矿争夺3	3	3
14	2	金矿争夺4	4	3
15	2	金矿争夺5	5	3
1	3	银矿争夺1	1	1
2	3	银矿争夺2	2	1
3	3	银矿争夺3	3	1
4	3	银矿争夺4	4	1
5	3	银矿争夺5	5	1
6	3	科技矿争夺1	1	2
7	3	科技矿争夺2	2	2
8	3	科技矿争夺3	3	2
9	3	科技矿争夺4	4	2
10	3	科技矿争夺5	5	2
11	3	金矿争夺1	1	3
12	3	金矿争夺2	2	3
13	3	金矿争夺3	3	3
14	3	金矿争夺4	4	3
15	3	金矿争夺5	5	3
1	4	银矿争夺1	1	1
2	4	银矿争夺2	2	1
3	4	银矿争夺3	3	1
4	4	银矿争夺4	4	1
5	4	银矿争夺5	5	1
6	4	科技矿争夺1	1	2
7	4	科技矿争夺2	2	2
8	4	科技矿争夺3	3	2
9	4	科技矿争夺4	4	2
10	4	科技矿争夺5	5	2
11	4	金矿争夺1	1	3
12	4	金矿争夺2	2	3
13	4	金矿争夺3	3	3
14	4	金矿争夺4	4	3
15	4	金矿争夺5	5	3
