#武将ID	名称	头像	兵种	星级	初始等级	品质	分类（其中type=1为近战，type=2为远程，type=3为谋士）	转换成将魂对应的将魂ID	武将模型（无用）	生命	物理攻击	物理防御	法术攻击	法术防御	技能ID	初始怒气	武将怒气上限	武将怒气增长方式（1=攻击增加怒气，2=被攻击增加怒气，3=攻击和被攻击都增加怒气）	每次怒气增加点数	待机动画文件	攻击动画(没有用)	被攻击动画	普通攻击	技能攻击
id	name	icon	race	star	level	color	type	soulid	model	hp	phyatk	phydef	mgcatk	mgcdef	skillid	initanger	angerpiont	angerincrease	angeraddnum	idleanimation	attackanimation	attackedanimation	commonattack	skillattack
12000000	吕布	imghead041s.png	3	5	1	1	1	17020000	0	0.91	1.15	1	0	1	14010000	4	4	1	1	lvbu01_;9	0	lvbu01ss_;9	29020009	29010004
12000001	关羽	imghead042s.png	3	5	1	1	1	17020001	0	0.97	1.09	1.03	0	0.97	14010001	2	3	1	1	guanyu01_;9	0	guanyu01ss_;10	29020005	29011001
12000002	诸葛亮	imghead001s.png	8	5	1	1	3	17020002	0	0.94	0	0.97	1.15	1	14010002	1	3	1	1	zhugeliang01_;9	0	zhugeliang01ss_;11	29020022	29010003
12000003	赵云	imghead011s.png	3	5	1	1	1	17020003	0	1.03	1.12	1.06	0	0.85	14010003	4	4	2	1	zhaoyun01_;9	0	zhaoyun01ss_;9	29020019	29010006
12000004	曹操	imghead004s.png	3	5	1	1	1	17020004	0	1.03	1.12	0.88	0	1.03	14010004	2	4	1	1	caocao01_;9	0	caocao01ss_;9	29020001	29010002
12000005	司马懿	imghead008s.png	7	5	1	1	3	17020005	0	1	0	1	1.12	0.94	14010005	1	3	1	1	wanglang01_;9	0	wanglang01ss_;9	29020012	29010007
12000006	夏侯惇	imghead020s.png	5	5	1	1	2	17020006	0	1	1.06	1	0	1	14010006	1	3	3	1	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011006
12000007	小乔	imghead511s.png	7	5	1	1	3	17020007	0	1.09	0	0.94	1.06	0.97	14010007	4	4	3	1	xiaoqiao01_;9	0	xiaoqiao01ss_;9	29020016	29011007
12000008	周瑜	imghead003s.png	1	5	1	1	1	17020008	0	0.97	1.15	0.85	0	1.09	14010008	2	2	1	1	zhouyu01_;9	0	zhouyu01ss_;9	29020021	29010005
12000009	姜维	imghead014s.png	8	5	1	1	3	17020009	0	0.91	0	1	1.09	1.06	14010009	3	3	1	1	bimou01_;11	0	bimou01ss_;11	29020023	29040013
12000010	黄忠	imghead016s.png	4	5	1	1	2	17020010	0	0.94	1.12	1	0	1	14010010	3	3	1	1	huangzhong01_;9	0	huangzhong01ss_;9	29020007	29011010
12000011	张飞	imghead043s.png	2	5	1	1	1	17020011	0	1	1.06	1.06	0	0.94	14010011	3	5	2	1	zhangfei01_;13	0	zhangfei01ss_;9	29020018	29011011
12000012	马超	imghead044s.png	3	5	1	1	1	17020012	0	1.06	1.09	0.94	0	0.97	14010012	2	4	2	1	maochao01_;9	0	maochao01ss_;9	29020010	29010010
12000013	孙权	imghead503s.png	2	5	1	1	1	17020013	0	1.15	1	0.94	0	0.97	14010013	2	4	2	1	liubei01_;9	0	liubei01ss_;9	29020008	29011041
12000014	郭嘉	imghead010s.png	7	5	1	1	3	17020014	0	1.03	0	1.09	0.91	1.03	14010014	1	3	1	1	guojia01_;9	0	guojia01ss_;9	29020006	29010001
12000015	魏延	imghead025s.png	2	5	1	1	1	17020015	0	1.09	0.97	1.09	0	0.91	14010015	2	2	2	1	chuibu01_;11	0	chuibu01ss_;11	29020024	29011035
12000016	孙策	imghead031s.png	6	5	1	1	2	17020016	0	0.97	0.91	1.03	0	1.15	14010016	1	2	2	1	sunce01_;9	0	sunce01ss_;9	29020013	29011016
12000017	刘备	imghead045s.png	2	5	1	1	1	17020017	0	1	0.94	1.15	0	0.97	14010017	2	3	1	1	liubei01_;9	0	liubei01ss_;9	29020008	29011017
12000018	大乔	imghead513s.png	8	5	1	1	3	17020018	0	1.06	0	1.06	0.85	1.09	14010018	0	2	3	1	daqiao01_;13	0	daqiao01ss_;9	29020002	29010008
12000019	孙坚	imghead033s.png	6	5	1	1	2	17020019	0	1.06	1	1	0	1	14010019	1	3	1	1	sunjian01_;9	0	sunjian01ss_;9	29020014	29011019
12000020	黄月英	imghead514s.png	10	5	1	1	3	17020020	0	1.09	0	0.97	1	1	14010020	1	3	1	1	zhinv01_;9	0	zhinv01ss_;9	29020020	29011020
12000021	吕蒙	imghead021s.png	6	5	1	1	2	17020021	0	1	1.03	1.09	0	0.94	14010021	2	2	1	1	sunjian01_;9	0	sunjian01ss_;9	29020014	29011021
