#等级	经验
level	reqexp
1	249
2	267
3	270
4	273
5	276
6	279
7	282
8	286
9	289
10	292
11	309
12	316
13	2184
14	3625
15	5167
16	5839
17	7052
18	9381
19	10237
20	13072
21	17618
22	20033
23	21595
24	23870
25	25727
26	27157
27	28140
28	28667
29	31592
30	36265
31	40701
32	45220
33	49822
34	54507
35	59276
36	64131
37	69071
38	74095
39	79206
40	92078
41	100696
42	109463
43	118381
44	127449
45	136668
46	146041
47	155566
48	165245
49	175079
50	189397
51	205956
52	222787
53	239889
54	257265
55	274918
56	292846
57	311052
58	329539
59	348306
60	369479
61	395206
62	421326
63	447840
64	474753
65	502064
66	529779
67	557897
68	586420
69	615351
70	652123
71	687847
72	724080
73	760826
74	798089
75	835868
76	874170
77	912992
78	952343
79	992220
80	1032568
