#等级	武将类型	星级	生命	物理攻击	物理防御	法术攻击	法术防御
level	type	star	hp	phyatk	pyhdef	mgcatk	mgcdef
1	1	3	2569	479	86	0	18
2	1	3	2656	490	88	0	19
3	1	3	2743	501	90	0	20
4	1	3	2831	512	92	0	20
5	1	3	2918	523	94	0	21
6	1	3	3005	534	96	0	22
7	1	3	3092	545	98	0	23
8	1	3	3179	556	100	0	24
9	1	3	3266	568	102	0	25
10	1	3	3353	579	104	0	26
11	1	3	3470	594	107	0	28
12	1	3	3588	608	110	0	29
13	1	3	3706	623	112	0	30
14	1	3	3823	638	115	0	31
15	1	3	3941	653	118	0	32
16	1	3	4058	668	120	0	34
17	1	3	4176	683	123	0	35
18	1	3	4293	698	126	0	36
19	1	3	4411	713	128	0	37
20	1	3	4528	728	131	0	38
21	1	3	4760	744	134	0	39
22	1	3	4992	760	137	0	40
23	1	3	5224	776	140	0	41
24	1	3	5456	792	142	0	42
25	1	3	5688	807	145	0	43
26	1	3	5920	823	148	0	44
27	1	3	6152	839	151	0	45
28	1	3	6384	855	154	0	46
29	1	3	6616	871	157	0	47
30	1	3	6848	887	160	0	48
31	1	3	7033	905	163	0	50
32	1	3	7218	923	166	0	51
33	1	3	7404	942	170	0	53
34	1	3	7589	960	173	0	54
35	1	3	7774	978	176	0	56
36	1	3	7960	996	179	0	57
37	1	3	8145	1015	183	0	59
38	1	3	8330	1033	186	0	60
39	1	3	8516	1051	189	0	61
40	1	3	8701	1069	192	0	63
41	1	3	8912	1089	196	0	65
42	1	3	9124	1108	199	0	66
43	1	3	9335	1128	203	0	68
44	1	3	9546	1147	206	0	70
45	1	3	9757	1167	210	0	71
46	1	3	9969	1186	214	0	73
47	1	3	10180	1206	217	0	74
48	1	3	10391	1225	221	0	76
49	1	3	10603	1244	224	0	78
50	1	3	10814	1264	228	0	79
51	1	3	11146	1295	233	0	82
52	1	3	11478	1326	239	0	84
53	1	3	11810	1357	244	0	87
54	1	3	12142	1388	250	0	89
55	1	3	12474	1419	255	0	92
56	1	3	12806	1450	261	0	94
57	1	3	13138	1481	267	0	97
58	1	3	13470	1512	272	0	99
59	1	3	13802	1543	278	0	102
60	1	3	14135	1574	283	0	104
61	1	3	14527	1609	290	0	107
62	1	3	14920	1644	296	0	110
63	1	3	15313	1678	302	0	113
64	1	3	15706	1713	308	0	116
65	1	3	16098	1748	315	0	118
66	1	3	16491	1783	321	0	121
67	1	3	16884	1817	327	0	124
68	1	3	17277	1852	333	0	127
69	1	3	17670	1887	340	0	130
70	1	3	18062	1921	346	0	133
71	1	3	18682	1976	356	0	137
72	1	3	19302	2031	366	0	142
73	1	3	19922	2086	375	0	146
74	1	3	20543	2140	385	0	151
75	1	3	21163	2195	395	0	155
76	1	3	21783	2250	405	0	159
77	1	3	22403	2305	415	0	164
78	1	3	23023	2360	425	0	168
79	1	3	23643	2414	435	0	173
80	1	3	24263	2469	444	0	177
1	2	3	1674	600	60	0	30
2	2	3	1738	613	61	0	31
3	2	3	1802	627	63	0	31
4	2	3	1867	640	64	0	32
5	2	3	1931	653	65	0	33
6	2	3	1995	667	67	0	33
7	2	3	2059	680	68	0	34
8	2	3	2123	693	69	0	35
9	2	3	2188	707	71	0	35
10	2	3	2252	720	72	0	36
11	2	3	2338	738	74	0	37
12	2	3	2425	756	76	0	38
13	2	3	2512	774	77	0	39
14	2	3	2598	792	79	0	40
15	2	3	2685	810	81	0	41
16	2	3	2772	828	83	0	41
17	2	3	2858	846	85	0	42
18	2	3	2945	864	86	0	43
19	2	3	3032	882	88	0	44
20	2	3	3119	900	90	0	45
21	2	3	3252	927	93	0	46
22	2	3	3385	954	95	0	48
23	2	3	3518	981	98	0	49
24	2	3	3651	1008	101	0	50
25	2	3	3784	1035	104	0	52
26	2	3	3917	1062	106	0	53
27	2	3	4050	1089	109	0	54
28	2	3	4183	1116	112	0	56
29	2	3	4316	1143	114	0	57
30	2	3	4449	1170	117	0	59
31	2	3	4582	1193	119	0	60
32	2	3	4716	1215	122	0	61
33	2	3	4850	1238	124	0	62
34	2	3	4983	1261	126	0	63
35	2	3	5117	1284	128	0	64
36	2	3	5250	1306	131	0	65
37	2	3	5384	1329	133	0	66
38	2	3	5517	1352	135	0	68
39	2	3	5651	1375	137	0	69
40	2	3	5785	1397	140	0	70
41	2	3	5940	1421	142	0	71
42	2	3	6095	1445	145	0	72
43	2	3	6249	1469	147	0	73
44	2	3	6404	1494	149	0	75
45	2	3	6559	1518	152	0	76
46	2	3	6714	1542	154	0	77
47	2	3	6869	1566	157	0	78
48	2	3	7024	1590	159	0	79
49	2	3	7179	1614	161	0	81
50	2	3	7334	1638	164	0	82
51	2	3	7576	1677	168	0	84
52	2	3	7818	1716	172	0	86
53	2	3	8060	1754	175	0	88
54	2	3	8303	1793	179	0	90
55	2	3	8545	1832	183	0	92
56	2	3	8787	1871	187	0	94
57	2	3	9029	1910	191	0	95
58	2	3	9271	1948	195	0	97
59	2	3	9513	1987	199	0	99
60	2	3	9755	2026	203	0	101
61	2	3	10046	2069	207	0	103
62	2	3	10336	2112	211	0	106
63	2	3	10627	2155	216	0	108
64	2	3	10917	2198	220	0	110
65	2	3	11207	2242	224	0	112
66	2	3	11498	2285	228	0	114
67	2	3	11788	2328	233	0	116
68	2	3	12079	2371	237	0	119
69	2	3	12369	2414	241	0	121
70	2	3	12660	2457	246	0	123
71	2	3	13118	2525	253	0	126
72	2	3	13576	2594	259	0	130
