#状态ID	描述	特效ID	眩晕（概率）	沉默（概率）	即死概率	无敌(0否 1是)	屹立不倒(0否 1 是)	满血(0 否 1是)	加血减血（直接百分比）	满怒气(0 否 1是)	怒气	加怒气概率	物理攻击（百分比	法术攻击（百分比	物理防御（百分比	法术防御（百分比	提升的暴击	提升的闪避	提升的格挡	提升的反击	加血 通过武将的最高攻击来计算	减血 武将最高攻击与防御得出的伤害	持续回合	叠加(0不叠加 1叠加)	动画目录	动画帧数	动画播放类型（1、循环 2、播放一次 3、触发播放 4、不播放 5、播放一次+触发播放）	声音
statusid	description	icon	dizzy	silence	immediatelydead	god	cockroach	fullhp	addorsubhp	fullanger	anger	angerchance	phyatk	mgcatk	phydef	mgcdef	crit	dodge	block	counterattack	addhp	minushp	round	superposition	animationforld	animationFPS	animationtype	music
15010000	对敌全体造成70%物理伤害，自身2回合内增加60%格挡与100%物理防御	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6000	0	0	0	3	0	gedang_	13	2	
15010001	对敌横排造成120%物理伤害，自身2回合内增加100%反击，恢复造成伤害50%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	3	0	fanji_	13	2	
15010002	对敌全体造成60%法术伤害并有50%几率昏迷1回合	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010003	对敌横排造成120%物理伤害，自身2回合内增加70%闪避。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	0	0	0	0	3	0	shanbi_	16	2	
15010004	对敌全体造成50%物理伤害，敌方2回合内降低50%防御与50%攻击	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	2	0	jiangdigongji_	13	2	
15010005	优先对敌后排造成5%法术伤害，其2回合内，每回合受到司马懿法攻150%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2	0	zhongdu_	13	3	zhongduZT.mp3
15010006	对敌随机目标及目标周围敌人造成90%的物理伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
15010007	提升友方全体1点怒气	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	1	0	nuqizengjia_	13	5	jianuqiZT.mp3
15010008	对敌全体造成65%物理伤害并沉默1回合	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	chenmo_	12	1	
15010009	对敌单体造成250%法术伤害并昏迷1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010010	对敌全体造成50%物理伤害，敌方3回合内每回合受到黄忠物攻30%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	3	0	zhongdu_	13	3	zhongduZT.mp3
15010011	对敌随机单体造成140%物理伤害，自身2回合内增加1000%物理防御与200%法术防御	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	3	0	wulifangyu_	8	2	
15010012	对敌横排造成160%物理伤害，降低其2点怒气与30%攻击	0	0	0	0	0	0	0	0	0	-2	10000	-0.3	-0.3	0	0	0	0	0	0	0	0	1	0	nuqijianshao_	16	5	jiannuqiZT.mp3
15010013	对敌全体造成50%物理伤害，自身2回合内增加50%反击与50%格挡	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5000	0	0	3	0	fanji_	13	2	
15010014	对敌竖排造成130%法术伤害，其2回合内每回合受到郭嘉法攻60%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	2	0	zhongdu_	13	3	zhongduZT.mp3
15010015	对敌竖排造成90%物理伤害，35%几率使其沉默1回合	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	chenmo_	12	1	
15010016	对敌竖排造成110%物理伤害，25%几率使其昏迷1回合	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010017	提升自身及周围武将50%防御和100%攻击，持续1回合	0	0	0	0	0	0	0	0	0	0	0	1	1	0.5	0.5	0	0	0	0	0	0	1	0	gongjizengjia_	13	2	
15010018	对敌单体造成170%法术伤害，减少其3点怒气	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	1	0	nuqijianshao_	16	5	jiannuqiZT.mp3
15010019	对敌横排造成80%物理伤害，自身2回合内增加30%格挡、200%防御，恢复造成伤害30%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3000	0	0	0	3	0	wulifangyu_	8	2	
15010020	己方全体，受到黄月英法攻的80%的治疗，1回合内50%格挡	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	1	0	gedang_	13	2	
15010021	对敌随机单体造成130%物理伤害，其5回合内每回合受到吕蒙物攻60%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	5	0	zhongdu_	13	3	zhongduZT.mp3
15010022	对敌横排造成110%物理伤害，50%几率出现暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	1	0	baoji_	13	2	
15010023	每个回合提升自己及周围武将1点怒气，持续2个回合	0	0	0	0	0	0	0	0	0	1	10000	0	0	0	0	0	0	0	0	0	0	2	0	nuqizengjia_	13	5	jianuqiZT.mp3
15010024	对敌随机目标100%法术伤害，其2回合内每1回合降低该武将1点怒气	0	0	0	0	0	0	0	0	0	-1	10000	0	0	0	0	0	0	0	0	0	0	2	0	nuqijianshao_	16	5	jiannuqiZT.mp3
15010025	恢复友方生命值最低的单位，恢复量为庞统法攻的200%，并使其法术防御提高1000%，持续1回合	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	fashufangyu_	13	2	
15010026	对敌前排造成130%物理伤害，自身2回合内增加50%伤害	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	2	0	shanbi_	16	2	
15010027	对敌横排造成120%物理伤害，自身2回合内增加30%伤害	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	2	0	gedang_	13	2	
15010028	对敌全体造成30%法术伤害，敌方3回合内每回合受到陆逊法攻20%的伤害（可叠加）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	3	1	zhongdu_	13	3	zhongduZT.mp3
15010029	对敌前排造成110%物理伤害，恢复造成伤害60%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	jiaxue41GG_	13	2	jiaxue.mp3
15010030	对敌横排造成110%物理伤害，恢复造成伤害50%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	jiaxue41GG_	13	2	jiaxue.mp3
15010031	对敌随机目标及目标周围造成90%物理伤害，其1回合内对降低40%伤害	0	0	0	0	0	0	0	0	0	0	0	-0.4	-0.4	0	0	0	0	0	0	0	0	1	0	jiangdigongji_	13	2	
15010032	治疗己方所有人，治疗量为辛宪英法攻的100%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
15010033	优先对敌后排单体造成200%法术伤害，使其昏迷1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010034	对敌全体造成45%法术伤害，减少其1怒气	0	0	0	0	0	0	0	0	0	-1	10000	0	0	0	0	0	0	0	0	0	0	1	0	nuqijianshao_	16	5	jiannuqiZT.mp3
15010035	对敌随机目标及其周围造成80%的物理伤害，减少其2怒气	0	0	0	0	0	0	0	0	0	-2	10000	0	0	0	0	0	0	0	0	0	0	1	0	nuqijianshao_	16	5	jiannuqiZT.mp3
15010036	优先对敌后排单体造成300%物理伤害，使其昏迷2回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	xuanyun_	13	1	
15010037	增加自身250%攻击、防御，持续两回合	0	0	0	0	0	0	0	0	0	0	0	2.5	2.5	2.5	2.5	0	0	0	0	0	0	3	0	gongjizengjia_	13	2	
15010038	提升己方后排100%攻击力，持续2回合	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	gongjizengjia_	13	2	
15010039	优先对敌后排单体造成50%法术伤害，50%几率使其沉默10回合	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	chenmo_	12	1	
15010040	对敌随机目标及其周围造成60%的物理伤害，30%几率使其昏迷1回合	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010041	对敌全体造成300%物理伤害，30%几率使敌人攻击提升1000%，持续1回合	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	1	0	gongjizengjia_	13	1	
15010042	对敌全体造成60%物理伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
15010043	对敌单体造成200%法术伤害，使目标沉默2回合	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	chenmo_	12	1	
15010044	治疗己方所有人，治疗量为荀彧法攻的60%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
15010045	对敌横排造成110%法术伤害，其3回合内每回合受到张昭法攻20%的伤害	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	3	0	zhongdu_	13	3	zhongduZT.mp3
15010046	对敌横排造成90%物理伤害，自身2回合内增加50%格挡	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	3	0	gedang_	13	2	
15010047	对敌竖排造成90%物理伤害，恢复造成伤害70%的生命值	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	jiaxue41GG_	13	2	jiaxue.mp3
15010048	对敌随机单体造成200%物理伤害，1回合内使其昏迷	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15010049	优先对敌后排造成90%物理伤害，自身2回合内增加60%物防与法防	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0	0	0	0	0	0	3	0	wulifangyu_	8	2	
15010050	优先对敌后排单体造成300%物理伤害，25%几率暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	0	0	0	0	0	1	0	baoji_	13	2	
15020000	对敌方所有人造成50%物理伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020001	对敌方竖列所有人造成70%物理伤害，并在一回合内提升自身100%暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020002	对敌方横排所有人造成70%物理伤害，并在一回合内提升自身100%暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020003	对敌方随机单体造成130%物理伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020004	对敌方后排单体造成130%物理伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020005	对敌方前排单体造成130%物理伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020006	对敌方所有人造成50%法术伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020007	对敌方竖列所有人造成70%法术伤害，并在一回合内提升自身100%暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020008	对敌方横排所有人造成70%法术伤害，并在一回合内提升自身100%暴击	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020009	对敌方随机单体造成130%法术伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020010	对敌方后排单体造成120%法术伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020011	对敌方前排单体造成130%法术伤害，并提升自身100%暴击。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	1	0	baoji_	13	2	
15020012	对敌方所有人造成75%物理伤害并有50%几率对敌方所有人眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15020013	对敌方随机单体目标造成140%物理伤害并眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15020014	对敌方后排单体目标造成140%物理伤害，并使目标眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15020015	对敌方前排单体目标造成140%物理伤害并眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15020016	对敌方所有人造成75%法术伤害并有50%几率对敌方所有人眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
15020017	对敌方随机单体目标造成140%法术伤害并眩晕1回合	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	xuanyun_	13	1	
