#任务ID																		
#任务名字																		
#描述																		
#类型，用于区分叫玩家做什么事情																		
#1. 通过【条件（关卡ID）】关卡(征战)																		
#2. 招募到【条件（武将ID）】武将																		
#3. 铜钱抽卡【条件】次																		
#4. 元宝抽卡【条件】次																		
#5. 主公升到【条件】级																		
#6. 培养武将【条件】次																		
#7. 转生【条件】次																		
#8. 在竞技场挑战【条件】次																		
#9. 资源争夺【条件】次																		
#10.进行猎魂副本【条件】次																		
#11.进行装备副本【条件】次																		
#12.条件经验房【条件】次																		
#13.进行闯关【条件】次																		
#14.进行【条件】次征收																		
#15.给武将吃经验书【条件】次																		
#16.进行【条件】次军团																		
#17.购买【条件】次军令																		
#18.购买【条件】次攻击令																		
#19.进行【条件】次游历																		
#20.与后宫交互【条件】次																		
#21.升级【条件】次科技																		
#22.进行试炼【条件】次																		
#23.进行挑战(将魂)【条件】次																		
#24.给后宫美女赠送【条件】次																		
#25.打风云争霸【条件】次																		
#26.打新版挑战【条件】次																		
#101.跳转到征战配置关卡																		
#102.跳转到试炼配置关卡																		
#103.跳转到配置中的章节																		
#104.跳转到打到的最高征战章节																		
#105.跳转到打到的最高试炼章节																		
#ID任务	任务名字	任务描述	任务描述（小于21级）	任务细分类型(有新类型加)	json(客户端增加)	任务次数等cnt	任务大类型(普通1，每日2)class	掉落组ID（小于21级）	掉落组ID（不能掉培养点）	最低可见等级	引导完成后开启（填大引导ID）	前置ID	内部附加参数	icon(客户端增加)	图片放大倍数	跳转时的跳转类型（不跳转填1）	跳转类型	跳转参数
taskID	name	description	description_special	type	json	cnt	class	dropID_special	dropID	displayLevel	pretutorial	preID	param	icon	icon_scale	jumptype	jumpclass	jumpparam
21040000	【进行5次竞技场】	主公经验×80000	主公经验×8000	8		5	2	22010004	22010008	15	35520000	0	0	08jjc.png	1	0	8	0
21040001	【进行1次资源争夺】	主公经验×80000	主公经验×8000	9		1	2	22010004	22010008	30	35550000	0	0	13zyzd.png	1	0	9	0
21040002	【通关10次普通副本】	主公经验×80000	主公经验×8000	1		10	2	22010004	22010008	15	0	0	0	zgjy0.png	1	0	104	0
21040004	【通关3次试炼副本】	主公经验×80000	主公经验×8000	22		3	2	22010004	22010008	15	35170000	0	0	wjjy0.png	1	0	105	0
21040005	【成功打2次经验房】	主公经验×70000	主公经验×7000	12		2	2	22010003	22010007	18	35540000	0	0	11jytz.png	1	0	12	0
21040006	【进行挑战1次】	主公经验×80000	主公经验×8000	26		1	2	22010004	22010008	22	35510000	0	0	07jhtz.png	1	0	23	0
21040007	【摇钱树收获3次】	主公经验×80000	主公经验×8000	14		3	2	22010004	22010008	15	35580000	0	0	15yqs.png	1	1	14	0
21040009	【购买1次军令】	主公经验×80000	主公经验×8000	17		1	2	22010004	22010008	15	0	0	0	junling0.png	1	0	17	0
21040010	【游历1次】	主公经验×50000	主公经验×5000	19		1	2	22010001	22010005	15	35120000	0	0	12yl.png	1	0	19	0
21040012	【武将培养2次】	主公经验×60000	主公经验×6000	6		2	2	22010002	22010006	15	35110000	0	0	01szrszj.png	1	0	6	0
21040013	【成功闯关1次】	主公经验×80000	主公经验×8000	13		1	2	22010004	22010008	26	35620000	0	0	15cg.png	1	0	13	0
21040014	【给花船佳人赠送1次鲜花】	主公经验×50000	主公经验×5000	24		1	2	22010001	22010005	15	35590000	0	0	wusehua02.png	1	0	24	0
21040015	【进行1次风云争霸】	主公经验×80000	主公经验×8000	25		1	2	22010004	22010008	28	35640000	0	0	33fyzb.png	1	0	25	0
21050001	【主公等级升到10级】	军令，铜钱	军令，铜钱	5		1	1	22090001	22090001	9	0	0	10	junling0.png	1	1	5	10
21050002	【主公等级升到15级】	军令，铜钱	军令，铜钱	5		1	1	22090002	22090002	9	0	21050001	15	junling0.png	1	1	5	15
21050003	【主公等级升到20级】	军令，铜钱，转生符文×20	军令，铜钱，转生符文×20	5		1	1	22090003	22090003	9	0	21050002	20	junling0.png	1	1	5	20
21050004	【主公等级升到25级】	军令，铜钱	军令，铜钱	5		1	1	22090004	22090004	9	0	21050003	25	junling0.png	1	1	5	25
21050005	【主公等级升到30级】	军令，铜钱	军令，铜钱	5		1	1	22090005	22090005	9	0	21050004	30	junling0.png	1	1	5	30
21050006	【主公等级升到35级】	军令，铜钱	军令，铜钱	5		1	1	22090006	22090006	9	0	21050005	35	junling0.png	1	1	5	35
21050007	【主公等级升到40级】	军令，铜钱	军令，铜钱	5		1	1	22090007	22090007	9	0	21050006	40	junling0.png	1	1	5	40
21050008	【主公等级升到45级】	军令，铜钱	军令，铜钱	5		1	1	22090008	22090008	9	0	21050007	45	junling0.png	1	1	5	45
21050009	【主公等级升到50级】	军令，铜钱	军令，铜钱	5		1	1	22090009	22090009	9	0	21050008	50	junling0.png	1	1	5	50
21050010	【主公等级升到55级】	军令，铜钱	军令，铜钱	5		1	1	22090010	22090010	9	0	21050009	55	junling0.png	1	1	5	55
21050011	【主公等级升到60级】	军令，铜钱	军令，铜钱	5		1	1	22090011	22090011	9	0	21050010	60	junling0.png	1	1	5	60
21050012	【主公等级升到65级】	军令，铜钱	军令，铜钱	5		1	1	22090012	22090012	9	0	21050011	65	junling0.png	1	1	5	65
21050013	【主公等级升到70级】	军令，铜钱	军令，铜钱	5		1	1	22090013	22090013	9	0	21050012	70	junling0.png	1	1	5	70
21050014	【主公等级升到75级】	军令，铜钱	军令，铜钱	5		1	1	22090014	22090014	9	0	21050013	75	junling0.png	1	1	5	75
21050015	【主公等级升到80级】	军令，铜钱	军令，铜钱	5		1	1	22090015	22090015	9	0	21050014	80	junling0.png	1	1	5	80
21060101	【通关征战1-1】	法正将魂，武将经验书，主公经验	法正将魂，武将经验书，主公经验	1		1	1	22100101	22100101	1	0	0	18010101	imghead143s.png	0.77	0	101	18010101
21060102	【通关征战1-2】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100102	22100102	1	0	21060101	18010102	imghead143s.png	0.77	0	101	18010102
21060103	【通关征战1-3】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100103	22100103	1	0	21060102	18010103	imghead143s.png	0.77	0	101	18010103
21060104	【通关征战1-4】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100104	22100104	1	0	21060103	18010104	imghead143s.png	0.77	0	101	18010104
21060105	【通关征战1-5】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100105	22100105	1	0	21060104	18010105	imghead143s.png	0.77	0	101	18010105
21060106	【通关征战1-6】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100106	22100106	1	0	21060105	18010106	imghead143s.png	0.77	0	101	18010106
21060107	【通关征战1-7】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100107	22100107	1	0	21060106	18010107	imghead143s.png	0.77	0	101	18010107
21060201	【通关征战2-1】	法正将魂，武将经验书	法正将魂，武将经验书	1		1	1	22100201	22100201	1	0	21060107	18010201	imghead144s.png	0.77	0	101	18010201
