#阵型ID	等级限制	下一级阵型ID	所需科技币
curformation	levellimit	nextformation	money
16000001	61	16000002	2222
16000002	62	16000003	7333
16000003	63	16000004	12444
16000004	64	16000005	17555
16000005	65	16000006	22666
16000006	66	16000007	27777
16000007	67	16000008	32888
16000008	68	16000009	38000
16000009	69	16000010	43111
16000011	51	16000012	1666
16000012	52	16000013	4500
16000013	53	16000014	7333
16000014	54	16000015	10166
16000015	55	16000016	13000
16000016	56	16000017	15833
16000017	57	16000018	18666
16000018	58	16000019	21500
16000019	59	16000020	24333
16000020	60	16000021	27166
16000021	61	16000022	30000
16000022	62	16000023	32833
16000024	41	16000025	1666
16000025	42	16000026	4500
16000026	43	16000027	7333
16000027	44	16000028	10166
16000028	45	16000029	13000
16000029	46	16000030	15833
16000030	47	16000031	18666
16000031	48	16000032	21500
16000032	49	16000033	24333
16000033	50	16000034	27166
16000034	51	16000035	30000
16000035	52	16000036	32833
16000037	31	16000038	1333
16000038	32	16000039	3066
16000039	33	16000040	4800
16000040	34	16000041	6533
16000041	35	16000042	8266
16000042	36	16000043	10000
16000043	37	16000044	11733
16000044	38	16000045	13466
16000045	39	16000046	15200
16000046	40	16000047	16933
16000047	41	16000048	18666
16000048	42	16000049	20400
16000049	43	16000050	22133
16000050	44	16000051	23866
16000051	45	16000052	25600
16000053	23	16000054	1176
16000054	24	16000055	2470
16000055	25	16000056	3764
16000056	26	16000057	5058
16000057	27	16000058	6352
16000058	28	16000059	7647
16000059	29	16000060	8941
16000060	30	16000061	10235
16000061	31	16000062	11529
16000062	32	16000063	12823
16000063	33	16000064	14117
16000064	34	16000065	15411
16000065	35	16000066	16705
16000066	36	16000067	18000
16000067	37	16000068	19294
16000068	38	16000069	20588
16000069	39	16000070	21882
