#VIP等级	RMB	主公经验加成(百分比)	每天赠送军令（废弃）	每天赠送攻击令（废弃）	军令购买次数	攻击令购买次数	铜钱购买次数(废弃)	摇钱树翻倍次数	摇钱树重置次数（作废）	扫荡十次功能（猎魂，试炼为扫荡3次）	副本重置次数	竞技场购买（重置）次数	资源战最多允许部队	购买培养点数功能	培养点数上限提升	精炼完整度下限提升一档（废弃）	后宫游历次数（作废）	开放后宫笙歌艳舞	开放后宫海誓山盟	送花刷新次数	经验房重置次数	闯关重置次数	挑战重置次数（作废）	游历上限	新挑战（所有相同，分开计算）	重置策略	重置誓约	新闯关
level	money	addexp	donatecommand	donateatt	buycommand	buyatt	buysilver	levycount	resetlevycount	opensweepten	fightresetcount	buyarenacount	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	travelcount	newchallenge	tactics	vow	NewBEAT
0	0	0	0	0	1	0	5	0	2	1	1	0	1	1	9999	0	12	1	1	0	1	0	0	12	0	0	0	0
1	1	0	0	0	2	0	10	0	3	1	1	0	1	1	9999	0	12	1	1	0	1	0	0	12	0	0	0	0
2	10	0	0	0	2	1	20	0	3	1	1	1	1	1	9999	0	12	1	1	1	1	0	0	12	0	0	0	0
3	30	0	0	0	3	1	30	1	4	1	2	1	1	1	9999	0	12	1	1	1	2	0	1	12	1	0	0	0
4	50	0	0	0	3	2	40	1	5	1	2	2	1	1	9999	0	12	1	1	2	2	1	1	12	1	0	0	1
5	100	0	0	0	3	2	50	1	6	1	3	2	2	1	9999	0	12	1	1	2	2	1	1	12	1	1	1	1
6	300	0	0	0	4	2	60	1	6	1	3	3	2	1	9999	0	12	1	1	3	3	1	2	12	2	1	1	1
7	500	0	0	0	4	3	70	2	7	1	4	3	2	1	9999	0	12	1	1	3	3	2	2	12	2	2	1	2
8	700	0	0	0	5	3	80	2	8	1	4	4	2	1	9999	0	12	1	1	4	3	2	2	12	2	2	2	2
9	1000	0	0	0	5	4	90	2	9	1	5	4	3	1	9999	0	12	1	1	4	4	2	3	12	3	2	2	2
10	1500	0	0	0	5	5	100	2	9	1	5	5	3	1	9999	0	12	1	1	4	4	3	3	12	3	3	2	3
11	2000	0	0	0	6	5	120	2	9	1	6	5	3	1	9999	0	12	1	1	5	4	3	3	12	3	3	3	3
12	4000	0	0	0	6	6	140	2	9	1	6	6	3	1	9999	0	12	1	1	6	5	3	4	12	4	4	3	3
13	7000	0	0	0	7	6	160	2	9	1	7	6	3	1	9999	0	12	1	1	7	5	4	4	12	4	4	4	4
14	10000	0	0	0	7	7	180	3	9	1	8	7	3	1	9999	0	12	1	1	8	5	4	4	12	4	5	4	4
15	15000	0	0	0	7	8	200	3	9	1	9	8	3	1	9999	0	12	1	1	9	5	5	5	12	5	5	5	5
