#誓约												
#编号	描述	涉及武将	拥有2人	2人文字	拥有3人	3人文字	拥有4人	4人文字	拥有5人	5人文字	拥有6人	6人文字
id	describe	role	have2	haveShow2	have3	haveShow3	have4	haveShow4	have5	haveShow5	have6	haveShow6
39020001	五虎上将	12000003;12000001;12000011;12000012;12000010	8:800;10:800	攻击+8%	9:2000;11:2000	防御+20%	7:1500;18:1500	生命+15%	8:1300;10:1300	攻击+13%		
39020002	蜀之羁绊	12000017;12000015;12000025;12000009;12000034	7:1000;18:1000	生命+10%	8:1000;10:1000	攻击+10%	7:1600;18:1600	生命+16%	9:2600;11:2600	防御+26%		
39020003	大魏砥柱	12000004;12000049;12000006;12000037;12000035;12000041	8:800;10:800	攻击+8%	9:1800;11:1800	防御+18%	8:1200;10:1200	攻击+12%	17:01	怒气+1	7:2100;18:2100	生命+21%
39020004	魏之壁垒	12000026;12000049;12000036;12000035;12000006	7:1000;18:1000	生命+10%	9:2000;11:2000	防御+20%	8:1100;10:1100	攻击+11%	7:2000;18:2000	生命+20%		
39020005	江东霸王	12000019;12000016;12000022;12000027;12000040	8:800;10:800	攻击+8%	8:1000;10:1000	攻击+10%	17:01	怒气+1	9:2500;11:2500	防御+25%		
39020006	东吴英杰	12000008;12000021;12000028;12000045	9:1800;11:1800	防御+18%	8:1100;10:1100	攻击+11%	7:1500;18:1500	生命+15%				
39020007	英姿飒爽	12000020;12000033;12000032;12000038;12000018;12000007	7:800;18:800	生命+8%	9:1900;11:1900	防御+19%	7:1500;18:1500	生命+15%	8:1400;10:1400	攻击+14%	8:1500;10:1500	攻击+15%
39020008	红颜英才	12000002;12000020;12000016;12000018;12000008;12000007	7:900;18:900	生命+9%	8:1000;10:1000	攻击+10%	9:2300;11:2300	防御+23%	8:1300;10:1300	攻击+13%	17:01	怒气+1
39020009	河北庭柱	12000029;12000030;12000036;12000023	9:1900;11:1900	防御+19%	9:2300;11:2300	防御+23%	7:1700;18:1700	生命+17%				
39020010	西凉铁骑	12000031;12000047;12000012	8:1100;10:1100	攻击+11%	8:1300;10:1300	攻击+13%						
39020011	三国鼎立	12000004;12000017;12000013	8:1000;10:1000	攻击+10%	7:2000;18:2000	生命+20%						
39020012	乱世群雄	12000023;12000024;12000042;12000038;12000000	7:1100;18:1100	生命+11%	8:1000;10:1000	攻击+10%	17:01	怒气+1	8:1300;10:1300	攻击+13%		
39020013	算无遗策	12000002;12000005;12000014;12000039;12000025;12000028	7:900;18:900	生命+9%	8:1000;10:1000	攻击+10%	9:2300;11:2300	防御+23%	7:1700;18:1700	生命+17%	8:1400;10:1400	攻击+14%
39020014	武无第二	12000000;12000003;12000041;12000001;12000011	8:900;10:900	攻击+9%	8:1000;10:1000	攻击+10%	7:1600;18:1600	生命+16%	8:1300;10:1300	攻击+13%		
39020015	择木而息	12000034;12000043;12000009;12000039;12000000	9:1800;11:1800	防御+18%	7:1300;18:1300	生命+13%	7:1600;18:1600	生命+16%	8:1500;10:1500	攻击+15%		
39020016	群策群力	12000045;12000005;12000014;12000043;12000044	9:1700;11:1700	防御+17%	8:1000;10:1000	攻击+10%	7:1600;18:1600	生命+16%	8:1200;10:1200	攻击+12%		
39020017	射人射马	12000010;12000037;12000027;12000019;12000023	8:800;10:800	攻击+8%	8:1000;10:1000	攻击+10%	7:1600;18:1600	生命+16%	9:2600;11:2600	防御+26%		
39020018	一战而名	12000026;12000048;12000046;12000031;12000022;12000021	9:1700;11:1700	防御+17%	17:01	怒气+1	8:1200;10:1200	攻击+12%	7:1900;18:1900	生命+19%	8:1600;10:1600	攻击+16%
