#武将ID	品质	是否为武将（1武将 0将魂）	数量(如果为武将数量为1)	单次刷	第一次免费刷将	第一次元宝单刷保底	10连刷	10连刷保底	魂币
id	color	bsoldier	number	singlechance	firstsinglechance	firstgoldsinglechance	chanceten	chancetenbase	soulcoin
12000000	1	1	1	0	0	0	0	0	1200
12000001	1	1	1	7	0	0	7	0	1200
12000002	1	1	1	0	0	0	0	0	1200
12000003	1	1	1	7	0	0	7	0	1200
12000004	1	1	1	0	0	0	0	0	1200
12000005	1	1	1	7	0	0	7	0	1200
12000006	1	1	1	7	0	0	7	0	1200
12000007	1	1	1	7	0	0	7	0	1200
12000008	1	1	1	7	0	0	7	0	1200
12000009	1	1	1	7	0	0	7	0	1200
12000010	1	1	1	7	0	0	7	0	1200
12000011	1	1	1	7	0	0	7	0	1200
12000012	1	1	1	7	0	0	7	0	1200
12000013	1	1	1	7	0	0	7	0	1200
12000014	1	1	1	7	0	0	7	0	1200
12000015	1	1	1	7	0	0	7	0	1200
12000016	1	1	1	7	0	0	7	0	1200
12000017	1	1	1	7	0	0	7	0	1200
12000018	1	1	1	7	0	0	7	0	1200
12000019	1	1	1	7	0	0	7	0	1200
12000020	1	1	1	7	0	0	7	0	1200
12000021	1	1	1	7	0	0	7	0	1200
12000022	1	1	1	6	0	0	6	0	420
12000023	1	1	1	6	0	0	6	0	420
12000024	1	1	1	6	0	0	6	0	420
12000025	1	1	1	6	0	0	6	0	420
12000026	1	1	1	6	0	0	6	0	420
12000027	1	1	1	6	0	0	6	0	420
12000028	1	1	1	6	0	0	6	0	420
12000029	1	1	1	6	0	0	6	0	420
12000030	1	1	1	6	0	0	6	0	420
12000031	1	1	1	6	0	0	6	0	420
12000032	1	1	1	6	0	0	6	0	420
12000033	1	1	1	6	0	0	6	0	420
12000034	1	1	1	6	0	0	6	0	420
12000035	1	1	1	6	0	0	6	0	420
12000036	1	1	1	6	0	0	6	0	420
12000037	1	1	1	6	0	0	6	0	420
12000038	1	1	1	6	0	0	6	0	420
12000039	1	1	1	6	0	0	6	0	420
12000040	1	1	1	6	0	0	6	0	420
12000041	1	1	1	6	0	0	6	0	420
12000042	1	1	1	15	0	0	15	0	120
12000043	1	1	1	15	0	0	15	0	120
12000044	1	1	1	15	0	0	15	0	120
12000045	1	1	1	15	0	0	15	0	120
12000046	1	1	1	15	0	0	15	0	120
12000047	1	1	1	15	0	0	15	0	120
12000048	1	1	1	15	10000	0	15	0	120
12000049	1	1	1	15	0	0	15	0	120
12000000	2	1	1	0	0	0	0	0	1500
12000001	2	1	1	8	0	0	8	0	1500
12000002	2	1	1	0	0	0	0	0	1500
12000003	2	1	1	8	0	0	8	0	1500
12000004	2	1	1	0	0	0	0	0	1500
12000005	2	1	1	8	0	0	8	0	1500
12000006	2	1	1	8	0	0	8	0	1500
12000007	2	1	1	8	0	0	8	0	1500
12000008	2	1	1	8	0	0	8	0	1500
12000009	2	1	1	8	0	0	8	0	1500
12000010	2	1	1	8	0	0	8	0	1500
12000011	2	1	1	8	0	0	8	0	1500
12000012	2	1	1	0	0	0	0	0	1500
12000013	2	1	1	8	0	0	8	0	1500
12000014	2	1	1	8	0	0	8	0	1500
12000015	2	1	1	8	0	0	8	0	1500
12000016	2	1	1	8	0	0	8	0	1500
12000017	2	1	1	8	0	0	8	0	1500
12000018	2	1	1	8	0	0	8	0	1500
12000019	2	1	1	8	0	0	8	0	1500
12000020	2	1	1	8	0	0	8	0	1500
12000021	2	1	1	8	0	0	8	0	1500
12000022	2	1	1	7	0	0	7	0	518
12000023	2	1	1	7	0	0	7	0	518
12000024	2	1	1	7	0	0	7	0	518
12000025	2	1	1	7	0	0	7	0	518
12000026	2	1	1	7	0	0	7	0	518
12000027	2	1	1	7	0	0	7	0	518
12000028	2	1	1	7	0	0	7	0	518
12000029	2	1	1	7	0	5000	7	0	518
12000030	2	1	1	7	0	5000	7	0	518
12000031	2	1	1	7	0	0	7	0	518
12000032	2	1	1	7	0	0	7	0	518
12000033	2	1	1	7	0	0	7	0	518
12000034	2	1	1	7	0	0	7	0	518
12000035	2	1	1	7	0	0	7	0	518
12000036	2	1	1	7	0	0	7	0	518
12000037	2	1	1	7	0	0	7	0	518
12000038	2	1	1	7	0	0	7	0	518
12000039	2	1	1	7	0	0	7	0	518
12000040	2	1	1	7	0	0	7	0	518
12000041	2	1	1	7	0	0	7	0	518
12000042	2	1	1	17	0	0	17	0	150
12000043	2	1	1	17	0	0	17	0	150
12000044	2	1	1	17	0	0	17	0	150
12000045	2	1	1	17	0	0	17	0	150
12000046	2	1	1	17	0	0	17	0	150
12000047	2	1	1	17	0	0	17	0	150
12000048	2	1	1	17	0	0	17	0	150
12000049	2	1	1	17	0	0	17	0	150
12000000	4	1	1	0	0	0	0	0	3000
12000001	4	1	1	3	0	0	3	112	3000
12000002	4	1	1	0	0	0	0	0	3000
12000003	4	1	1	3	0	0	3	112	3000
12000004	4	1	1	0	0	0	0	0	3000
12000005	4	1	1	3	0	0	3	111	3000
12000006	4	1	1	3	0	0	3	111	3000
12000007	4	1	1	3	0	0	3	111	3000
12000008	4	1	1	3	0	0	3	111	3000
12000009	4	1	1	3	0	0	3	111	3000
12000010	4	1	1	3	0	0	3	111	3000
12000011	4	1	1	3	0	0	3	111	3000
12000012	4	1	1	0	0	0	0	0	3000
12000013	4	1	1	4	0	0	4	111	3000
12000014	4	1	1	4	0	0	4	111	3000
12000015	4	1	1	4	0	0	4	111	3000
12000016	4	1	1	4	0	0	4	111	3000
12000017	4	1	1	4	0	0	4	111	3000
12000018	4	1	1	4	0	0	4	111	3000
12000019	4	1	1	4	0	0	4	111	3000
12000020	4	1	1	4	0	0	4	111	3000
12000021	4	1	1	4	0	0	4	111	3000
12000022	4	1	1	4	0	0	4	400	1036
12000023	4	1	1	4	0	0	4	400	1036
12000024	4	1	1	4	0	0	4	400	1036
12000025	4	1	1	4	0	0	4	400	1036
12000026	4	1	1	4	0	0	4	400	1036
12000027	4	1	1	4	0	0	4	400	1036
12000028	4	1	1	4	0	0	4	400	1036
12000029	4	1	1	4	0	0	4	400	1036
12000030	4	1	1	4	0	0	4	400	1036
12000031	4	1	1	4	0	0	4	400	1036
12000032	4	1	1	4	0	0	4	400	1036
12000033	4	1	1	4	0	0	4	400	1036
12000034	4	1	1	4	0	0	4	400	1036
12000035	4	1	1	4	0	0	4	400	1036
12000036	4	1	1	4	0	0	4	400	1036
12000037	4	1	1	4	0	0	4	400	1036
12000038	4	1	1	4	0	0	4	400	1036
12000039	4	1	1	4	0	0	4	400	1036
12000040	4	1	1	4	0	0	4	400	1036
12000041	4	1	1	4	0	0	4	400	1036
12000042	4	1	1	8	0	0	8	0	300
12000043	4	1	1	8	0	0	8	0	300
12000044	4	1	1	8	0	0	8	0	300
