#机器人id	阵型类型	阵型ID	位置	武将id
id	type	formation	pos	role
1	2	16000101	2	12000047
1	2	16000101	5	12000048
2	2	16000101	2	12000047
2	2	16000101	5	12000048
3	2	16000101	2	12000047
3	2	16000101	5	12000048
4	2	16000101	2	12000047
4	2	16000101	4	12000048
5	2	16000101	2	12000047
5	2	16000101	6	12000048
6	2	16000101	2	12000047
6	2	16000101	5	12000048
6	2	16000101	8	12000042
7	2	16000101	2	12000047
7	2	16000101	5	12000048
7	2	16000101	7	12000042
8	2	16000101	2	12000047
8	2	16000101	4	12000048
8	2	16000101	6	12000042
9	2	16000101	1	12000047
9	2	16000101	5	12000048
9	2	16000101	7	12000042
10	2	16000101	2	12000047
10	2	16000101	5	12000048
10	2	16000101	7	12000042
11	2	16000101	2	12000047
11	2	16000101	5	12000048
11	2	16000101	8	12000043
12	2	16000101	2	12000047
12	2	16000101	5	12000048
12	2	16000101	7	12000043
13	2	16000101	2	12000047
13	2	16000101	4	12000048
13	2	16000101	6	12000043
14	2	16000101	1	12000047
14	2	16000101	5	12000048
14	2	16000101	7	12000043
15	2	16000101	2	12000047
15	2	16000101	5	12000048
15	2	16000101	1	12000046
16	2	16000101	2	12000047
16	2	16000101	4	12000048
16	2	16000101	1	12000046
17	2	16000101	1	12000047
17	2	16000101	5	12000048
17	2	16000101	3	12000046
18	2	16000101	2	12000047
18	2	16000101	5	12000048
18	2	16000101	3	12000046
19	2	16000101	2	12000047
19	2	16000101	5	12000048
19	2	16000101	1	12000049
20	2	16000101	2	12000047
20	2	16000101	4	12000048
20	2	16000101	1	12000049
21	2	16000101	1	12000047
21	2	16000101	5	12000048
21	2	16000101	3	12000049
22	2	16000101	2	12000047
22	2	16000101	5	12000048
22	2	16000101	3	12000049
23	2	16000101	2	12000047
23	2	16000101	5	12000048
23	2	16000101	3	12000049
24	2	16000101	2	12000047
24	2	16000101	5	12000048
24	2	16000101	8	12000045
25	2	16000101	2	12000047
25	2	16000101	5	12000048
25	2	16000101	7	12000045
26	2	16000101	2	12000047
26	2	16000101	4	12000048
26	2	16000101	6	12000045
27	2	16000101	1	12000047
