#机器人id	武将ID	等级	颜色	技能ID	培养等级
id	role	level	color	skillid	edulevel
1	12000047	15	1	14010047	0
1	12000048	15	1	14010048	0
2	12000047	16	1	14010047	1
2	12000048	16	1	14010048	1
3	12000047	16	1	14010047	1
3	12000048	16	1	14010048	1
4	12000047	17	1	14010047	2
4	12000048	17	2	14010048	2
5	12000047	17	2	14010047	2
5	12000048	17	1	14010048	2
6	12000047	18	1	14010047	3
6	12000048	18	1	14010048	3
6	12000042	18	1	14010042	3
7	12000047	18	1	14010047	3
7	12000048	18	1	14010048	3
7	12000042	18	2	14010042	3
8	12000047	19	1	14010047	4
8	12000048	19	2	14010048	4
8	12000042	19	1	14010042	4
9	12000047	20	1	14010047	5
9	12000048	20	1	14010048	5
9	12000042	20	1	14010042	5
10	12000047	20	2	14010047	5
10	12000048	20	1	14010048	5
10	12000042	20	1	14010042	5
11	12000047	21	1	14010047	6
11	12000048	21	1	14010048	6
11	12000043	21	1	14010043	6
12	12000047	21	1	14010047	6
12	12000048	21	1	14010048	6
12	12000043	21	2	14010043	6
13	12000047	22	1	14010047	7
13	12000048	22	2	14010048	7
13	12000043	22	1	14010043	7
14	12000047	23	2	14010047	8
14	12000048	23	1	14010048	8
14	12000043	23	1	14010043	8
15	12000047	23	2	14010047	8
15	12000048	23	1	14010048	8
15	12000046	23	1	14010046	8
16	12000047	24	1	14010047	9
16	12000048	24	2	14010048	9
16	12000046	24	1	14010046	9
17	12000047	24	1	14010047	9
17	12000048	24	1	14010048	9
17	12000046	24	2	14010046	9
18	12000047	25	1	14010047	10
18	12000048	25	1	14010048	10
18	12000046	25	1	14010046	10
19	12000047	25	2	14010047	10
19	12000048	25	1	14010048	10
19	12000049	25	1	14010049	10
20	12000047	26	1	14010047	11
20	12000048	26	2	14010048	11
20	12000049	26	1	14010049	11
21	12000047	27	1	14010047	12
21	12000048	27	1	14010048	12
21	12000049	27	2	14010049	12
22	12000047	27	1	14010047	12
22	12000048	27	1	14010048	12
22	12000049	27	1	14010049	12
23	12000047	28	2	14010047	13
23	12000048	28	1	14010048	13
23	12000049	28	1	14010049	13
24	12000047	28	1	14010047	13
24	12000048	28	1	14010048	13
24	12000045	28	1	14010045	13
25	12000047	29	1	14010047	14
25	12000048	29	1	14010048	14
25	12000045	29	2	14010045	14
26	12000047	30	1	14010047	15
26	12000048	30	2	14010048	15
26	12000045	30	1	14010045	15
27	12000047	30	2	14010047	15
27	12000048	30	1	14010048	15
27	12000045	30	1	14010045	15
28	12000047	31	1	14010047	16
28	12000048	31	2	14010048	16
28	12000044	31	1	14010044	16
29	12000047	31	2	14010047	16
29	12000048	31	1	14010048	16
29	12000044	31	1	14010044	16
30	12000047	32	1	14010047	17
30	12000048	32	1	14010048	17
30	12000044	32	1	14010044	17
31	12000047	32	1	14010047	17
31	12000048	32	1	14010048	17
31	12000044	32	2	14010044	17
32	12000047	33	1	14010047	18
32	12000048	33	2	14010048	18
32	12000042	33	1	14010042	18
32	12000043	33	1	14010043	18
33	12000047	34	2	14010047	19
33	12000048	34	1	14010048	19
33	12000042	34	2	14010042	19
33	12000043	34	1	14010043	19
34	12000047	34	1	14010047	19
34	12000048	34	1	14010048	19
34	12000042	34	1	14010042	19
34	12000043	34	2	14010043	19
35	12000047	35	1	14010047	20
35	12000048	35	1	14010048	20
35	12000042	35	2	14010042	20
35	12000043	35	1	14010043	20
36	12000047	35	2	14010047	20
36	12000048	35	1	14010048	20
36	12000042	35	1	14010042	20
36	12000043	35	1	14010043	20
37	12000047	36	1	14010047	21
37	12000048	36	2	14010048	21
37	12000043	36	1	14010043	21
37	12000049	36	1	14010049	21
38	12000047	37	2	14010047	22
38	12000048	37	1	14010048	22
38	12000043	37	1	14010043	22
38	12000049	37	1	14010049	22
39	12000047	37	1	14010047	22
39	12000048	37	1	14010048	22
39	12000043	37	1	14010043	22
39	12000049	37	2	14010049	22
40	12000047	38	1	14010047	23
40	12000048	38	1	14010048	23
40	12000043	38	2	14010043	23
40	12000049	38	1	14010049	23
41	12000047	38	2	14010047	23
41	12000048	38	1	14010048	23
41	12000046	38	1	14010046	23
41	12000042	38	1	14010042	23
42	12000047	39	1	14010047	24
42	12000048	39	1	14010048	24
42	12000046	39	1	14010046	24
42	12000042	39	1	14010042	24
43	12000047	39	1	14010047	24
43	12000048	39	1	14010048	24
43	12000046	39	2	14010046	24
43	12000042	39	1	14010042	24
44	12000047	40	2	14010047	25
44	12000048	40	1	14010048	25
44	12000046	40	1	14010046	25
44	12000042	40	1	14010042	25
45	12000047	41	1	14010047	26
45	12000048	41	2	14010048	26
45	12000049	41	1	14010049	26
45	12000045	41	1	14010045	26
46	12000047	41	2	14010047	26
46	12000048	41	1	14010048	26
46	12000049	41	1	14010049	26
46	12000045	41	1	14010045	26
47	12000047	42	1	14010047	27
47	12000048	42	1	14010048	27
47	12000049	42	1	14010049	27
47	12000045	42	2	14010045	27
48	12000047	42	1	14010047	27
48	12000048	42	1	14010048	27
48	12000049	42	2	14010049	27
48	12000045	42	1	14010045	27
49	12000047	43	2	14010047	28
49	12000048	43	1	14010048	28
49	12000049	43	1	14010049	28
49	12000045	43	1	14010045	28
50	12000047	44	2	14010047	29
50	12000048	44	1	14010048	29
50	12000045	44	1	14010045	29
50	12000046	44	2	14010046	29
51	12000047	44	1	14010047	29
51	12000048	44	1	14010048	29
51	12000045	44	2	14010045	29
51	12000046	44	1	14010046	29
52	12000047	45	2	14010047	30
52	12000048	45	1	14010048	30
52	12000045	45	1	14010045	30
52	12000046	45	1	14010046	30
53	12000047	45	1	14010047	30
53	12000048	45	2	14010048	30
53	12000045	45	1	14010045	30
53	12000046	45	1	14010046	30
54	12000047	46	2	14010047	31
54	12000048	46	1	14010048	31
54	12000045	46	1	14010045	31
54	12000046	46	1	14010046	31
55	12000047	46	1	14010047	31
55	12000048	46	1	14010048	31
55	12000044	46	1	14010044	31
55	12000043	46	2	14010043	31
56	12000047	47	1	14010047	32
56	12000048	47	2	14010048	32
56	12000044	47	1	14010044	32
56	12000043	47	1	14010043	32
57	12000047	48	1	14010047	33
57	12000048	48	1	14010048	33
57	12000044	48	2	14010044	33
57	12000043	48	1	14010043	33
58	12000047	48	1	14010047	33
58	12000048	48	1	14010048	33
58	12000044	48	1	14010044	33
58	12000043	48	2	14010043	33
59	12000047	49	1	14010047	34
59	12000048	49	1	14010048	34
59	12000044	49	2	14010044	34
59	12000043	49	1	14010043	34
60	12000047	50	2	14010047	35
60	12000043	50	1	14010043	35
60	12000045	50	1	14010045	35
60	12000027	50	1	14010027	35
10001	12000005	25	2	14010005	0
10001	12000023	25	2	14010023	0
10001	12000041	25	1	14010041	0
10001	12000025	25	1	14010025	0
10002	12000021	25	2	14010021	0
10002	12000029	25	2	14010029	0
10002	12000038	25	1	14010038	0
10002	12000027	25	1	14010027	0
10003	12000011	25	2	14010011	0
10003	12000029	25	2	14010029	0
10003	12000045	25	1	14010045	0
10003	12000048	25	1	14010048	0
10004	12000004	25	2	14010004	0
10004	12000032	25	2	14010032	0
10004	12000023	25	1	14010023	0
10004	12000034	25	1	14010034	0
10005	12000020	25	2	14010020	0
10005	12000042	25	2	14010042	0
10005	12000048	25	1	14010048	0
10005	12000031	25	1	14010031	0
10006	12000019	25	2	14010019	0
10006	12000034	25	2	14010034	0
10006	12000037	25	1	14010037	0
10006	12000030	25	1	14010030	0
10007	12000019	25	2	14010019	0
10007	12000033	25	2	14010033	0
10007	12000029	25	1	14010029	0
10007	12000045	25	1	14010045	0
10008	12000014	25	2	14010014	0
10008	12000037	25	2	14010037	0
10008	12000038	25	1	14010038	0
10008	12000039	25	1	14010039	0
10009	12000007	25	2	14010007	0
10009	12000028	25	2	14010028	0
10009	12000037	25	1	14010037	0
10009	12000049	25	1	14010049	0
10010	12000009	25	2	14010009	0
10010	12000036	25	2	14010036	0
10010	12000037	25	1	14010037	0
10010	12000028	25	1	14010028	0
10011	12000014	25	2	14010014	0
10011	12000030	25	2	14010030	0
10011	12000042	25	1	14010042	0
10011	12000034	25	1	14010034	0
10012	12000003	25	2	14010003	0
10012	12000029	25	2	14010029	0
10012	12000035	25	1	14010035	0
10012	12000031	25	1	14010031	0
10013	12000010	25	2	14010010	0
10013	12000049	25	2	14010049	0
10013	12000045	25	1	14010045	0
10013	12000031	25	1	14010031	0
10014	12000018	25	2	14010018	0
10014	12000048	25	2	14010048	0
10014	12000023	25	1	14010023	0
10014	12000030	25	1	14010030	0
10015	12000009	26	2	14010009	1
10015	12000033	26	2	14010033	1
10015	12000036	26	1	14010036	1
10015	12000044	26	1	14010044	1
10016	12000016	26	2	14010016	1
10016	12000040	26	2	14010040	1
10016	12000046	26	1	14010046	1
10016	12000029	26	1	14010029	1
10017	12000000	26	2	14010000	1
10017	12000026	26	2	14010026	1
10017	12000024	26	1	14010024	1
10017	12000036	26	1	14010036	1
10018	12000012	26	2	14010012	1
10018	12000049	26	2	14010049	1
10018	12000033	26	1	14010033	1
10018	12000034	26	1	14010034	1
10019	12000000	26	2	14010000	1
10019	12000032	26	2	14010032	1
10019	12000027	26	1	14010027	1
10019	12000041	26	1	14010041	1
10020	12000015	26	2	14010015	1
10020	12000047	26	2	14010047	1
10020	12000049	26	1	14010049	1
10020	12000036	26	1	14010036	1
10021	12000011	26	2	14010011	1
10021	12000038	26	2	14010038	1
10021	12000031	26	1	14010031	1
10021	12000025	26	1	14010025	1
10022	12000008	26	2	14010008	1
10022	12000048	26	2	14010048	1
10022	12000041	26	1	14010041	1
10022	12000031	26	1	14010031	1
10023	12000018	26	2	14010018	1
10023	12000047	26	2	14010047	1
10023	12000035	26	1	14010035	1
10023	12000037	26	1	14010037	1
10024	12000014	26	2	14010014	1
10024	12000023	26	2	14010023	1
10024	12000043	26	1	14010043	1
10024	12000045	26	1	14010045	1
10025	12000012	26	2	14010012	1
10025	12000043	26	2	14010043	1
10025	12000048	26	1	14010048	1
10025	12000031	26	1	14010031	1
10026	12000011	26	2	14010011	1
10026	12000022	26	2	14010022	1
10026	12000040	26	1	14010040	1
10026	12000046	26	1	14010046	1
10027	12000002	26	2	14010002	1
10027	12000029	26	2	14010029	1
10027	12000024	26	1	14010024	1
10027	12000037	26	1	14010037	1
10028	12000012	26	2	14010012	1
10028	12000027	26	2	14010027	1
10028	12000044	26	1	14010044	1
10028	12000040	26	1	14010040	1
10029	12000005	26	2	14010005	1
10029	12000045	26	2	14010045	1
