#策略ID	小ID	名称	备注	触发类型	触发参数	有效期类型	有效期参数	生效次数	生效目标	状态ID	生效(0立即 1加状态)
#触发类型：1己方武将死亡 2指定回合触发 3具体在场武将数 4没有武将死亡 5敌方武将死亡；策略有效类型：1全程有效 2指定回合有效 3回合区间；策略目标：1己方全体 2敌方全体 3随机敌方 4发起攻击者											
ID	Index	Name	Memo	TriggerType	TriggerParam	ResultType	ResultParam	Count	Target	StatusID	StartEffect
39010100	39010101	死亡之舞	5%几率即死攻击	2	1	1	0	1	1	15040001	1
39010200	39010201	怒火加持	每阵亡一个己方成员，己方全体攻击增加8%	1	0	1	0	99999	1	15040002	1
39010300	39010301	魂之挽歌	己方阵营首次阵亡武将，敌方全体眩晕1回合	1	0	1	0	1	2	15040003	1
39010400	39010401	终极英魂	当己方剩余最后一名武将时，攻击增加200%	3	1	1	0	1	1	15040004	1
39010400	39010402	终极英魂	当己方剩余最后一名武将时，防御增加200%	3	1	1	0	1	1	15040005	1
39010500	39010501	掎角之势	每消灭一个敌方武将，己方全体攻击增加50%，前3回合有效，第1回合	5	0	2	1	99999	1	15040006	1
39010500	39010502	掎角之势	每消灭一个敌方武将，己方全体攻击增加50%，前3回合有效，第2回合	5	0	2	2	99999	1	15040007	1
39010500	39010503	掎角之势	每消灭一个敌方武将，己方全体攻击增加50%，前3回合有效，第3回合	5	0	2	3	99999	1	15040008	1
39010600	39010601	一鼓作气	己方全体攻击增加70%	2	1	1	0	1	1	15040009	1
39010600	39010602	一鼓作气	每阵亡一个己方武将，攻击降低40%，最低至10%（按次数来减数值）	1	0	1	0	4	1	15040010	1
39010700	39010701	怒火中烧	己方全体第一回合怒气增加100%	2	1	1	0	1	1	15040011	0
39010700	39010702	怒火中烧	己方全体第一回合伤害增加30%	2	1	1	0	1	1	15040012	1
39010800	39010801	阵前赐福	前3回合首次己方武将在阵亡，治疗己方全体100%生命值	1	0	2	1;2;3	1	1	15040013	0
39010800	39010802	阵前赐福	前3回合首次己方武将在阵亡，己方全体防御增加100%	1	0	2	1;2;3	1	1	15040014	1
39010800	39010803	阵前赐福	前3回合首次己方武将在阵亡，本回合免疫所有伤害	1	0	2	1;2;3	1	1	15040015	1
39010900	39010901	亡语之咒	前3回合首次己方武将在阵亡，直接攻击击杀该武将（除DOT）的敌方武将即死	1	0	2	1;2;3	1	4	15040016	0
39010900	39010902	亡语之咒	前3回合首次己方武将在阵亡，随机一个敌方单位直接死亡（会不会与上一条相重？）	1	0	2	1;2;3	1	3	15040017	0
39011000	39011001	屹立不倒	己方单位在前3回合不会死亡（即死判定除外），其生命值最低至1	2	1	1	0	1	1	15040018	1
39011100	39011101	群雄协力	如果前3回合没有己方武将阵亡，第四回合治疗己方全体100%生命值	4	0	2	4	1	1	15040019	0
39011100	39011102	群雄协力	如果前3回合没有己方武将阵亡，己方全体增加30%攻击	4	0	2	4	1	1	15040020	1
39011200	39011201	厚积薄发	己方全体生命减少20%	2	1	1	0	1	1	15040021	1
39011200	39011202	厚积薄发	己方全体攻击减少20%	2	1	1	0	1	1	15040022	1
39011200	39011203	厚积薄发	己方全体第六回合开始攻击增加220%	2	6	1	0	1	1	15040023	1
39011300	39011301	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩1个将	3	1	3	2_30	999	1	15040024	1
39011300	39011302	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩2个将	3	2	3	2_30	999	1	15040025	1
39011300	39011303	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩3个将	3	3	3	2_30	999	1	15040026	1
39011300	39011304	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩4个将	3	4	3	2_30	999	1	15040027	1
39011300	39011305	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩5个将	3	5	3	2_30	999	1	15040028	1
39011300	39011306	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩6个将	3	6	3	2_30	999	1	15040029	1
39011300	39011307	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩7个将	3	7	3	2_30	999	1	15040030	1
39011300	39011308	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩8个将	3	8	3	2_30	999	1	15040031	1
39011300	39011309	连携攻击	第二回合开始己方全体增加攻击（本回合己方武将数）%，剩9个将	3	9	3	2_30	999	1	15040032	1
