#关卡id   			关卡名字   初始次数	地图id	出现概率(万分比)
id	index	level	name	mapid	prob
31060001	1	1	闯关1	18060000	2000
31060002	1	1	闯关1	18060001	2000
31060003	1	1	闯关1	18060002	2000
31060004	1	1	闯关1	18060003	2000
31060005	1	1	闯关1	18060004	2000
31060006	2	14	闯关2	18060005	2000
31060007	2	14	闯关2	18060006	2000
31060008	2	14	闯关2	18060007	2000
31060009	2	14	闯关2	18060008	2000
31060010	2	14	闯关2	18060009	2000
31060011	3	21	闯关3	18060010	2000
31060012	3	21	闯关3	18060011	2000
31060013	3	21	闯关3	18060012	2000
31060014	3	21	闯关3	18060013	2000
31060015	3	21	闯关3	18060014	2000
31060016	4	28	闯关4	18060015	2000
31060017	4	28	闯关4	18060016	2000
31060018	4	28	闯关4	18060017	2000
31060019	4	28	闯关4	18060018	2000
31060020	4	28	闯关4	18060019	2000
31060021	5	35	闯关5	18060020	2000
31060022	5	35	闯关5	18060021	2000
31060023	5	35	闯关5	18060022	2000
31060024	5	35	闯关5	18060023	2000
31060025	5	35	闯关5	18060024	2000
31060026	6	42	闯关6	18060025	2000
31060027	6	42	闯关6	18060026	2000
31060028	6	42	闯关6	18060027	2000
31060029	6	42	闯关6	18060028	2000
31060030	6	42	闯关6	18060029	2000
31060031	7	49	闯关7	18060030	2000
31060032	7	49	闯关7	18060031	2000
31060033	7	49	闯关7	18060032	2000
31060034	7	49	闯关7	18060033	2000
31060035	7	49	闯关7	18060034	2000
31060036	8	56	闯关8	18060035	2000
31060037	8	56	闯关8	18060036	2000
31060038	8	56	闯关8	18060037	2000
31060039	8	56	闯关8	18060038	2000
31060040	8	56	闯关8	18060039	2000
31060041	9	63	闯关9	18060040	2000
31060042	9	63	闯关9	18060041	2000
31060043	9	63	闯关9	18060042	2000
31060044	9	63	闯关9	18060043	2000
31060045	9	63	闯关9	18060044	2000
31060046	10	70	闯关10	18060045	2000
31060047	10	70	闯关10	18060046	2000
31060048	10	70	闯关10	18060047	2000
31060049	10	70	闯关10	18060048	2000
31060050	10	70	闯关10	18060049	2000
