#突破前装备id	突破后装备id	需要绿水晶个数	需要蓝水晶个数	需要紫水晶个数	材料id	材料数量
id	nextid	gcrystalnum	bcrystalnum	ycrystalnum	materialid	num
17030050	17030051	1	0	0	0	0
17030051	17030052	2	0	0	0	0
17030052	17030053	3	1	0	0	0
17030053	17030054	4	2	0	0	0
17030054	17030055	4	3	1	0	0
17030055	17030056	6	4	2	17010061	1
17030057	17030058	1	0	0	0	0
17030058	17030059	2	0	0	0	0
17030059	17030060	3	1	0	0	0
17030060	17030061	4	2	0	0	0
17030061	17030062	4	3	1	0	0
17030062	17030063	6	4	2	17010061	1
17030064	17030065	1	0	0	0	0
17030065	17030066	2	0	0	0	0
17030066	17030067	3	1	0	0	0
17030067	17030068	4	2	0	0	0
17030068	17030069	4	3	1	0	0
17030069	17030070	6	4	2	17010061	1
17030071	17030072	1	0	0	0	0
17030072	17030073	2	0	0	0	0
17030073	17030074	3	1	0	0	0
17030074	17030075	4	2	0	0	0
17030075	17030076	4	3	1	0	0
17030076	17030077	6	4	2	17010061	1
17030078	17030079	1	0	0	0	0
17030079	17030080	2	0	0	0	0
17030080	17030081	3	1	0	0	0
17030081	17030082	4	2	0	0	0
17030082	17030083	4	3	1	0	0
17030083	17030084	6	4	2	17010061	1
17030085	17030086	1	0	0	0	0
17030086	17030087	2	0	0	0	0
17030087	17030088	3	1	0	0	0
17030088	17030089	4	2	0	0	0
17030089	17030090	4	3	1	0	0
17030090	17030091	6	4	2	17010061	1
17030092	17030093	1	0	0	0	0
17030093	17030094	2	0	0	0	0
17030094	17030095	3	1	0	0	0
17030095	17030096	4	2	0	0	0
17030096	17030097	4	3	1	0	0
17030097	17030098	6	4	2	17010061	1
17030099	17030100	1	0	0	0	0
17030100	17030101	2	0	0	0	0
17030101	17030102	3	1	0	0	0
17030102	17030103	4	2	0	0	0
17030103	17030104	4	3	1	0	0
17030104	17030105	6	4	2	17010061	1
17030106	17030107	1	0	0	0	0
17030107	17030108	2	0	0	0	0
17030108	17030109	3	1	0	0	0
17030109	17030110	4	2	0	0	0
17030110	17030111	4	3	1	0	0
17030111	17030112	6	4	2	17010061	1
17030113	17030114	1	0	0	0	0
17030114	17030115	2	0	0	0	0
17030115	17030116	4	1	0	0	0
17030116	17030117	5	2	0	0	0
17030117	17030118	6	4	1	17010061	2
17030118	17030119	7	5	2	17030056	1
17030120	17030121	1	0	0	0	0
17030121	17030122	2	0	0	0	0
17030122	17030123	4	1	0	0	0
17030123	17030124	5	2	0	0	0
17030124	17030125	6	4	1	17010061	2
17030125	17030126	7	5	2	17030063	1
17030127	17030128	1	0	0	0	0
17030128	17030129	2	0	0	0	0
17030129	17030130	4	1	0	0	0
17030130	17030131	5	2	0	0	0
17030131	17030132	6	4	1	17010061	2
17030132	17030133	7	5	2	17030070	1
17030134	17030135	1	0	0	0	0
17030135	17030136	2	0	0	0	0
17030136	17030137	4	1	0	0	0
17030137	17030138	5	2	0	0	0
17030138	17030139	6	4	1	17010061	2
17030139	17030140	7	5	2	17030077	1
17030141	17030142	1	0	0	0	0
17030142	17030143	2	0	0	0	0
17030143	17030144	4	1	0	0	0
17030144	17030145	5	2	0	0	0
17030145	17030146	6	4	1	17010061	2
17030146	17030147	7	5	2	17030084	1
17030148	17030149	1	0	0	0	0
17030149	17030150	2	0	0	0	0
17030150	17030151	4	1	0	0	0
17030151	17030152	5	2	0	0	0
17030152	17030153	6	4	1	17010061	2
17030153	17030154	7	5	2	17030091	1
17030155	17030156	1	0	0	0	0
17030156	17030157	2	0	0	0	0
17030157	17030158	4	1	0	0	0
17030158	17030159	5	2	0	0	0
17030159	17030160	6	4	1	17010061	2
17030160	17030161	7	5	2	17030098	1
17030162	17030163	1	0	0	0	0
17030163	17030164	2	0	0	0	0
17030164	17030165	4	1	0	0	0
17030165	17030166	5	2	0	0	0
17030166	17030167	6	4	1	17010061	2
17030167	17030168	7	5	2	17030105	1
17030169	17030170	1	0	0	0	0
17030170	17030171	2	0	0	0	0
17030171	17030172	4	1	0	0	0
17030172	17030173	5	2	0	0	0
17030173	17030174	6	4	1	17010061	2
17030174	17030175	7	5	2	17030112	1
17030176	17030177	3	0	0	0	0
17030177	17030178	4	0	0	0	0
17030178	17030179	6	3	0	17010061	2
17030179	17030180	7	4	0	17010061	3
17030180	17030181	9	6	3	17010062	2
17030181	17030182	10	7	4	17030119	1
17030183	17030184	3	0	0	0	0
17030184	17030185	4	0	0	0	0
17030185	17030186	6	3	0	17010061	2
17030186	17030187	7	4	0	17010061	3
17030187	17030188	9	6	3	17010062	2
17030188	17030189	10	7	4	17030126	1
17030190	17030191	3	0	0	0	0
17030191	17030192	4	0	0	0	0
17030192	17030193	6	3	0	17010061	2
17030193	17030194	7	4	0	17010061	3
17030194	17030195	9	6	3	17010062	2
17030195	17030196	10	7	4	17030133	1
17030197	17030198	3	0	0	0	0
17030198	17030199	4	0	0	0	0
17030199	17030200	6	3	0	17010061	2
17030200	17030201	7	4	0	17010061	3
17030201	17030202	9	6	3	17010062	2
17030202	17030203	10	7	4	17030140	1
17030204	17030205	3	0	0	0	0
17030205	17030206	4	0	0	0	0
17030206	17030207	6	3	0	17010061	2
17030207	17030208	7	4	0	17010061	3
17030208	17030209	9	6	3	17010062	2
17030209	17030210	10	7	4	17030147	1
17030211	17030212	3	0	0	0	0
17030212	17030213	4	0	0	0	0
17030213	17030214	6	3	0	17010061	2
17030214	17030215	7	4	0	17010061	3
17030215	17030216	9	6	3	17010062	2
17030216	17030217	10	7	4	17030154	1
17030218	17030219	3	0	0	0	0
17030219	17030220	4	0	0	0	0
17030220	17030221	6	3	0	17010061	2
17030221	17030222	7	4	0	17010061	3
17030222	17030223	9	6	3	17010062	2
17030223	17030224	10	7	4	17030161	1
17030225	17030226	3	0	0	0	0
17030226	17030227	4	0	0	0	0
17030227	17030228	6	3	0	17010061	2
17030228	17030229	7	4	0	17010061	3
17030229	17030230	9	6	3	17010062	2
17030230	17030231	10	7	4	17030168	1
17030232	17030233	3	0	0	0	0
17030233	17030234	4	0	0	0	0
17030234	17030235	6	3	0	17010061	2
17030235	17030236	7	4	0	17010061	3
17030236	17030237	9	6	3	17010062	2
17030237	17030238	10	7	4	17030175	1
17030239	17030240	4	0	0	0	0
17030240	17030241	6	0	0	0	0
17030241	17030242	8	4	0	17010062	2
17030242	17030243	9	6	0	17010062	3
17030243	17030244	12	8	4	17010064	2
17030244	17030245	14	9	6	17030182	1
17030246	17030247	4	0	0	0	0
17030247	17030248	6	0	0	0	0
17030248	17030249	8	4	0	17010062	2
17030249	17030250	9	6	0	17010062	3
17030250	17030251	12	8	4	17010064	2
17030251	17030252	14	9	6	17030189	1
17030253	17030254	4	0	0	0	0
17030254	17030255	6	0	0	0	0
17030255	17030256	8	4	0	17010062	2
