#层ID	格子行数	格子列数	boss可能出现的格子	boss事件ID	触发概率	事件id(event.txt中的ID)	事件数量(踩雷数量为0)
id	row	column	boss	bosseventid	random	eventid	eventnum
38031101	4	7	14;21;26;27;28	38045001	10000	38042001	5
38031101	4	7	14;21;26;27;28	38045001	10000	38043001	2
38031101	4	7	14;21;26;27;28	38045001	10000	38044001	2
38031101	4	7	14;21;26;27;28	38045001	3000	38041001	0
38031102	4	7	14;21;26;27;28	38045002	10000	38042002	5
38031102	4	7	14;21;26;27;28	38045002	10000	38043002	2
38031102	4	7	14;21;26;27;28	38045002	10000	38044002	2
38031102	4	7	14;21;26;27;28	38045002	3000	38041002	0
38031201	4	7	14;21;26;27;28	38045003	10000	38042003	5
38031201	4	7	14;21;26;27;28	38045003	10000	38043003	2
38031201	4	7	14;21;26;27;28	38045003	10000	38044003	2
38031201	4	7	14;21;26;27;28	38045003	3000	38041003	0
38031202	4	7	14;21;26;27;28	38045004	10000	38042004	5
38031202	4	7	14;21;26;27;28	38045004	10000	38043004	2
38031202	4	7	14;21;26;27;28	38045004	10000	38044004	2
38031202	4	7	14;21;26;27;28	38045004	3000	38041004	0
38031301	4	7	14;21;26;27;28	38045005	10000	38042005	5
38031301	4	7	14;21;26;27;28	38045005	10000	38043005	2
38031301	4	7	14;21;26;27;28	38045005	10000	38044005	2
38031301	4	7	14;21;26;27;28	38045005	3000	38041005	0
38031302	4	7	14;21;26;27;28	38045006	10000	38042006	5
38031302	4	7	14;21;26;27;28	38045006	10000	38043006	2
38031302	4	7	14;21;26;27;28	38045006	10000	38044006	2
38031302	4	7	14;21;26;27;28	38045006	3000	38041006	0
38031303	4	7	14;21;26;27;28	38045007	10000	38042007	5
38031303	4	7	14;21;26;27;28	38045007	10000	38043007	2
38031303	4	7	14;21;26;27;28	38045007	10000	38044007	2
38031303	4	7	14;21;26;27;28	38045007	3000	38041007	0
38032101	4	7	14;21;26;27;28	38045008	10000	38042008	5
38032101	4	7	14;21;26;27;28	38045008	10000	38043008	2
38032101	4	7	14;21;26;27;28	38045008	10000	38044008	2
38032101	4	7	14;21;26;27;28	38045008	3000	38041008	0
38032102	4	7	14;21;26;27;28	38045009	10000	38042009	5
38032102	4	7	14;21;26;27;28	38045009	10000	38043009	2
38032102	4	7	14;21;26;27;28	38045009	10000	38044009	2
38032102	4	7	14;21;26;27;28	38045009	3000	38041009	0
38032201	4	7	14;21;26;27;28	38045010	10000	38042010	5
38032201	4	7	14;21;26;27;28	38045010	10000	38043010	2
38032201	4	7	14;21;26;27;28	38045010	10000	38044010	2
38032201	4	7	14;21;26;27;28	38045010	3000	38041010	0
