#ID	序号（1开始）	层ID（floor.txt中的ID）	名称
id	index	floorid	name
38021001	1	38031101	虎牢关一层
38021001	2	38031102	虎牢关二层
38021002	1	38031201	洛阳一层
38021002	2	38031202	洛阳二层
38021003	1	38031302	下邳一层
38021003	2	38031303	下邳二层
38022001	1	38032101	官渡一层
38022001	2	38032102	官渡二层
38022002	1	38032202	当阳桥一层
38022002	2	38032203	当阳桥二层
38022003	1	38032302	长坂坡一层
38022003	2	38032303	长坂坡二层
38022004	1	38032402	赤壁一层
38022004	2	38032403	赤壁二层
38022005	1	38032503	华容道一层
38022005	2	38032504	华容道二层
38023001	1	38033102	落凤坡一层
38023001	2	38033103	落凤坡二层
38023002	1	38033202	汉中一层
38023002	2	38033203	汉中二层
38023003	1	38033302	天水一层
38023003	2	38033303	天水二层
38023004	1	38033403	麦城一层
38023004	2	38033404	麦城二层
38023005	1	38033503	五丈原一层
38023005	2	38033504	五丈原二层
