#等级	征收铜钱数
level	money
1	5000
2	5200
3	5408
4	5624
5	5849
6	6083
7	6327
8	6580
9	6843
10	7117
11	7401
12	7697
13	8005
14	8325
15	8658
16	9005
17	9365
18	9740
19	10000
20	10000
21	10000
22	10000
23	10000
24	10000
25	10000
26	10000
27	10000
28	10000
29	10000
30	10000
31	10000
32	10000
33	10000
34	10000
35	10000
36	10000
37	10000
38	10000
39	10000
40	10000
41	10000
42	10000
43	10000
44	10000
45	10000
46	10000
47	10000
48	10000
49	10000
50	10000
51	10000
52	10000
53	10000
54	10000
55	10000
56	10000
57	10000
58	10000
59	10000
60	10000
61	10000
62	10000
63	10000
64	10000
65	10000
66	10000
67	10000
68	10000
69	10000
70	10000
71	10000
72	10000
73	10000
74	10000
75	10000
76	10000
77	10000
78	10000
79	10000
80	10000
