#武将ID	名称	头像	兵种	等级	星级	品质	分类（其中type=1为近战，type=2为远程，type=3为谋士）	武将模型（无用）	物理攻击	物理防御	法术攻击	法术防御	生命	技能ID	初始怒气	怒气值上限	武将怒气增长方式（1=攻击增加怒气，2=被攻击增加怒气，3=攻击和被攻击都增加怒气）	每次怒气增加点数	战斗力	待机动画文件	攻击动画(无用)	被攻击动画	普通攻击	技能攻击
id	name	icon	race	level	star	color	type	model	phyatk	phydef	mgcatk	mgcdef	hp	skillid	initanger	angerpiont	angerincrease	angeraddnum	power	idleanimation	attackanimation	attackedanimation	commonattack	skillattack
24010000	张曼成	imghead505.png	1	1	3	1	1	0	269	29	0	116	827	14020039	1	2	1	1	496	xuchu01_;9	0	xuchu01ss_;9	29020017	29011030
24010001	短弓兵	imghead012.png	4	1	3	1	2	0	395	25	0	12	705	14020003	1	2	1	1	502	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010002	轻步兵	imghead012.png	2	2	3	1	1	0	280	33	0	129	955	14020031	1	2	2	1	537	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010003	雷公	imghead507.png	5	2	3	1	2	0	411	28	0	14	810	14020049	1	2	1	1	534	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011006
24010004	白绕	imghead502.png	1	3	3	1	1	0	290	37	0	141	1093	14020005	1	2	1	1	577	chuibu01_;11	0	chuibu01ss_;11	29020024	29011035
24010005	雷计谋士	imghead012.png	8	3	3	1	3	0	0	14	276	179	728	14020011	1	2	1	1	541	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040007
24010006	丁奉	imghead109.png	6	4	3	1	2	0	445	34	0	17	1006	14020066	1	2	1	1	596	sunce01_;9	0	sunce01ss_;9	29020013	29011016
24010007	轻骑兵	imghead012.png	3	4	3	1	1	0	300	43	0	160	1288	14020002	1	2	1	1	631	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010008	刀盾兵	imghead012.png	1	5	3	1	1	0	311	46	0	167	1400	14020080	1	3	3	1	664	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010009	五鹿	imghead502.png	7	5	3	1	3	0	0	18	300	208	937	14020009	1	2	1	1	619	wanglang01_;9	0	wanglang01ss_;9	29020012	29010007
24010010	赵范	imghead501.png	3	6	3	1	1	0	322	51	0	180	1570	14020069	1	2	1	1	710	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
24010011	雷计谋士	imghead012.png	8	6	3	1	3	0	0	20	312	223	1052	14020010	1	2	1	1	660	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040007
24010012	刀盾兵	imghead012.png	1	7	3	1	1	0	332	56	0	194	1021	14020052	1	2	1	1	684	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010013	短弓兵	imghead012.png	4	7	3	1	2	0	498	48	0	24	825	14020036	1	3	3	1	652	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010014	马岱	imghead141.png	3	7	3	2	1	0	389	70	0	219	1911	14010047	1	2	1	1	869	daoqi01_;9	0	daoqi01ss_;9	29020025	29011047
24010015	轻步兵	imghead012.png	2	8	3	1	1	0	274	49	0	165	1554	14020083	1	2	1	1	806	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010016	马云禄	imghead501.png	6	8	3	1	2	0	412	41	0	20	1254	14020030	1	2	1	1	750	sunjian01_;9	0	sunjian01ss_;9	29020014	29011019
24010017	雷计谋士	imghead012.png	8	8	3	1	3	0	0	19	269	196	1017	14020034	1	3	3	1	733	moushi01_;11	0	moushi01ss_;11	29030005	29040011
24010018	刘艾	imghead012.png	3	9	3	1	1	0	283	51	0	167	1624	14020061	1	2	2	1	830	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
24010019	弓骑兵	imghead012.png	6	9	3	1	2	0	427	42	0	21	1309	14020021	1	2	1	1	777	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010020	水计谋士	imghead012.png	8	9	3	1	3	0	0	20	280	196	1067	14020042	1	2	2	1	754	moushi01_;11	0	moushi01ss_;11	29030005	29040010
24010021	刀盾兵	imghead012.png	1	10	3	1	1	0	292	52	0	169	1696	14020039	1	2	1	1	855	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010022	弓骑兵	imghead012.png	6	10	3	1	2	0	441	44	0	22	1366	14020031	1	2	1	1	805	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010023	陈琳	imghead508.png	7	10	3	1	3	0	0	20	290	198	1118	14020018	1	2	1	1	775	bimou01_;11	0	bimou01ss_;11	29020023	29040013
24010024	张角	imghead017.png	7	13	3	1	3	0	0	32	460	276	1761	14020093	1	2	1	1	1182	wanglang01_;9	0	wanglang01ss_;9	29020012	29010007
24010025	短弓兵	imghead012.png	4	13	3	1	2	0	693	69	0	34	2123	14020051	1	2	1	1	1262	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010026	火计谋士	imghead012.png	7	13	3	1	3	0	0	32	460	276	1761	14020034	1	2	1	1	1182	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040005
24010027	波才	imghead508.png	1	14	3	1	1	0	507	91	0	264	2981	14020003	1	2	1	1	1451	xuchu01_;9	0	xuchu01ss_;9	29020017	29011030
24010028	轻步兵	imghead012.png	2	14	3	1	1	0	507	91	0	264	2981	14020013	1	2	1	1	1451	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010029	弓骑兵	imghead012.png	6	14	3	1	2	0	780	77	0	39	2395	14020029	1	2	1	1	1420	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010030	韩忠	imghead504.png	3	15	3	1	1	0	561	100	0	288	3334	14020085	1	3	3	1	1604	daoqi01_;9	0	daoqi01ss_;9	29020025	29011036
24010031	轻骑兵	imghead012.png	3	15	3	1	1	0	561	100	0	288	3334	14020003	1	2	1	1	1604	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010032	医疗兵	imghead012.png	10	15	3	1	3	0	0	40	580	326	2236	14020046	1	2	2	1	1463	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010033	轻步兵	imghead012.png	2	16	3	1	1	0	616	111	0	310	3699	14020052	1	2	1	1	1760	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010034	弓骑兵	imghead012.png	6	16	3	1	2	0	956	95	0	48	2967	14020037	1	2	1	1	1744	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
