#佳人ID	名字	性格	描述	佳人头像	佳人半身像	品质	需求攻略度	物理攻击	法术攻击	物理防御	法术防御	生命	好感度区间	变化值	好感度区间2	变化值	好感度区间3	变化值	好感度区间4	变化值
id	name	character	description	headIcon	bodyIcon	quality	need_strategy	PhyAtk	MgcAtk	PhyDef	MgcDef	life	favor1	change1	favor2	change2	favor3	change3	favor4	change4
13010001	西施	活泼	活泼	dongxiaowan.png	dongxiaowanmm.png	6	3	0	0	0	90	225	25	10	50	10	75	15	100	25
13010002	貂蝉	傲娇	傲娇	liurushi.png	liurushimm.png	6	3	42	36	0	102	0	25	25	50	25	75	25	100	10
13010003	王昭君	沉稳	沉稳	lixiangjun.png	lixiangjunmm.png	6	3	108	12	0	0	150	25	15	50	15	75	15	100	15
13010004	杨贵妃	傲娇	傲娇	maxianglan.png	maxianglanmm.png	6	3	0	0	78	84	45	25	25	50	25	75	25	100	10
13010005	花木兰	沉稳	沉稳	koubaimen.png	koubaimenmm.png	6	3	78	0	102	0	0	25	15	50	15	75	15	100	15
13010006	妲己	傲娇	傲娇	bianyujing.png	bianyujingmm.png	6	3	0	180	0	0	0	25	25	50	25	75	25	100	10
13010007	褒似	沉稳	沉稳	guhengbo.png	guhengbomm.png	6	3	18	60	0	0	255	25	15	50	15	75	15	100	15
13010008	陈圆圆	活泼	活泼	xiaoqiao.png	xiaoqiaomm.png	6	3	60	0	120	0	0	25	10	50	10	75	15	100	25
13010009	王异	沉稳	沉稳	caiwenji.png	caiwenjimm.png	4	2	60	0	48	0	0	25	15	50	15	75	15	100	15
13010010	关银屏	傲娇	傲娇	daqiao.png	daqiaomm.png	4	2	108	0	0	0	0	25	25	50	25	75	25	100	10
13010011	虞姬	傲娇	傲娇	yuji.png	yujimm.png	4	2	0	0	54	54	0	25	25	50	25	75	25	100	10
13010012	赵飞燕	活泼	活泼	zhaofeiyan.png	zhaofeiyanmm.png	4	2	0	0	0	108	0	25	10	50	10	75	15	100	25
13010013	李师师	傲娇	傲娇	lishishi.png	lishishimm.png	4	2	0	0	0	0	270	25	25	50	25	75	25	100	10
13010014	绿珠	沉稳	沉稳	lvzhu.png	lvzhumm.png	4	2	30	78	0	0	0	25	15	50	15	75	15	100	15
13010015	苏小小	活泼	活泼	suxiaoxiao.png	suxiaoxiaomm.png	4	2	0	90	0	18	0	25	10	50	10	75	15	100	25
13010016	上官婉儿	活泼	活泼	shangguanwaner.png	shangguanwanermm.png	4	2	0	48	0	36	45	25	10	50	10	75	15	100	25
13010017	妺喜	沉稳	沉稳	moxi.png	moximm.png	4	2	0	0	0	0	270	25	15	50	15	75	15	100	15
13010018	骊姬	沉稳	沉稳	liji.png	lijimm.png	4	2	0	0	108	0	0	25	15	50	15	75	15	100	15
13010019	孙尚香	活泼	活泼	huangyueying.png	huangyueyingmm.png	4	0	36	42	0	30	0	25	10	50	10	75	15	100	25
13010020	步练师	傲娇	傲娇	bulianshi.png	bulianshimm.png	4	2	54	54	0	0	0	25	25	50	25	75	25	100	10
13010021	鲍三娘	沉稳	沉稳	xinxianying.png	xinxianyingmm.png	4	2	0	0	78	30	0	25	15	50	15	75	15	100	15
13010022	冯小怜	沉稳	沉稳	fengxiaolian.png	fengxiaolianmm.png	4	2	0	0	0	30	195	25	15	50	15	75	15	100	15
13010023	卓文君	傲娇	傲娇	zhuowenjun.png	zhuowenjunmm.png	4	2	0	0	30	78	0	25	25	50	25	75	25	100	10
13010024	张春华	沉稳	沉稳	zhangchunhua.png	zhangchunhuamm.png	4	2	54	54	0	0	0	25	15	50	15	75	15	100	15
13010025	祝英台	活泼	活泼	zhuyingtai.png	zhuyingtaimm.png	4	2	0	0	36	36	90	25	10	50	10	75	15	100	25
13010026	杜十娘	沉稳	沉稳	dushiniang.png	dushiniangmm.png	4	2	0	0	42	0	135	25	15	50	15	75	15	100	15
13010027	郑旦	傲娇	傲娇	zhendan.png	zhendanmm.png	4	2	0	54	0	36	45	25	25	50	25	75	25	100	10
13010028	文成公主	活泼	活泼	wenchenggongzhu.png	wenchenggongzhumm.png	4	2	0	0	0	54	105	25	10	50	10	75	15	100	25
13010029	李夫人	沉稳	沉稳	lifuren.png	lifurenmm.png	4	2	0	0	30	0	195	25	15	50	15	75	15	100	15
13010030	张丽华	活泼	活泼	zhanglihua.png	zhanglihuamm.png	4	2	72	18	18	0	0	25	10	50	10	75	15	100	25
13010031	吴国太	活泼	活泼	sunshangxiang.png	sunshangxiangmm.png	4	2	90	18	0	0	0	25	10	50	10	75	15	100	25
13010032	王异	活泼	活泼	wangyi.png	wangyimm.png	4	2	0	0	66	42	0	25	10	50	10	75	15	100	25
13010033	夏侯涓	活泼	活泼	chenyuanyuan.png	chenyuanyuanmm.png	4	2	54	0	0	0	135	25	10	50	10	75	15	100	25
13010034	董小婉	傲娇	傲娇	dongxiaowan.png	dongxiaowanmm.png	4	2	0	30	0	78	0	25	25	50	25	75	25	100	10
13010035	柳如是	沉稳	沉稳	liurushi.png	liurushimm.png	4	2	0	0	0	66	105	25	15	50	15	75	15	100	15
13010036	李香君	傲娇	傲娇	lixiangjun.png	lixiangjunmm.png	4	2	0	90	18	0	0	25	25	50	25	75	25	100	10
13010037	马湘兰	沉稳	沉稳	maxianglan.png	maxianglanmm.png	4	2	60	48	0	0	0	25	15	50	15	75	15	100	15
13010038	寇白门	活泼	活泼	koubaimen.png	koubaimenmm.png	4	2	48	60	0	0	0	25	10	50	10	75	15	100	25
13010039	卞玉京	傲娇	傲娇	bianyujing.png	bianyujingmm.png	4	2	0	0	90	0	45	25	25	50	25	75	25	100	10
13010040	顾横波	傲娇	傲娇	guhengbo.png	guhengbomm.png	4	2	0	0	54	0	135	25	25	50	25	75	25	100	10
