#武将ID	初始品质	将魂ID	数量
roleid	color	soulid	num
12000000	1	17020000	40
12000001	1	17020001	40
12000002	1	17020002	40
12000003	1	17020003	40
12000004	1	17020004	40
12000005	1	17020005	40
12000006	1	17020006	40
12000007	1	17020007	40
12000008	1	17020008	40
12000009	1	17020009	40
12000010	1	17020010	40
12000011	1	17020011	40
12000012	1	17020012	40
12000013	1	17020013	40
12000014	1	17020014	40
12000015	1	17020015	40
12000016	1	17020016	40
12000017	1	17020017	40
12000018	1	17020018	40
12000019	1	17020019	40
12000020	1	17020020	40
12000021	1	17020021	40
12000022	1	17020022	30
12000023	1	17020023	30
12000024	1	17020024	30
12000025	1	17020025	30
12000026	1	17020026	30
12000027	1	17020027	30
12000028	1	17020028	30
12000029	1	17020029	30
12000030	1	17020030	30
12000031	1	17020031	30
12000032	1	17020032	30
12000033	1	17020033	30
12000034	1	17020034	30
12000035	1	17020035	30
12000036	1	17020036	30
12000037	1	17020037	30
12000038	1	17020038	30
12000039	1	17020039	30
12000040	1	17020040	30
12000041	1	17020041	30
12000042	1	17020042	20
12000043	1	17020043	20
12000044	1	17020044	20
12000045	1	17020045	20
12000046	1	17020046	20
12000047	1	17020047	20
12000048	1	17020048	20
12000049	1	17020049	20
12000050	1	17020050	40
