#按照（主公等级-武将已培养次数）配置成功率	
#差	几率
sublevel	chance
-80	100
-79	100
-78	100
-77	100
-76	100
-75	100
-74	100
-73	100
-72	100
-71	100
-70	100
-69	100
-68	100
-67	100
-66	100
-65	100
-64	100
-63	100
-62	100
-61	100
-60	100
-59	100
-58	100
-57	100
-56	100
-55	100
-54	100
-53	100
-52	100
-51	100
-50	100
-49	100
-48	100
-47	100
-46	100
-45	100
-44	100
-43	100
-42	100
-41	100
-40	100
-39	100
-38	100
-37	100
-36	100
-35	100
-34	100
-33	100
-32	100
-31	100
-30	100
-29	100
-28	100
-27	100
-26	100
-25	100
-24	100
-23	100
-22	100
-21	100
-20	100
-19	100
-18	100
-17	100
-16	100
-15	100
-14	100
-13	100
-12	100
-11	100
-10	100
-9	200
-8	300
-7	400
-6	500
-5	1000
-4	1500
-3	2000
-2	3000
-1	4000
0	5000
1	5000
2	6000
3	7000
4	8000
5	10000
6	10000
7	10000
8	10000
9	10000
10	10000
11	10000
12	10000
13	10000
14	10000
15	10000
16	10000
17	10000
18	10000
19	10000
20	10000
21	10000
22	10000
23	10000
24	10000
25	10000
26	10000
27	10000
28	10000
29	10000
30	10000
31	10000
32	10000
33	10000
34	10000
35	10000
36	10000
37	10000
38	10000
39	10000
40	10000
41	10000
42	10000
43	10000
44	10000
45	10000
46	10000
47	10000
48	10000
49	10000
50	10000
51	10000
52	10000
53	10000
54	10000
55	10000
56	10000
57	10000
58	10000
59	10000
60	10000
61	10000
62	10000
63	10000
64	10000
65	10000
66	10000
67	10000
68	10000
69	10000
70	10000
71	10000
72	10000
73	10000
74	10000
75	10000
76	10000
77	10000
78	10000
79	10000
80	10000
