#ID	半身像头像	后宫出现特效	显示文本	选项1文本	选项1行为	选项2文本	选项2行为
id	img	girlAnime	dialog	optionA	cmdA	optionB	cmdB
33000101	luren1.png		有个乞丐饿晕在地上了，没有人救他吗？	亲自救醒乞丐	文本跳转;33000102	叫大夫来救他	文本跳转;33000103;获得铜钱;-1000
33000102	luren1.png		哇，公子你好有爱心哦，人家要给你生猴子	赶快闪人	获得经验;200		
33000103	luren1.png		哇，公子你好有钱哦，人家要给你生猴子	赶快闪人	获得经验;300		
33000201	luren1.png		呜呜呜，我的钱囊被人偷走了，这下可怎么回家啊	资助她部分路费	文本跳转;33000202	帮她抓小偷	文本跳转;33000203
33000202	luren1.png		谢谢公子，你真是个好人	客气客气			
33000203	luren1.png		你这笨蛋，都过了几个时辰了怎么可能抓得到	不跟她计较，唯女子与小人难养也	获得经验;200	痛快的骂她一顿，然后潇洒离开	
33000301	luren1.png		来人啊，救命啊，流氓啊，非礼啊~	打跑流氓	文本跳转;33000302	快去围观	文本跳转;33000303
33000302	luren1.png		幸好有公子你在，还请收下这些许报酬	客气客气	获得铜钱;1500		
33000303	luren1.png		呜呜呜…这些冷血麻木的人，我记住你们了	赶快闪人			
33000401	luren1.png		哎呦，我扭到脚了，帅哥可否扶我一下	没问题，助人为乐嘛	文本跳转;33000402	事有蹊跷，还是别惹祸上身	文本跳转;33000403
33000402	luren1.png		哈哈~你上当了，我是别国刺客，今日受死吧！	逃跑			
33000403	luren1.png		哼，有贼心没贼胆的臭男人	赶快闪人	获得经验;200		
33000501	luren1.png		哎呦，我扭到脚了，帅哥可否扶我一下	没问题，助人为乐嘛	文本跳转;33000502		
33000502	luren1.png		谢谢公子，请收下些许报酬	客气客气	获得铜钱;300		
33000601	luren1.png		哎哟~你这人真是，撞得人家好疼	不理她直接走		马上赔礼道歉	文本跳转;33000602;获得铜钱;-1000
33000602	luren1.png		把我撞成这个样子，一百块都不给我！	给她一百块	文本跳转;33000603;获得铜钱;-1000	不理她直接走	
33000603	luren1.png		我的项链两千多！！你这点钱算什么，我可抓住你了，你别想跑	撞人跟项链有毛关系，把她一把推开	文本跳转;33000604	莫得罪小人，给点钱了事吧	获得铜钱;-1000;获得经验;200
33000604	luren1.png		呜呜呜，你居然打我，我跟你什么仇什么怨，什么仇什么怨，什么仇什么怨…	忍无可忍，直接暴打一顿	获得经验;300	莫得罪小人，给点钱了事吧	获得铜钱;-1000;获得经验;200
33000701	luren3.png		我被人追杀至此，身受重伤，少侠可否救助于我，额…来日必有重谢！	好的，钱财事小侠义为重	文本跳转;33000702	嘿嘿，先把钱给我再救你	文本跳转;33000703
33000702	luren3.png		谢谢少侠，这是我收到的军令，请务必收下	好吧	获得军令;5		
33000703	luren3.png		这…我现在已经身无分文了	转身就走			
33000801	luren3.png		我被人追杀至此，身受重伤，少侠可否救助于我，必有重谢！	好的，我先来看看你的伤势	文本跳转;33000802	嘿嘿，先把钱给我再救你	文本跳转;33000804
33000802	luren3.png		哈哈~你上当了，我是别国刺客，今日受死吧！	逃跑		我跟你拼了	文本跳转;33000803
33000803	luren3.png		弱的怕强的，强的怕不要命的，今日栽了…	这穷鬼身上钱都没有，只有块军令	获得军令;5		
33000804	luren3.png		好吧，这是我身上所有的钱了	拿了钱就跑	获得铜钱;1500	拿了钱再看看他的伤势	文本跳转;33000802
33000901	luren3.png		站住，刚才我的钱囊被人偷走了，你的交给我我检查一下！	不理他，转身就走		算了，给他些钱	文本跳转;33000902;获得铜钱;-1000
33000902	luren3.png		哈哈，小子还算有点眼力劲儿，知道我不是好惹的	……			
33001001	luren3.png		看到没，我的滑板鞋，时尚时尚最时尚	大家快来来看啊，这里有个神经病	文本跳转;33001002	摩擦摩擦，一步一步似爪牙似魔鬼的步伐	文本跳转;33001003
33001002	luren3.png		你大爷的~别喊了，给你钱还不行嘛	哈哈，这也能有钱拿	获得铜钱;1500		
33001003	luren3.png		服了你了，这也能说对暗号，军令给你，我去领鸡腿了，再会~	这什么狗屎剧情…	获得军令;5		
33001101	luren3.png		小子，听说你很厉害，不知道比我又怎样	大家快来来看啊，这里有个神经病	文本跳转;33001102	比就比	
33001102	luren3.png		你大爷的~别喊了，给你钱还不行嘛	哈哈，这也能有钱拿	获得铜钱;1500		
33001103	luren3.png		我孤独剑客可不是浪得虚名的，你，输了！	这贱客真厉害，赶~紧~走~			
33001201	luren2.png		老夫夜观AV，此地人杰地灵，你再往前500步内必有收获	AV是什么鬼啊，赶走这个老神棍		姑且相信，继续往前走	获得科技币;200
