#ID	类型	前置攻略度	比重	后宫ID	起始对话ID
id	type	prev	factor	girlID	dialogID
32010001	1	0	1	0	33000101
32010002	1	0	1	0	33000201
32010003	1	0	1	0	33000301
32010004	1	0	1	0	33000401
32010005	1	0	1	0	33000501
32010006	1	0	1	0	33000601
32010007	1	0	1	0	33000701
32010008	1	0	1	0	33000801
32010009	1	0	1	0	33000901
32010010	1	0	1	0	33001001
32010011	1	0	1	0	33001101
32010012	1	0	1	0	33001201
32010013	1	0	1	0	33001301
32010014	1	0	1	0	33001401
32010015	1	0	1	0	33001501
32010016	1	0	1	0	33001601
32010017	1	0	1	0	33001701
32010018	1	0	1	0	33001801
32010019	1	0	1	0	33001901
32010020	1	0	1	0	33002001
32020101	2	0	1	13010001	33010101
32020102	2	1	1	13010001	33010201
32020103	2	2	1	13010001	33010301
32020104	2	3	1	13010001	33010401
32020201	2	0	1	13010002	33020101
32020202	2	1	1	13010002	33020201
32020203	2	2	1	13010002	33020301
32020204	2	3	1	13010002	33020401
32020301	2	0	1	13010003	33030101
32020302	2	1	1	13010003	33030201
32020303	2	2	1	13010003	33030301
32020304	2	3	1	13010003	33030401
32020401	2	0	1	13010004	33040101
32020402	2	1	1	13010004	33040201
32020403	2	2	1	13010004	33040301
32020404	2	3	1	13010004	33040401
32020501	2	0	1	13010005	33050101
32020502	2	1	1	13010005	33050201
32020503	2	2	1	13010005	33050301
32020504	2	3	1	13010005	33050401
32020601	2	0	1	13010006	33060101
32020602	2	1	1	13010006	33060201
32020603	2	2	1	13010006	33060301
32020604	2	3	1	13010006	33060401
32020701	2	0	1	13010007	33070101
32020702	2	1	1	13010007	33070201
32020703	2	2	1	13010007	33070301
32020704	2	3	1	13010007	33070401
32020801	2	0	1	13010008	33080101
32020802	2	1	1	13010008	33080201
32020803	2	2	1	13010008	33080301
32020804	2	3	1	13010008	33080401
32020901	2	0	1	13010009	33090101
32020902	2	1	1	13010009	33090201
32020903	2	2	1	13010009	33090301
32021001	2	0	1	13010010	33100101
32021002	2	1	1	13010010	33100201
32021003	2	2	1	13010010	33100301
32021101	2	0	1	13010011	33110101
32021102	2	1	1	13010011	33110201
32021103	2	2	1	13010011	33110301
32021801	2	0	1	13010018	33180101
32021802	2	1	1	13010018	33180201
32021803	2	2	1	13010018	33180301
32021901	2	0	1	13010019	33190101
