#vip等级	文本1	文本2	文本3
level	txt1	txt2	txt3
1	累计充值	10	元宝可享受
1	包含	VIP0	所有特权
#1	立即开启风云争霸		
1	资源战可上阵部队	1	支
1	每天可购买军令	2	次
#1	每天可购买攻击令	0	次
#1	每次摇钱树可翻倍次数	0	次
1	每天可重置副本	1	次
#1	每天可重置竞技场次数	0	次
#1	每天可刷新鲜花数量	0	次
#1	每天可重置闯关	0	次
#1	每天可重置挑战	0	次
#1	每天可重置风云争霸策略	0	次
#1	每天可重置风云争霸誓约	0	次
2	累计充值	100	元宝可享受
2	包含	VIP1	所有特权
#2	立即开启风云争霸		
#2	资源战可上阵部队	1	支
#2	每天可购买军令	2	次
2	每天可购买攻击令	1	次
#2	每次摇钱树可翻倍次数	0	次
#2	每天可重置副本	1	次
2	每天可重置竞技场次数	1	次
2	每天可刷新鲜花数量	1	次
#2	每天可重置闯关	0	次
#2	每天可重置挑战	0	次
#2	每天可重置风云争霸策略	0	次
#2	每天可重置风云争霸誓约	0	次
3	累计充值	300	元宝可享受
3	包含	VIP2	所有特权
#3	立即开启风云争霸		
#3	资源战可上阵部队	1	支
3	每天可购买军令	3	次
#3	每天可购买攻击令	1	次
3	每次摇钱树可翻倍次数	1	次
3	每天可重置副本	2	次
#3	每天可重置竞技场次数	1	次
#3	每天可刷新鲜花数量	1	次
#3	每天可重置闯关	0	次
3	每天可重置挑战	1	次
#3	每天可重置风云争霸策略	0	次
#3	每天可重置风云争霸誓约	0	次
4	累计充值	500	元宝可享受
4	包含	VIP3	所有特权
#4	立即开启风云争霸		
#4	资源战可上阵部队	1	支
#4	每天可购买军令	3	次
4	每天可购买攻击令	2	次
#4	每次摇钱树可翻倍次数	1	次
#4	每天可重置副本	2	次
4	每天可重置竞技场次数	2	次
4	每天可刷新鲜花数量	2	次
4	每天可重置闯关	1	次
#4	每天可重置挑战	1	次
#4	每天可重置风云争霸策略	0	次
#4	每天可重置风云争霸誓约	0	次
5	累计充值	1500	元宝可享受
5	包含	VIP4	所有特权
#5	立即开启风云争霸		
5	资源战可上阵部队	2	支
#5	每天可购买军令	3	次
#5	每天可购买攻击令	2	次
#5	每次摇钱树可翻倍次数	1	次
5	每天可重置副本	3	次
#5	每天可重置竞技场次数	2	次
#5	每天可刷新鲜花数量	2	次
#5	每天可重置闯关	1	次
#5	每天可重置挑战	1	次
5	每天可重置风云争霸策略	1	次
5	每天可重置风云争霸誓约	1	次
6	累计充值	3000	元宝可享受
6	包含	VIP5	所有特权
#6	立即开启风云争霸		
#6	资源战可上阵部队	2	支
6	每天可购买军令	4	次
#6	每天可购买攻击令	2	次
#6	每次摇钱树可翻倍次数	1	次
#6	每天可重置副本	3	次
6	每天可重置竞技场次数	3	次
6	每天可刷新鲜花数量	3	次
#6	每天可重置闯关	1	次
6	每天可重置挑战	2	次
#6	每天可重置风云争霸策略	1	次
#6	每天可重置风云争霸誓约	1	次
7	累计充值	5000	元宝可享受
7	包含	VIP6	所有特权
#7	立即开启风云争霸		
#7	资源战可上阵部队	2	支
#7	每天可购买军令	4	次
7	每天可购买攻击令	3	次
7	每次摇钱树可翻倍次数	2	次
7	每天可重置副本	4	次
#7	每天可重置竞技场次数	3	次
#7	每天可刷新鲜花数量	3	次
7	每天可重置闯关	2	次
#7	每天可重置挑战	2	次
7	每天可重置风云争霸策略	2	次
#7	每天可重置风云争霸誓约	1	次
8	累计充值	7000	元宝可享受
8	包含	VIP7	所有特权
#8	立即开启风云争霸		
#8	资源战可上阵部队	2	支
8	每天可购买军令	5	次
#8	每天可购买攻击令	3	次
#8	每次摇钱树可翻倍次数	2	次
#8	每天可重置副本	4	次
8	每天可重置竞技场次数	4	次
8	每天可刷新鲜花数量	4	次
#8	每天可重置闯关	2	次
#8	每天可重置挑战	2	次
#8	每天可重置风云争霸策略	2	次
8	每天可重置风云争霸誓约	2	次
9	累计充值	10000	元宝可享受
9	包含	VIP8	所有特权
9	立即开启风云争霸	歃血榜	
9	资源战可上阵部队	3	支
#9	每天可购买军令	5	次
9	每天可购买攻击令	4	次
#9	每次摇钱树可翻倍次数	2	次
9	每天可重置副本	5	次
#9	每天可重置竞技场次数	4	次
#9	每天可刷新鲜花数量	4	次
#9	每天可重置闯关	2	次
9	每天可重置挑战	3	次
#9	每天可重置风云争霸策略	2	次
#9	每天可重置风云争霸誓约	2	次
10	累计充值	15000	元宝可享受
10	包含	VIP9	所有特权
#10	立即开启风云争霸		
#10	资源战可上阵部队	3	支
#10	每天可购买军令	5	次
10	每天可购买攻击令	5	次
#10	每次摇钱树可翻倍次数	2	次
#10	每天可重置副本	5	次
10	每天可重置竞技场次数	5	次
#10	每天可刷新鲜花数量	4	次
10	每天可重置闯关	3	次
#10	每天可重置挑战	3	次
10	每天可重置风云争霸策略	3	次
#10	每天可重置风云争霸誓约	2	次
11	累计充值	20000	元宝可享受
11	包含	VIP10	所有特权
11	立即开启风云争霸	神将榜	
#11	资源战可上阵部队	3	支
11	每天可购买军令	6	次
#11	每天可购买攻击令	5	次
#11	每次摇钱树可翻倍次数	2	次
11	每天可重置副本	6	次
#11	每天可重置竞技场次数	5	次
11	每天可刷新鲜花数量	5	次
#11	每天可重置闯关	3	次
#11	每天可重置挑战	3	次
#11	每天可重置风云争霸策略	3	次
11	每天可重置风云争霸誓约	3	次
12	累计充值	40000	元宝可享受
12	包含	VIP11	所有特权
#12	立即开启风云争霸		
#12	资源战可上阵部队	3	支
#12	每天可购买军令	6	次
12	每天可购买攻击令	6	次
#12	每次摇钱树可翻倍次数	2	次
#12	每天可重置副本	6	次
12	每天可重置竞技场次数	6	次
12	每天可刷新鲜花数量	6	次
#12	每天可重置闯关	3	次
12	每天可重置挑战	4	次
12	每天可重置风云争霸策略	4	次
