#类型1:幸运市场 2：竞技市场 3:魂币市场 4:威望市场	名称	物品ID	数量	权重	售卖货币类型AssetType枚举	价格
shoptype	name	itemid	num	chance	moneytype	price
1	赵云将魂	17020003	5	1000	9	1000
1	郭嘉将魂	17020014	5	1000	9	1000
1	孙策将魂	17020016	5	1000	9	1000
1	吕蒙将魂	17020021	5	1000	9	1000
1	黄月英将魂	17020020	5	1000	9	1000
1	青铜枪	17030055	1	167	9	400
1	孟子	17030062	1	167	9	400
1	猎弓	17030069	1	167	9	400
1	轻皮甲	17030076	1	167	9	300
1	粗麻衣	17030083	1	167	9	300
1	小红马	17030090	1	167	9	300
1	枣红马	17030097	1	167	9	300
1	草原马	17030104	1	167	9	300
1	高山马	17030111	1	167	9	300
1	镔铁枪	17030118	1	167	9	800
1	墨子	17030125	1	167	9	800
1	桃木弓	17030132	1	167	9	800
1	厚皮甲	17030139	1	166	9	600
1	布衣	17030146	1	166	9	600
1	棕马	17030153	1	166	9	600
1	矮脚马	17030160	1	166	9	600
1	白驹	17030167	1	166	9	600
1	短尾马	17030174	1	166	9	600
1	科技币	17010040	1000	1000	9	500
1	四品经验书	17010051	10	1000	9	900
2	关羽将魂	17020001	5	400	11	150
2	黄忠将魂	17020010	5	400	11	150
2	张飞将魂	17020011	5	400	11	150
2	魏延将魂	17020015	5	400	11	150
2	孙坚将魂	17020019	5	400	11	150
2	袁绍将魂	17020023	5	285	11	70
2	张角将魂	17020024	5	285	11	70
2	张辽将魂	17020026	5	286	11	70
2	甘宁将魂	17020027	5	286	11	70
2	陆逊将魂	17020028	5	286	11	70
2	许褚将魂	17020035	5	286	11	70
2	周泰将魂	17020040	5	286	11	70
2	孟获将魂	17020042	5	500	11	30
2	法正将魂	17020043	5	500	11	30
2	荀彧将魂	17020044	5	500	11	30
2	张昭将魂	17020045	5	500	11	30
2	一品精钢	17010061	1	1000	11	30
2	二品精钢	17010062	1	1000	11	50
2	绿水晶	17010058	5	667	11	10
2	蓝水晶	17010059	5	667	11	25
2	紫水晶	17010060	5	666	11	150
3	吕布将魂	17020000	5	51	17	150
3	关羽将魂	17020001	5	51	17	150
3	诸葛亮将魂	17020002	5	51	17	150
3	赵云将魂	17020003	5	51	17	150
3	曹操将魂	17020004	5	51	17	150
3	司马懿将魂	17020005	5	51	17	150
3	夏侯惇将魂	17020006	5	51	17	150
3	小乔将魂	17020007	5	51	17	150
3	周瑜将魂	17020008	5	51	17	150
3	姜维将魂	17020009	5	51	17	150
3	黄忠将魂	17020010	5	51	17	150
3	张飞将魂	17020011	5	51	17	150
3	马超将魂	17020012	5	51	17	150
3	孙权将魂	17020013	5	51	17	150
3	郭嘉将魂	17020014	5	51	17	150
3	魏延将魂	17020015	5	51	17	150
3	孙策将魂	17020016	5	51	17	150
3	刘备将魂	17020017	5	51	17	150
3	大乔将魂	17020018	5	51	17	150
3	孙坚将魂	17020019	5	51	17	150
3	黄月英将魂	17020020	5	51	17	150
3	吕蒙将魂	17020021	5	51	17	150
3	太史慈将魂	17020022	5	222	17	70
3	袁绍将魂	17020023	5	222	17	70
3	张角将魂	17020024	5	222	17	70
3	庞统将魂	17020025	5	222	17	70
3	张辽将魂	17020026	5	222	17	70
3	甘宁将魂	17020027	5	222	17	70
3	陆逊将魂	17020028	5	222	17	70
3	颜良将魂	17020029	5	222	17	70
3	文丑将魂	17020030	5	222	17	70
3	庞德将魂	17020031	5	222	17	70
3	辛宪英将魂	17020032	5	222	17	70
3	蔡文姬将魂	17020033	5	222	17	70
3	徐庶将魂	17020034	5	222	17	70
3	许褚将魂	17020035	5	222	17	70
3	张郃将魂	17020036	5	222	17	70
3	夏侯渊将魂	17020037	5	222	17	70
3	祝融将魂	17020038	5	222	17	70
3	贾诩将魂	17020039	5	222	17	70
3	周泰将魂	17020040	5	222	17	70
3	典韦将魂	17020041	5	222	17	70
3	孟获将魂	17020042	5	556	17	30
3	法正将魂	17020043	5	556	17	30
3	荀彧将魂	17020044	5	556	17	30
3	张昭将魂	17020045	5	556	17	30
3	文鸯将魂	17020046	5	556	17	30
3	马岱将魂	17020047	5	556	17	30
3	潘凤将魂	17020048	5	556	17	30
3	曹仁将魂	17020049	5	546	17	30
4	司马懿将魂	17020005	5	400	8	50
4	夏侯惇将魂	17020006	5	400	8	50
4	周瑜将魂	17020008	5	400	8	50
4	孙权将魂	17020013	5	400	8	50
4	大乔将魂	17020018	5	400	8	50
4	太史慈将魂	17020022	5	285	8	24
4	庞统将魂	17020025	5	285	8	24
4	辛宪英将魂	17020032	5	286	8	24
4	蔡文姬将魂	17020033	5	286	8	24
4	祝融将魂	17020038	5	286	8	24
4	贾诩将魂	17020039	5	286	8	24
4	典韦将魂	17020041	5	286	8	24
4	文鸯将魂	17020046	5	500	8	10
4	马岱将魂	17020047	5	500	8	10
4	潘凤将魂	17020048	5	500	8	10
4	曹仁将魂	17020049	5	500	8	10
4	培养点	17010046	10	1000	8	50
4	培养点	17010046	50	990	8	250
4	培养点	17010046	100	10	8	10
4	转生符文	17010030	3	1000	8	18
4	四品经验书	17010051	5	500	8	12
4	五品经验书	17010052	5	500	8	24
