#品质	装备极品度	权重
quality	integrity	weight
1	10	1
1	20	1
1	30	1
1	40	1
1	50	1
1	60	1
1	70	1
1	80	1
1	85	1
1	90	1
1	95	1
1	100	1
2	10	1
2	20	1
2	30	1
2	40	1
2	50	1
2	60	1
2	70	1
2	80	1
2	85	1
2	90	1
2	95	1
2	100	1
3	10	1
3	20	1
3	30	1
3	40	1
3	50	1
3	60	1
3	70	1
3	80	1
3	85	1
3	90	1
3	95	1
3	100	1
4	10	1
4	20	1
4	30	1
4	40	1
4	50	1
4	60	1
4	70	1
4	80	1
4	85	1
4	90	1
4	95	1
4	100	1
5	10	1
5	20	1
5	30	1
5	40	1
5	50	1
5	60	1
5	70	1
5	80	1
5	85	1
5	90	1
5	95	1
5	100	1
6	10	1
6	20	1
6	30	1
6	40	1
6	50	1
6	60	1
6	70	1
6	80	1
6	85	1
6	90	1
6	95	1
6	100	1
7	10	1
7	20	1
7	30	1
7	40	1
7	50	1
7	60	1
7	70	1
7	80	1
7	85	1
7	90	1
7	95	1
7	100	1
