#加速产品ID(1-N 按产品效果从低到高)	vip等级下限制	产出水晶类型（1绿、2蓝、3紫）	产品类型（1、产出率提高类 2、产出周期减少类）	产出率	产出周期	花费	持续时间
id	vip	type	protype	probability	period	cost	time
1	1	1	1	8000	0	300	86400
1	1	2	1	6500	0	300	86400
1	1	3	1	5500	0	300	86400
2	5	1	1	9000	0	400	86400
2	5	2	1	7500	0	400	86400
2	5	3	1	6000	0	400	86400
3	8	1	1	10000	0	500	86400
3	8	2	1	8500	0	500	86400
3	8	3	1	7000	0	500	86400
4	1	1	2	0	270	300	86400
4	1	2	2	0	540	300	86400
4	1	3	2	0	1080	300	86400
5	5	1	2	0	240	400	86400
5	5	2	2	0	480	400	86400
5	5	3	2	0	960	400	86400
6	8	1	2	0	210	500	86400
6	8	2	2	0	420	500	86400
6	8	3	2	0	840	500	86400
