#地图ID	武将ID	武将等级	武将品质	技能ID	阵型位置	初始怒气
mapid	roleid	level	color	skillid	pos	initanger
18010101	12000008	5	3	14030001	8	2
18010101	12000011	10	3	14030002	4	5
18010101	12000016	5	3	14030003	6	2
18010102	12000000	5	3	14030004	1	4
18010102	12000008	10	3	14030005	3	2
18010103	12000018	10	3	14030006	6	2
18010103	12000008	10	3	14030007	4	1
18010104	12000014	12	3	14030008	4	3
18010104	12000008	25	3	14030009	6	2
18010107	12000003	1	3	14030010	4	4
18010107	12000002	35	6	14030011	8	3
18010107	12000008	1	3	14030012	6	0
